$version=1
!SystemId,BusCode,PlantType,PlantCode
ne,21,H,169
ne,48,H,189
ne,63,R,2129
no,80,H,267
ne,89,H,178
ne,95,H,154
ne,102,T,57
ne,103,R,4946
ne,103,R,7193
ne,104,T,98
ne,111,T,241
ne,111,R,2192
ne,112,T,147
no,115,R,5223
no,115,R,7470
ne,120,R,2009
ne,120,R,5752
ne,120,R,7999
ne,122,R,5754
ne,122,R,8001
ne,127,R,5776
ne,128,T,53
ne,129,T,55
ne,130,T,69
ne,130,T,794
no,131,R,5224
no,131,R,7471
ne,137,T,67
ne,137,T,793
ne,139,T,152
ne,139,T,798
ne,141,T,846
ne,162,R,4948
ne,162,R,7195
se,167,H,261
ne,169,R,4949
ne,169,R,7196
ne,170,T,43
ne,170,T,762
ne,172,R,2190
ne,180,R,2186
ne,183,R,4950
ne,183,R,7197
ne,186,R,4957
ne,186,R,7204
ne,188,R,4973
ne,188,R,7220
no,192,R,5704
no,192,R,7951
ne,196,T,52
ne,207,R,4974
ne,207,R,7221
no,236,T,848
ne,241,R,2054
ne,253,T,844
ne,284,T,235
ne,336,T,845
ne,339,T,58
ne,339,T,763
ne,385,R,1766
ne,414,T,144
ne,414,T,796
ne,433,T,83
ne,433,T,767
ne,505,R,2096
ne,505,R,4697
ne,505,R,4703
ne,505,R,4704
ne,505,R,4702
ne,505,R,4706
ne,505,R,4707
ne,505,R,4708
ne,505,R,4709
ne,505,R,4705
ne,505,R,4710
ne,505,R,2976
ne,505,R,2980
ne,505,R,2984
ne,505,R,2988
ne,505,R,2992
ne,505,R,2996
ne,505,R,3000
ne,505,R,3004
ne,505,R,3008
ne,505,R,3012
ne,505,R,3016
ne,505,R,3020
ne,505,R,3024
ne,505,R,3028
ne,505,R,3032
ne,505,R,3036
ne,505,R,3040
ne,505,R,3044
ne,505,R,3048
ne,505,R,3052
ne,505,R,3056
ne,505,R,3060
ne,505,R,3064
ne,505,R,3068
ne,505,R,3072
ne,505,R,3076
ne,505,R,3080
ne,505,R,3084
ne,505,R,3088
ne,505,R,3092
ne,505,R,3096
ne,505,R,3100
ne,505,R,3104
ne,505,R,3108
ne,505,R,3112
ne,505,R,3116
ne,523,R,2650
ne,523,R,2654
ne,523,R,2658
ne,523,R,2662
ne,523,R,2666
ne,523,R,2670
ne,523,R,2674
ne,523,R,2678
ne,523,R,2682
ne,523,R,2686
ne,523,R,2690
ne,523,R,2694
ne,523,R,2698
ne,523,R,2702
ne,523,R,2706
ne,523,R,2710
ne,523,R,2714
ne,523,R,2718
ne,523,R,2722
ne,523,R,2726
ne,523,R,2730
ne,523,R,2734
ne,523,R,2738
ne,523,R,2742
ne,523,R,2746
ne,523,R,2750
ne,523,R,2754
ne,523,R,2758
ne,523,R,2762
ne,523,R,2766
ne,523,R,2770
ne,523,R,2774
ne,523,R,2778
ne,523,R,2782
ne,523,R,2786
ne,523,R,2790
ne,544,R,2520
ne,544,R,2522
ne,544,R,2524
ne,544,R,2526
ne,544,R,2528
ne,544,R,2530
ne,544,R,2532
ne,544,R,2534
ne,544,R,2536
ne,544,R,2538
ne,544,R,2540
ne,544,R,2542
ne,544,R,2544
ne,544,R,2546
ne,544,R,2548
ne,544,R,2550
ne,544,R,2552
ne,544,R,2554
ne,544,R,2556
ne,544,R,2558
ne,544,R,2560
ne,544,R,2562
ne,544,R,2564
ne,544,R,2566
ne,544,R,2568
ne,544,R,2570
ne,544,R,2572
ne,544,R,2574
ne,544,R,2576
ne,544,R,2578
ne,544,R,2580
ne,544,R,2582
ne,544,R,2584
ne,544,R,2586
ne,544,R,2588
ne,544,R,2590
ne,549,R,3296
ne,549,R,3297
ne,549,R,3298
ne,549,R,3299
ne,549,R,3300
ne,549,R,3301
ne,549,R,3302
ne,549,R,3303
ne,549,R,3304
ne,549,R,3305
ne,549,R,3306
ne,549,R,3307
ne,549,R,3308
ne,549,R,3309
ne,549,R,3310
ne,549,R,3311
ne,549,R,3312
ne,549,R,3313
ne,549,R,3314
ne,549,R,3315
ne,549,R,3316
ne,549,R,3317
ne,549,R,3318
ne,549,R,3319
ne,549,R,3320
ne,549,R,3321
ne,549,R,3322
ne,549,R,3323
ne,549,R,3324
ne,549,R,3325
ne,549,R,3326
ne,549,R,3327
ne,549,R,3328
ne,549,R,3329
ne,549,R,3330
ne,549,R,3331
no,559,R,4505
no,560,R,5731
no,560,R,7978
no,561,R,5732
no,561,R,7979
no,570,R,321
no,591,R,324
no,593,R,323
no,595,R,4498
ne,600,R,4975
ne,600,R,7222
ne,601,R,4976
ne,601,R,7223
ne,602,R,4977
ne,602,R,7224
ne,603,R,4978
ne,603,R,7225
no,607,R,5237
no,607,R,7484
ne,608,R,6616
ne,608,R,8833
ne,609,R,5763
ne,609,R,8010
ne,613,R,4979
ne,613,R,7226
no,615,R,5238
no,615,R,7485
ne,616,R,5005
ne,616,R,7252
ne,617,R,5006
ne,617,R,7253
ne,618,R,5007
ne,618,R,7254
ne,619,R,5008
ne,619,R,7255
ne,620,R,5764
ne,620,R,8011
ne,621,R,5009
ne,621,R,7256
ne,622,R,5010
ne,622,R,7257
ne,623,R,5011
ne,623,R,7258
ne,624,R,6153
ne,624,R,8386
ne,625,R,5012
ne,625,R,7259
ne,626,R,5013
ne,626,R,7260
ne,627,R,5784
ne,628,R,5785
no,630,R,5239
no,630,R,7486
no,631,R,5240
no,631,R,7487
no,632,R,5241
no,632,R,7488
ne,633,R,5746
ne,633,R,7993
ne,634,R,5014
ne,634,R,7261
no,636,R,5242
no,636,R,7489
ne,637,R,5786
no,638,R,5243
no,638,R,7490
no,639,R,2225
no,639,R,5244
no,639,R,7491
ne,640,R,5765
ne,640,R,8012
ne,641,R,4868
ne,641,R,7188
ne,642,R,1319
ne,642,R,1749
ne,642,R,4869
ne,642,R,7189
ne,643,R,5766
ne,643,R,8013
ne,644,R,5747
ne,644,R,7994
ne,645,R,6154
ne,645,R,8387
ne,646,R,6155
ne,646,R,8388
ne,647,R,2316
ne,647,R,2322
ne,647,R,2007
ne,647,R,2006
ne,647,R,5767
ne,647,R,8014
ne,648,R,5748
ne,648,R,7995
ne,649,R,105
ne,649,R,5768
ne,649,R,8015
ne,650,R,5769
ne,650,R,8016
ne,651,R,6156
ne,651,R,8389
ne,652,R,6157
ne,652,R,8390
ne,653,R,6158
ne,653,R,8391
ne,654,R,5770
ne,654,R,8017
ne,655,R,2010
ne,655,R,2011
ne,655,R,5771
ne,655,R,8018
ne,656,R,5772
ne,656,R,8019
ne,657,R,5787
ne,658,R,4870
ne,658,R,7190
ne,659,R,4871
ne,659,R,7191
ne,660,R,5773
ne,660,R,8020
ne,661,R,2008
ne,661,R,5774
ne,661,R,8021
ne,662,R,6617
ne,662,R,8834
ne,664,R,4980
ne,664,R,7227
ne,665,R,6618
ne,666,R,4981
ne,666,R,7228
ne,668,R,4982
ne,668,R,7229
no,669,R,5245
no,669,R,7492
ne,670,R,4983
ne,670,R,7230
ne,671,R,6619
ne,671,R,8835
ne,672,R,4984
ne,672,R,7231
ne,673,R,6620
ne,673,R,8836
ne,674,R,4985
ne,674,R,7232
ne,675,R,4986
ne,675,R,7233
ne,676,R,4987
ne,676,R,7234
ne,677,R,4988
ne,677,R,7235
ne,678,R,4989
ne,678,R,7236
ne,679,R,4990
ne,679,R,7237
ne,680,R,4991
ne,680,R,7238
ne,681,R,4992
ne,681,R,7239
ne,683,R,4993
ne,683,R,7240
ne,684,R,2351
ne,684,R,5749
ne,684,R,7996
ne,685,R,3370
ne,685,R,4994
ne,685,R,7241
ne,686,R,4995
ne,686,R,7242
ne,687,R,5788
ne,689,R,6159
ne,689,R,8392
no,690,R,5733
no,690,R,7980
no,691,R,5734
no,691,R,7981
no,692,R,5735
no,692,R,7982
no,693,R,5736
no,693,R,7983
ne,694,R,5750
ne,694,R,7997
ne,695,R,5789
no,696,R,5737
no,696,R,7984
no,697,R,5738
no,697,R,7985
no,698,R,5739
no,698,R,7986
no,699,R,5740
no,699,R,7987
ne,708,R,4872
ne,708,R,7192
ne,745,R,2312
ne,745,R,5751
ne,745,R,7998
ne,746,R,6160
ne,746,R,8393
ne,752,R,106
ne,752,R,1514
ne,752,R,103
ne,752,R,5775
ne,752,R,8022
ne,765,R,5015
ne,765,R,7262
ne,794,R,4996
ne,794,R,7243
no,800,R,5741
no,800,R,7988
no,801,T,176
no,807,R,2226
no,814,R,5246
no,814,R,7493
ne,819,R,5016
ne,819,R,7263
ne,820,R,5017
ne,820,R,7264
no,831,R,5247
no,831,R,7494
no,862,R,5742
no,862,R,7989
ne,876,R,4997
ne,876,R,7244
ne,909,R,4998
ne,909,R,7245
no,911,R,7180
no,911,R,9396
no,930,R,5248
no,930,R,7495
no,948,R,5743
no,948,R,7990
ne,972,R,4999
ne,972,R,7246
ne,976,R,5000
ne,976,R,7247
pa,1001,H,18
pa,1002,H,42
pa,1003,H,39
pa,1004,H,40
pa,1005,H,16
pa,1006,H,37
pa,1007,H,14
pa,1008,H,15
se,1022,R,6621
se,1022,T,815
se,1022,R,8837
se,1063,R,6622
se,1063,R,8838
se,1064,R,6623
se,1064,R,8839
se,1065,R,6624
se,1065,T,870
se,1065,T,900
se,1065,R,8840
se,1066,R,6625
se,1066,R,8841
se,1067,R,6626
se,1067,T,872
se,1067,T,902
se,1067,R,8842
se,1068,R,6627
se,1068,R,8843
se,1069,R,6628
se,1069,R,8844
se,1070,R,6629
se,1070,R,8845
se,1151,R,5127
se,1151,R,7374
se,1152,R,5128
se,1152,R,3454
se,1152,R,3481
se,1152,R,3508
se,1152,R,3535
se,1152,R,3562
se,1152,R,3589
se,1152,R,3616
se,1152,R,3643
se,1152,R,7375
se,1154,R,5129
se,1154,R,7376
se,1156,R,2224
se,1156,R,5130
se,1156,R,3945
se,1156,R,3970
se,1156,R,3995
se,1156,R,4020
se,1156,R,4045
se,1156,R,4070
se,1156,R,4095
se,1156,R,4120
se,1156,R,4145
se,1156,R,4170
se,1156,R,4195
se,1156,R,7377
se,1157,R,5131
se,1157,R,7378
se,1159,R,5132
se,1159,R,7379
se,1160,R,5133
se,1160,R,7380
se,1163,R,5134
se,1163,R,3449
se,1163,R,3476
se,1163,R,3503
se,1163,R,3530
se,1163,R,3557
se,1163,R,3584
se,1163,R,3611
se,1163,R,3638
se,1163,R,3849
se,1163,R,3856
se,1163,R,3863
se,1163,R,3870
se,1163,R,3877
se,1163,R,3884
se,1163,R,3891
se,1163,R,3898
se,1163,R,3905
se,1163,R,3912
se,1163,R,3919
se,1163,R,7381
se,1164,R,5135
se,1164,R,7382
se,1169,R,13
se,1170,R,5136
se,1170,R,7383
se,1173,R,5137
se,1173,R,7384
se,1175,R,5138
se,1175,R,7385
se,1176,R,5139
se,1176,R,7386
se,1177,R,5140
se,1177,R,7387
se,1178,R,5141
se,1178,R,7388
se,1181,R,5142
se,1181,R,7389
se,1182,R,5143
se,1182,R,7390
se,1184,R,5144
se,1184,R,7391
se,1185,R,5145
se,1185,R,7392
se,1186,R,5146
se,1186,R,7393
se,1188,R,5147
se,1188,R,7394
se,1189,R,5148
se,1189,R,3468
se,1189,R,3495
se,1189,R,3522
se,1189,R,3549
se,1189,R,3576
se,1189,R,3603
se,1189,R,3630
se,1189,R,3657
se,1189,R,7395
se,1192,R,5149
se,1192,R,7396
se,1195,R,5150
se,1195,R,7397
se,1197,R,5151
se,1197,R,7398
se,1199,R,5152
se,1199,R,7399
se,1200,R,5153
se,1200,R,7400
se,1203,R,5154
se,1203,R,7401
se,1204,R,5155
se,1204,R,7402
