$version=1
!code,Date,block,Volt
1,1900/01/01,1,1.009
1,1900/01/01,2,1.009
1,1900/01/01,3,1.009
1,1900/01/01,4,1.009
4,1900/01/01,1,1.007
4,1900/01/01,2,1.007
4,1900/01/01,3,1.007
4,1900/01/01,4,1.007
5,1900/01/01,1,1.007
5,1900/01/01,2,1.007
5,1900/01/01,3,1.007
5,1900/01/01,4,1.007
6,1900/01/01,1,0.981
6,1900/01/01,2,0.981
6,1900/01/01,3,0.981
6,1900/01/01,4,0.981
7,1900/01/01,1,1.002
7,1900/01/01,2,1.002
7,1900/01/01,3,1.002
7,1900/01/01,4,1.002
8,1900/01/01,1,0.988
8,1900/01/01,2,0.988
8,1900/01/01,3,0.988
8,1900/01/01,4,0.988
9,1900/01/01,1,0.988
9,1900/01/01,2,0.988
9,1900/01/01,3,0.988
9,1900/01/01,4,0.988
10,1900/01/01,1,0.988
10,1900/01/01,2,0.988
10,1900/01/01,3,0.988
10,1900/01/01,4,0.988
11,1900/01/01,1,0.984
11,1900/01/01,2,0.984
11,1900/01/01,3,0.984
11,1900/01/01,4,0.984
14,1900/01/01,1,0.966
14,1900/01/01,2,0.966
14,1900/01/01,3,0.966
14,1900/01/01,4,0.966
21,1900/01/01,1,1.001
21,1900/01/01,2,1.001
21,1900/01/01,3,1.001
21,1900/01/01,4,1.001
22,1900/01/01,1,0.983
22,1900/01/01,2,0.983
22,1900/01/01,3,0.983
22,1900/01/01,4,0.983
28,1900/01/01,1,0.988
28,1900/01/01,2,0.988
28,1900/01/01,3,0.988
28,1900/01/01,4,0.988
29,1900/01/01,1,0.984
29,1900/01/01,2,0.984
29,1900/01/01,3,0.984
29,1900/01/01,4,0.984
33,1900/01/01,1,0.99
33,1900/01/01,2,0.99
33,1900/01/01,3,0.99
33,1900/01/01,4,0.99
34,1900/01/01,1,0.99
34,1900/01/01,2,0.99
34,1900/01/01,3,0.99
34,1900/01/01,4,0.99
35,1900/01/01,1,1.011
35,1900/01/01,2,1.011
35,1900/01/01,3,1.011
35,1900/01/01,4,1.011
44,1900/01/01,1,1.005
44,1900/01/01,2,1.005
