$version=2
!Code,Name,Bus,Existing,Emin,Emax,Einic,Pmax,ChargeEffic,DischargeEffic,RegTime,FlagInterStage,ChargeRamp,DischargeRamp,O&MType,O&MCost,RegType,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,DevOpt
106,Bat-6-12902,12902,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
206,Bat-6-544,544,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
306,Bat-6-12501,12501,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
406,Bat-6-11575,11575,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
506,Bat-6-58691,58691,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
606,Bat-6-549,549,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
706,Bat-6-11560,11560,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
806,Bat-6-11594,11594,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
906,Bat-6-523,523,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1006,Bat-6-58121,58121,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1106,Bat-6-11584,11584,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1206,Bat-6-505,505,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1306,Bat-6-80466,80466,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1406,Bat-6-81983,81983,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1506,Bat-6-81305,81305,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1606,Bat-6-11561,11561,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1706,Bat-6-81984,81984,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1806,Bat-6-80981,80981,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1906,Bat-6-12905,12905,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
