$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
 136 PCHRO001412      0    0    1     2.5        1       0    0   532       0      10       4
 137 PCHRO002530      0    0    1    2.56        1       0    0   532       0      10       4
 138 PCHRO026716      0    0    1       3        1       0    0   533       0      10       4
 139 PCHRO027161      0    0    1   3.804        1       0    0   534       0      10       4
 140 PCHRO027963      0    0    1       2        1       0    0   339       0      10       4
 141 PCHRO028083      0    0    1    0.95        1       0    0   396       0      10       4
 142 PCHRO028099      0    0    1    1.48        1       0    0   534       0      10       4
 143 PCHRO029211      0    0    1    1.84        1       0    0   396       0      10       4
 144 PCHRO032220      0    0    1       2        1       0    0   396       0      10       4
1577 PCHRO000396      0    0    1   11.12        1       0    0   536       0      10       4
1578 PCHRO000775      0    0    1    1.26        1       0    0   534       0      10       4
1579 PCHRO002569      0    0    1    5.28        1       0    0   370       0      10       4
1580 PCHRO027072      0    0    1     4.8        1       0    0   533       0      10       4
1581 PCHRO028026      0    0    1     6.9        1       0    0   533       0      10       4
1582 PCHRO028840      0    0    1    25.7        1       0    0   537       0      10       4
1583 PCHRO028849      0    0    1     3.6        1       0    0   533       0      10       4
1584 PCHRO029373      0    0    1     9.6        1       0    0   533       0      10       4
1585 PCHRO029434      0    0    1   17.01        1       0    0   533       0      10       4
1586 PCHRO029435      0    0    1      20        1       0    0   533       0      10       4
1587 PCHRO029436      0    0    1      17        1       0    0   533       0      10       4
1588 PCHRO029758      0    0    1     1.4        1       0    0   533       0      10       4
1589 PCHRO030573      0    0    1   9.801        1       0    0   533       0      10       4
1590 PCHRO031050      0    0    1       7        1       0    0   538       0      10       4
2069 UFVRO053687      0    0    1    1.25        1       0    0   320       0      10       2
2070 UFVRO056129      0    0    1     5.2        1       0    0   320       0      10       2
2071 UFVRO056130      0    0    1     5.3        1       0    0   320       0      10       2
2072 UFVRO072139      0    0    1       1        1       0    0   320       0      10       2
3929 PBIOM2942156     0    1    1 11.6996        1       0    0   556       0      10       3
