**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4  1098.4
2026 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95
2027  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5  1103.5
2028 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05 1106.05
2029  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6  1108.6
2030 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15 1111.15
2031 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42 1112.42
2032 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97 1114.97
2033 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95 1100.95
2034 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
2035 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
2036 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
2037 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
2038 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
2039 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47 1089.47
**** Fuel:    235 DIESEL (235)
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75 3448.75
2026  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8  3456.8
2027 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85 3464.85
2028 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91 3472.91
2029 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96 3480.96
2030 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01 3489.01
