**** Fuel:    212 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2026  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2027  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2028  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2029  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2030  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2031  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2032  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89  110.89
2033  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2034  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2035  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2036  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2037  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2038  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
2039  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88  110.88
**** Fuel:     36 GAS (36)    
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97
2026  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71
2027  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45
2028  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43
2029  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17
2030   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9
2031  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64
2032  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38
2033  173.11  173.11  173.11  173.11  173.11  173.11  173.11  173.11  173.11  173.11  173.11  173.11
2034  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
2035  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
2036  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
2037  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
2038  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
2039  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34  169.34
**** Fuel:     21 GAS (21)    
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97  191.97
2026  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71  189.71
2027  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45  187.45
2028  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43  184.43
2029  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17  182.17
2030   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9   179.9
2031  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64  177.64
2032  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38  175.38
