**** Fuel:     12 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59 1402.59
2026 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57 1215.57
2027 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44 1145.44
2028 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32 1075.32
2029 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19 1005.19
2030  935.06  935.06  935.06  935.06  935.06  935.06  935.06  935.06  935.06  935.06  935.06  935.06
2031  897.65  897.65  897.65  897.65  897.65  897.65  897.65  897.65  897.65  897.65  897.65  897.65
2032  860.25  860.25  860.25  860.25  860.25  860.25  860.25  860.25  860.25  860.25  860.25  860.25
2033  822.85  822.85  822.85  822.85  822.85  822.85  822.85  822.85  822.85  822.85  822.85  822.85
2034  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
2035  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
2036  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
2037  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
2038  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
2039  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45  785.45
**** Fuel:     86 GNL         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  206.84  206.84  206.84  206.84  206.84  206.84  206.84  206.84  206.84  206.84  206.84  206.84
2026  204.34  204.34  204.34  204.34  204.34  204.34  204.34  204.34  204.34  204.34  204.34  204.34
2027  201.83  201.83  201.83  201.83  201.83  201.83  201.83  201.83  201.83  201.83  201.83  201.83
2028  198.49  198.49  198.49  198.49  198.49  198.49  198.49  198.49  198.49  198.49  198.49  198.49
2029  195.99  195.99  195.99  195.99  195.99  195.99  195.99  195.99  195.99  195.99  195.99  195.99
2030  193.49  193.49  193.49  193.49  193.49  193.49  193.49  193.49  193.49  193.49  193.49  193.49
2031  190.98  190.98  190.98  190.98  190.98  190.98  190.98  190.98  190.98  190.98  190.98  190.98
2032  188.48  188.48  188.48  188.48  188.48  188.48  188.48  188.48  188.48  188.48  188.48  188.48
2033  185.98  185.98  185.98  185.98  185.98  185.98  185.98  185.98  185.98  185.98  185.98  185.98
2034   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
2035   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
2036   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
2037   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
2038   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
2039   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8   181.8
**** Fuel:    182 DIESEL      
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17 1896.17
2026 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54
2027  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9  1904.9
2028 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27 1909.27
2029 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64 1913.64
2030 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01 1918.01
2031  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2  1920.2
2032 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57 1924.57
2033 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54 1900.54
2034 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
2035 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
2036 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
2037 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
2038 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
2039 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87 1880.87
**** Fuel:    334 GAS (334)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98 1551.98
2026 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58 1213.58
2027 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39 1146.39
2028 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19 1079.19
2029 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99 1011.99
2030   944.8   944.8   944.8   944.8   944.8   944.8   944.8   944.8   944.8   944.8   944.8   944.8
2031  908.96  908.96  908.96  908.96  908.96  908.96  908.96  908.96  908.96  908.96  908.96  908.96
2032  873.12  873.12  873.12  873.12  873.12  873.12  873.12  873.12  873.12  873.12  873.12  873.12
2033  837.28  837.28  837.28  837.28  837.28  837.28  837.28  837.28  837.28  837.28  837.28  837.28
2034  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
2035  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
2036  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
2037  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
2038  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
2039  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44  801.44
**** Fuel:     15 GNL (15)    
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     311     311     311     311     311     311     311     311     311     311     311     311
2026  307.01  307.01  307.01  307.01  307.01  307.01  307.01  307.01  307.01  307.01  307.01  307.01
2027  303.01  303.01  303.01  303.01  303.01  303.01  303.01  303.01  303.01  303.01  303.01  303.01
2028  297.69  297.69  297.69  297.69  297.69  297.69  297.69  297.69  297.69  297.69  297.69  297.69
2029   293.7   293.7   293.7   293.7   293.7   293.7   293.7   293.7   293.7   293.7   293.7   293.7
2030  289.71  289.71  289.71  289.71  289.71  289.71  289.71  289.71  289.71  289.71  289.71  289.71
2031  285.72  285.72  285.72  285.72  285.72  285.72  285.72  285.72  285.72  285.72  285.72  285.72
2032  281.73  281.73  281.73  281.73  281.73  281.73  281.73  281.73  281.73  281.73  281.73  281.73
2033  277.74  277.74  277.74  277.74  277.74  277.74  277.74  277.74  277.74  277.74  277.74  277.74
2034  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
2035  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
2036  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
2037  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
2038  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
2039  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08  271.08
**** Fuel:    257 GAS (257)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55 1408.55
2026 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55 1224.55
2027 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55 1155.55
2028 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54 1086.54
2029 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54 1017.54
2030  948.54  948.54  948.54  948.54  948.54  948.54  948.54  948.54  948.54  948.54  948.54  948.54
2031  911.74  911.74  911.74  911.74  911.74  911.74  911.74  911.74  911.74  911.74  911.74  911.74
2032  874.94  874.94  874.94  874.94  874.94  874.94  874.94  874.94  874.94  874.94  874.94  874.94
2033  838.14  838.14  838.14  838.14  838.14  838.14  838.14  838.14  838.14  838.14  838.14  838.14
2034  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
2035  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
2036  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
2037  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
2038  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
2039  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34  801.34
**** Fuel:    247 GAS (247)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62
2026 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94
2027 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55
2028 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17 1309.17
2029 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79 1223.79
2030 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41 1138.41
2031 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88 1092.88
2032 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34 1047.34
2033  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8  1001.8
2034  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
2035  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
2036  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
2037  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
2038  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
2039  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27  956.27
**** Fuel:    251 GAS (251)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62 1707.62
2026 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94 1479.94
2027 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55 1394.55
