$version=3
!Code, Name, FlagLB, LB, FlagUB, UB
1,EXPN CA,0,,1,8000
2,NNSE->SE,0,,1,15600
3,RECNE,0,,1,11000
4,EXPNE,0,,1,13800
5,RSUL CA,1,-7000,1,10500
7,RSE,0,,1,10200
8,FNS+Bip GAranha,1,-5000,1,4619.005
9,XI->SE,0,,1,8000
10,XI<-SE,0,,1,4200
11,XI->MAN,1,-1000,1,740.7159
12,NE->N,1,-7800,1,6200
13,NE->SE,1,-6000,1,8500.086
14,TP->SE,0,,1,3600
15,AC/RO->SE,0,,1,6750
16,AC/RO<-SE,0,,1,6750
17,MAD->SE,0,,1,430
100,Itaipu1,1,0,1,0
101,Itaipu2,1,0,1,0
102,Madeira1,1,0,1,0
103,Madeira2,1,0,1,0
106,GAranha,1,0,1,0
107,B2B,1,0,1,0
104,X_Estreito,1,0,1,0
105,X_TRio,1,0,1,0
