$version=2
!Code,Name
28,CEMIG - REGIAO DO TRIANGULO MINEIRO
29,CEMIG - REGIAO OESTE
30,CEMIG - REGIAO NORTE
31,CEMIG - REGIAO SUL
32,CEMIG - BARRAS DE TERCIARIO
33,ENERGISA MINAS RIO
35,AES-TIETE
36,CESP
37,DUKE-GP
38,EMAE
39,CPFL - SANTA CRUZ
40,CPFL - SUDESTE
41,CPFL - NOROESTE
42,CPFL - NORDESTE
43,CPFL PIRATININGA - BAIXADA
44,CPFL PIRATININGA - OESTE
45,CTEEP - SISTEMA DE 440KV E 500KV
46,CTEEP - 138KV DA REGIÃO OESTE
47,CTEEP - SISTEMA DE 88KV
48,CTEEP - 138KV DO LITORAL E C. BONITO
49,CTEEP - 138KV DA REGIÃO DO PARDO
50,CTEEP - SISTEMA DE 345KV E 230KV
51,REDE ENERGIA
52,ELEKTRO - CENTRO
53,ELEKTRO - LESTE
54,ELEKTRO - NOROESTE
55,ELEKTRO - SUL
56,BANDEIRANTE
58,ENEL SÃO PAULO
59,CPFL JAGUARIUNA
60,CONSUMIDORES LIVRES (RB) - SE/CO
61,FURNAS - ITAIPU 50 Hz
62,FURNAS - GERACAO E CONTROLE
63,FURNAS - TRANSMISSAO RJ ES MG SP
64,FURNAS - TRANSMISSAO GO DF MT
65,FURNAS- BARRAS TERCIARIAS E FIC
68,LIGHT
69,ENEL RIO - SUL FLUMINENSE
70,ENEL RIO - NORTE FLUMINENSE
71,ENEL RIO - METROPOLITANA
74,EDP ESPIRITO SANTO
75,TELES PIRES
76,BELO MONTE
77,MADEIRA
78,ACRE E RONDONIA
79,ICG - SE/CO
80,TRANSMISSORAS SUDESTE-COESTE
81,GERADORES HIDR SUDESTE-COESTE
82,GERADORES TERM SUDESTE-COESTE
83,RGE SUL
84,CEEE
85,CEEE GRUPO EQUATORIAL
86,ENERSUL
87,RGE
88,CELESC - AREA LESTE
89,CELESC - OESTE + SUL
90,ELETROSUL 230KV - SE/CO
91,COPEL - G&T
92,COPEL - D
93,ELETROSUL 525KV
94,ELETROSUL 230KV - SUL
95,CPFL
96,GERASUL
97,OUTRAS EMPRESAS DE GERACAO SUL
98,CONSUMIDORES LIVRES (RB) - SUL
99,PERMISSIONÁRIAS DO BRASIL
101,EQUATORIAL-PI
102,ENEL CEARÁ
103,COSERN
104,SAELPA
105,CELPE
106,EQUATORIAL-AL
107,ENERGISA-SE
108,COELBA
109,EQUATORIAL-MA
110,EQUATORIAL-PA
112,CONSUMIDORES LIVRES (RB) - Norte
113,MANAUS
114,AMAPA
115,RORAIMA
116,TAPAJÓS
117,CONSUMIDORES LIVRES (RB) - Nordeste
118,ÉOLICAS NORDESTE
119,SOLARES N/NE
120,SOLARES SE/CO
999,SOLARES E ÉOLICAS
998,Undefined
