$version=1
!Code,Name,System,Area,Zone,ControlType,BaseVoltage,FlagLoadShedding,FlagMonitored
1,PAF1-1UHE013,3,998,,1,13.8,0,0
4,PAF2A1UHE013,3,998,,1,13.8,0,0
5,PAF2A2UHE013,3,998,,1,13.8,0,0
6,PAF2A3UHE013,3,998,,1,13.8,0,0
7,PAF2B1UHE013,3,998,,1,13.8,0,0
8,PAF2B2UHE013,3,998,,1,13.8,0,0
9,PAF2B3UHE013,3,998,,1,13.8,0,0
10,PAF3-1UHE013,3,998,,1,13.8,0,0
11,PAF3-2UHE013,3,998,,1,13.8,0,0
14,PAF4-1UHE013,3,998,,1,13.8,0,0
21,SOBRA1UHE013,3,998,,1,13.8,0,0
22,SOBRM2SIN013,3,998,,1,13.8,0,0
28,ASALE1UHE013,3,998,,1,13.8,0,0
29,ASALE2UHE013,3,998,,1,13.8,0,0
33,LGONZ1UHE013,3,998,,1,13.8,0,0
34,LGONZ2UHE013,3,998,,1,13.8,0,0
35,LGONZA-PE000,3,998,,0,999,0,0
44,BESPE1UHE013,3,998,,1,13.8,0,0
46,BESPE3UHE013,3,998,,1,13.8,0,0
47,BESPM4SIN013,3,998,,1,13.8,0,0
48,PCAVA1UHE013,3,998,,1,13.8,0,0
50,TUC1-5UHE013,4,998,,1,13.8,0,0
52,TUC1-3UHE013,4,998,,1,13.8,0,0
54,TUC1-4UHE013,4,998,,1,13.8,0,0
63,FUNIL1UHE013,3,998,,1,13.8,0,0
68,RGONCAUHE013,3,998,,1,13.8,0,0
69,URUCUIUHE013,3,998,,1,13.8,0,0
70,TUC2-4UHE013,4,998,,1,13.8,0,0
71,TUC2-7UHE013,4,998,,1,13.8,0,0
72,TUC1-ASIN013,4,998,,1,13.8,0,0
73,TUC1-BSIN013,4,998,,1,13.8,0,0
74,E.PCEMUTE013,3,102,,1,13.8,0,0
77,SQUEBRUHE013,3,998,,1,13.8,0,0
80,ESTREIUHE013,4,998,,1,13.8,0,0
86,CASTELUHE013,3,998,,1,13.8,0,0
87,ESTRE-UHE013,10,998,,1,13.8,0,0
88,CACHEAUHE013,3,998,,1,13.8,0,0
89,XINGO1UHE013,3,998,,1,13.8,0,0
95,ITAPE1UHE013,3,998,,1,13.8,0,0
96,SUAPE1UTE013,3,998,,1,13.8,0,0
97,SUAPE2UTE013,3,998,,1,13.8,0,0
98,SUAPE3UTE013,3,998,,1,13.8,0,0
99,SUAPE4UTE013,3,998,,1,13.8,0,0
100,SUAPE5UTE013,3,998,,1,13.8,0,0
101,SUAPE6UTE013,3,998,,1,13.8,0,0
102,MARAC1UTE013,3,102,,1,13.8,0,0
103,S.BONF-BA138,3,108,,0,138,0,0
104,PERNA3UTE013,3,998,,1,13.8,0,0
108,MURICYUTE013,3,998,,1,13.8,0,0
109,CAMAPAUTE007,3,998,,1,6.9,0,0
110,PROSPE-BA230,3,998,,0,230,0,0
111,PRO2E4UTE013,3,998,,1,13.8,0,0
112,PROSP1UTE013,3,998,,1,13.8,0,0
115,P.FRAN-MA138,4,109,,0,138,0,0
120,B.NOME-PE138,3,105,,0,138,0,0
121,MLG-RE-CE013,3,102,,0,13.8,0,0
122,BNOME2-PE138,3,105,,0,138,0,0
125,FORTAB-CE013,3,102,,0,13.8,0,0
127,PIRIPI-PI138,3,101,,0,138,0,0
128,GLOB1-UTE013,3,998,,1,13.8,0,0
129,GLOB2-UTE013,3,998,,1,13.8,0,0
130,TERMPBUTE013,3,998,,1,13.8,0,0
131,MIRAND-MA138,4,109,,0,138,0,0
137,TERMNEUTE013,3,998,,1,13.8,0,0
138,EPASA--PB230,3,998,,0,230,0,0
139,CABO--UTE013,3,998,,1,13.8,0,0
140,BAHIA1UTE013,3,108,,1,13.8,0,0
141,SUAPE--PE230,3,998,,0,230,0,0
142,MARAC1-CE069,3,102,,0,69,0,0
145,S.CRUZ-RN138,3,103,,0,138,0,0
147,SUAPE1-PE000,3,998,,0,999,0,0
148,SUAPE2-PE000,3,998,,0,999,0,0
149,SUAPE3-PE000,3,998,,0,999,0,0
150,CAMAC1-BA069,3,108,,0,69,0,0
151,AÇU2---RN138,3,103,,0,138,0,0
152,S.MATO-RN138,3,103,,0,138,0,0
160,TERPEGUTE013,3,998,,1,13.8,0,0
161,TERPEVUTE013,3,998,,1,13.8,0,0
162,T.FREI-BA138,3,108,,0,138,0,0
166,C.M.1-CAP500,4,998,,0,500,0,0
167,LAJEADUHE013,1,998,,1,13.8,0,0
169,EUNAPO-BA138,3,108,,0,138,0,0
170,CFURTAUTE013,3,998,,1,13.8,0,0
172,VERACEUTE013,3,998,,1,13.8,0,0
174,CMDCS--BA000,3,998,,0,999,0,0
176,FUNIL--BA115,3,108,,0,115,0,0
180,B.PULPUTE013,3,108,,1,13.8,0,0
181,B.PULP-BA069,3,108,,0,69,0,0
182,COPEC--BA069,3,108,,0,69,0,0
183,IRECE--BA138,3,108,,0,138,0,0
186,BARREI-BA138,3,108,,0,138,0,0
188,IBICOA-BA138,3,108,,0,138,0,0
190,PIMENT-PA230,4,998,,0,230,0,0
191,COLITACAP500,4,998,,0,500,0,0
192,ST.MAR-PA138,4,110,,0,138,0,0
193,PIMEN1UHE013,4,998,,1,13.8,0,0
194,PIMEN2UHE013,4,998,,1,13.8,0,0
195,PIMEN3UHE013,4,998,,1,13.8,0,0
196,CGRD--UTE013,3,998,,1,13.8,0,0
197,MARAB3CAP500,4,998,,0,500,0,0
198,VCOND2-PA000,4,998,,0,999,0,0
199,MARABASIN013,4,998,,1,13.8,0,0
200,PAF3-A-BA230,3,998,,0,230,0,0
202,JUAZE2-BA230,3,998,,0,230,0,0
203,S.BONF-BA230,3,998,,0,230,0,0
204,SCHIN--MA230,4,117,,0,230,0,0
205,BROTAS-BA230,3,998,,0,230,0,0
206,SOBRAD-BA230,3,998,,0,230,0,0
207,JAGUAR-BA230,3,108,,0,230,0,0
208,ZEBUII-AL230,3,998,,0,230,0,0
209,POCOE2-BA230,3,108,,0,230,0,0
210,RGONCA-PI230,3,998,,0,230,0,0
211,CASTEL-PI230,3,998,,0,230,0,0
212,FLORII-PE230,3,998,,0,230,0,0
213,ITAGIB-BA230,3,998,,0,230,0,0
214,EMBASA-BA230,3,998,,0,230,0,0
215,BALSAS-MA230,4,998,,0,230,0,0
216,TAUA2--CE230,3,998,,0,230,0,0
217,ICO----CE230,3,998,,0,230,0,0
218,CAUIPE-CE230,3,998,,0,230,0,0
219,D.GOUV-CE230,3,998,,0,230,0,0
220,BOM-NO-PE230,3,998,,0,230,0,0
221,MILAGR-CE230,3,998,,0,230,0,0
222,BANABU-CE230,3,998,,0,230,0,0
223,RUSSA2-CE230,3,998,,0,230,0,0
224,MOSSR2-RN230,3,998,,0,230,0,0
225,FORTAL-CE230,3,998,,0,230,0,0
226,SOBRAL-CE230,3,998,,0,230,0,0
227,PIRIPI-PI230,3,998,,0,230,0,0
228,TERES--PI230,3,998,,0,230,0,0
229,B.ESPE-PI230,3,998,,0,230,0,0
230,PERITO-MA230,4,998,,0,230,0,0
231,MIRAND-MA230,4,998,,0,230,0,0
232,SLUIS1-MA230,4,998,,0,230,0,0
233,COREM2-PB230,3,998,,0,230,0,0
234,PICI2--CE230,3,998,,0,230,0,0
235,CASTAN-PA230,4,998,,0,230,0,0
236,C.NETO-MA230,4,998,,0,230,0,0
237,S.J.PI-PI230,3,998,,0,230,0,0
238,P.DUTR-MA230,4,998,,0,230,0,0
239,IMPERA-MA230,4,998,,0,230,0,0
240,ANGELI-PE230,3,998,,0,230,0,0
241,RECIFE-PE230,3,998,,0,230,0,0
242,R.LAR--AL230,3,998,,0,230,0,0
243,BONGI--PE230,3,998,,0,230,0,0
245,SRITA2-PB230,3,998,,0,230,0,0
246,NATAL2-RN230,3,998,,0,230,0,0
247,GOIANI-PE230,3,998,,0,230,0,0
248,MUSSU2-PB230,3,998,,0,230,0,0
249,PIRAPA-PE230,3,998,,0,230,0,0
250,MIRUEI-PE230,3,998,,0,230,0,0
251,AÇU2---RN230,3,998,,0,230,0,0
252,RIBEIR-PE230,3,998,,0,230,0,0
253,SUAPE3-PE230,3,998,,0,230,0,0
254,JOAIRA-PE230,3,998,,0,230,0,0
255,TACAIM-PE230,3,998,,0,230,0,0
256,LCARRO-PE230,3,998,,0,230,0,0
257,BNOME2-PE230,3,998,,0,230,0,0
258,PENEDO-AL230,3,998,,0,230,0,0
259,MACEIO-AL230,3,998,,0,230,0,0
260,PAU-FE-PE230,3,998,,0,230,0,0
261,MIRUE2-PE230,3,998,,0,230,0,0
262,T.FREI-BA230,3,998,,0,230,0,0
263,ITAPEB-BA230,3,998,,0,230,0,0
264,S.A.JE-BA230,3,998,,0,230,0,0
265,ITBANI-SE230,3,998,,0,230,0,0
266,TOMBA--BA230,3,998,,0,230,0,0
267,VERACE-BA230,3,117,,0,230,0,0
268,NARAND-BA230,3,998,,0,230,0,0
269,EUNAPO-BA230,3,998,,0,230,0,0
270,C.DANT-BA230,3,998,,0,230,0,0
271,ITABAI-SE230,3,998,,0,230,0,0
