$version=1
!Code,Name,Bus,ControlledBus,ShuntControlType,Existing,NumberOfUnits,G,B,Decommissioned
1,MOSSR2-RN230 DBAR Shunt 001,224,,3,1,1,0,-20,0
2,ALUML1-MA034 DBAR Shunt 001,810,,3,1,1,0,19.2,0
3,ALUML2-MA034 DBAR Shunt 001,811,,3,1,1,0,19.2,0
4,ALUML3-MA034 DBAR Shunt 001,812,,3,1,1,0,19.2,0
5,FUNIL--BA013 DBAR Shunt 001,876,,3,1,1,0,6.2,0
6,CATU-B-BA013 DBAR Shunt 001,972,,3,1,1,0,6.2,0
7,XAVANT-GO138 DBAR Shunt 001,1182,,3,1,1,0,9,0
8,TRINDT-GO138 DBAR Shunt 001,1196,,3,1,1,0,12,0
9,PIRINE-GO138 DBAR Shunt 001,1213,,3,1,1,0,15,0
10,NEROPO-GO138 DBAR Shunt 001,1256,,3,1,1,0,6,0
11,PLACER-MT138 DBAR Shunt 001,1345,,3,1,1,0,-5,0
12,BBUGRE-MT069 DBAR Shunt 001,1361,,3,1,1,0,1.8,0
13,JUARA--MT138 DBAR Shunt 001,1375,,3,1,1,0,3.6,0
14,JUINA--MT138 DBAR Shunt 001,1376,,3,1,1,0,1.8,0
15,STA-RI-MT138 DBAR Shunt 001,1377,,3,1,1,0,-5,0
16,SJRCLA-MT138 DBAR Shunt 001,1381,,3,1,1,0,-5,0
17,COLIDE-MT138 DBAR Shunt 001,1391,,3,1,1,0,7.2,0
18,AFLORE-MT138 DBAR Shunt 001,1393,,3,1,1,0,7.2,0
19,NEVES1-MG138 DBAR Shunt 001,1566,,3,1,1,0,137.4,0
20,EMBU---SP138 DBAR Shunt 001,2646,,3,1,1,0,200,0
21,VOTUP2-SP138 DBAR Shunt 001,2701,,3,1,1,0,50,0
22,SJRPRE-SP138 DBAR Shunt 001,2703,,3,1,1,0,100,0
23,TIET-A-SP138 DBAR Shunt 001,2780,,3,1,1,0,40,0
24,PERUB1-SP138 DBAR Shunt 001,2805,,3,1,1,0,42.9,0
25,ANHAGA-SP088 DBAR Shunt 001,2903,,3,1,1,0,57.6,0
26,ITAPTB-SP088 DBAR Shunt 001,2914,,3,1,1,0,57.6,0
27,RREBER-SP088 DBAR Shunt 001,2918,,3,1,1,0,115.2,0
28,BAIXAD-SP088 DBAR Shunt 001,2922,,3,1,1,0,126,0
29,BAND8A-SP088 DBAR Shunt 001,2935,,3,1,1,0,120.6,0
30,BANDDA-SP034 DBAR Shunt 001,2936,,3,1,1,0,48.6,0
31,E.SOUZ-SP088 DBAR Shunt 001,2940,,3,1,1,0,63,0
32,CENT8A-SP088 DBAR Shunt 001,2944,,3,1,1,0,21,0
33,CENTDA-SP020 DBAR Shunt 001,2945,,3,1,1,0,32.4,0
34,PIRIUA-SP088 DBAR Shunt 001,2947,,3,1,1,0,63,0
35,PIRATI-SP088 DBAR Shunt 001,2949,,3,1,1,0,28.8,0
36,PIRA2A-SP088 DBAR Shunt 001,2950,,3,1,1,0,57.6,0
37,APAREC-SP088 DBAR Shunt 001,2958,,3,1,1,0,21,0
38,RONDA1-MT013 DBAR Shunt 001,3258,,3,1,1,0,-30,0
39,CARBOC-SP138 DBAR Shunt 001,4531,,3,1,1,0,8,0
40,AVERDE-PR069 DBAR Shunt 001,6779,,3,1,1,0,9.6,0
41,TAFISA-PR138 DBAR Shunt 001,6789,,3,1,1,0,9.6,0
42,ANDIRA-PR138 DBAR Shunt 001,6816,,3,1,1,0,1.2,0
43,CRISTO-PR138 DBAR Shunt 001,6819,,3,1,1,0,2.4,0
44,ARAPON-PR138 DBAR Shunt 001,6822,,3,1,1,0,3.6,0
45,ARAUCA-PR069 DBAR Shunt 001,6824,,3,1,1,0,7.2,0
46,TOMAZC-PR069 DBAR Shunt 001,6825,,3,1,1,0,14.4,0
47,ASSAI--PR138 DBAR Shunt 001,6827,,3,1,1,0,2.4,0
48,ASTORG-PR138 DBAR Shunt 001,6828,,3,1,1,0,1.2,0
49,BAIRRA-PR069 DBAR Shunt 001,6839,,3,1,1,0,9.6,0
50,BDRANT-PR138 DBAR Shunt 001,6840,,3,1,1,0,1.2,0
51,BVPARA-PR138 DBAR Shunt 001,6846,,3,1,1,0,4.8,0
52,SPIVAI-PR138 DBAR Shunt 001,6847,,3,1,1,0,4.8,0
53,CASSOB-PR013 DBAR Shunt 001,6850,,3,1,1,0,9.6,0
54,CCOMPR-PR013 DBAR Shunt 001,6851,,3,1,1,0,2.4,0
55,ATUBA--PR069 DBAR Shunt 001,6864,,3,1,1,0,21.6,0
56,CENTRO-PR069 DBAR Shunt 001,6865,,3,1,1,0,9.6,0
57,CIC----PR069 DBAR Shunt 001,6867,,3,1,1,0,9.6,0
58,PILARZ-PR069 DBAR Shunt 001,6868,,3,1,1,0,15,0
59,TARUMA-PR069 DBAR Shunt 001,6871,,3,1,1,0,24,0
60,PAROLI-PR069 DBAR Shunt 001,6873,,3,1,1,0,9.6,0
61,BATEL--PR069 DBAR Shunt 001,6874,,3,1,1,0,19.2,0
62,NOVOMU-PR069 DBAR Shunt 001,6875,,3,1,1,0,9.6,0
63,MERCES-PR069 DBAR Shunt 001,6878,,3,1,1,0,19.2,0
64,TATU+F-PR069 DBAR Shunt 001,6879,,3,1,1,0,9.6,0
65,STAFEL-PR069 DBAR Shunt 001,6880,,3,1,1,0,4.8,0
66,CSIQUE-PR069 DBAR Shunt 001,6883,,3,1,1,0,9.6,0
67,B.RETI-PR069 DBAR Shunt 001,6889,,3,1,1,0,4.8,0
68,XAXIM--PR069 DBAR Shunt 001,6890,,3,1,1,0,14.4,0
69,DICLAR-PR138 DBAR Shunt 001,6904,,3,1,1,0,7.2,0
70,C.MOUR-PR138 DBAR Shunt 001,6910,,3,1,1,0,4.8,0
71,BDEIRA-PR138 DBAR Shunt 001,6911,,3,1,1,0,2.4,0
72,CPROCO-PR138 DBAR Shunt 001,6917,,3,1,1,0,6,0
73,COLOMB-PR138 DBAR Shunt 001,6922,,3,1,1,0,4.8,0
74,DI.SJP-PR069 DBAR Shunt 001,6925,,3,1,1,0,30,0
75,FAXINA-PR138 DBAR Shunt 001,6952,,3,1,1,0,1.2,0
76,FIGUEI-PR138 DBAR Shunt 001,6957,,3,1,1,0,2.4,0
77,FLORES-PR138 DBAR Shunt 001,6958,,3,1,1,0,3.6,0
78,GOIOER-PR138 DBAR Shunt 001,6980,,3,1,1,0,4.8,0
79,GUARAI-PR069 DBAR Shunt 001,6985,,3,1,1,0,19.2,0
