$version=1
!Code,Name,BusFromCode,BusToCode,CircuitType,Length,Existing,Decommissioned,Resistance,Reactance,TotalSusceptance,Rating,EmergencyRating,OutageProbability,FlagMonitored,FlagContingency,FlagOutageSampling,MeteringEnd
1,PROSPE-BA230/CAMAC4-BA230 01,110,284,0,0,0,0,0.3704,2.1825,4.0731,279,349,0,1,0,0,1
2,P.FRAN-MA138/TOCANT-TO138 01,115,9800,0,0,0,0,1.018,2.181,0.5789,112,127,0,0,0,0,2
3,P.FRAN-MA138/TOCANT-TO138 02,115,9800,0,0,0,0,1.018,2.181,0.5789,112,127,0,0,0,0,2
4,B.NOME-PE138/BNOME2-PE138 01,120,122,0,0,0,0,0.2915,1.2692,0.64,228,306,0,0,0,0,1
5,B.NOME-PE138/S.SALG-PE138 01,120,58098,0,0,0,0,5.59,15,3.41,132,132,0,0,0,0,1
6,B.NOME-PE138/S.SALG-PE138 02,120,58098,0,0,0,0,5.59,15,3.41,132,132,0,0,0,0,1
7,B.NOME-PE138/BRIGDA-PE138 01,120,80702,0,0,0,0,0,0.001,0,99999,99999,0,0,0,0,1
8,EPASA--PB230/MUSSU2-PB230 01,138,248,0,0,0,0,0.01,0.02,0.06,478,478,0,1,0,0,1
9,SUAPE--PE230/SUAPE2-PE230 01,141,353,0,0,0,0,0.092,0.459,0.8932,99999,99999,0,1,0,0,1
10,SUAPE--PE230/SUAPE2-PE230 02,141,353,0,0,0,0,0.092,0.459,0.8932,99999,99999,0,1,0,0,1
11,MARAC1-CE069/FORTAL-CE069 01,142,625,0,0,0,0,1.328,4.662,0,99999,99999,0,0,0,0,1
12,A?U2---RN138/S.MATO-RN138 01,151,152,0,0,0,0,4.03,13.09,3.1,68,68,0,0,0,0,2
13,A?U2---RN138/S.MATO-RN138 02,151,152,0,0,0,0,4.171,13.009,3.176,101,101,0,0,0,0,1
14,A?U2---RN138/POLORN-RN138 01,151,80800,0,0,0,0,7.848,19.541,5.1797,99999,99999,0,0,0,0,1
15,A?U2---RN138/POLORN-RN138 02,151,80800,0,0,0,0,7.96,19.82,5.253,99999,99999,0,0,0,0,1
16,T.FREI-BA138/ITAMAR-BA138 01,162,18554,0,0,0,0,6.47,17.16,4.274,100,136,0,0,0,0,1
17,C.M.1-CAP500/MIRACE-TO500 01,166,571,0,0,0,0,0.1164,1.8643,265.83,2598,2728,0,1,0,0,1
18,EUNAPO-BA138/ITAMAR-BA138 01,169,18554,0,0,0,0,8.03,21.26,5.99,100,136,0,0,0,0,1
19,EUNAPO-BA138/ITAPEB-BA138 01,169,18600,0,0,0,0,4.27,12.22,2.938,95,136,0,0,0,0,1
20,EUNAPO-BA138/DPS----BA138 01,169,18628,0,0,0,0,0.4,0.99,0.262,100,136,0,0,0,0,1
21,EUNAPO-BA138/DPS----BA138 02,169,18628,0,0,0,0,0.63,1.59,0.42,100,136,0,0,0,0,1
22,COPEC--BA069/B.PULP-BA069 01,182,181,0,0,0,0,1.15,2.73,0.063,50,68,0,0,0,0,1
23,COPEC--BA069/RALMEI-BA069 01,182,337,0,0,0,0,1.36,6.03,0.105,75,102,0,0,0,0,1
24,COPEC--BA069/RALMEI-BA069 02,182,337,0,0,0,0,1.36,6.03,0.105,75,102,0,0,0,0,1
25,BARREI-BA138/BAREI3-BA138 01,186,18645,0,0,0,0,1.85,4.62,1.22,100,135,0,0,0,0,1
26,BARREI-BA138/ALTO.F-BA138 02,186,18797,0,0,0,0,5.06,12.65,3.34,100,135,0,0,0,0,1
27,COLITACAP500/COLINA-TO500 01,191,591,0,0,0,0,0.189,3.037,454.1,2598,2598,0,1,0,0,1
28,ST.MAR-PA138/S.MIGU-PA138 01,192,19751,0,0,0,0,3.4157,8.8217,2.1519,126,126,0,0,0,0,2
29,MARAB3CAP500/MARABA-PA500 01,197,599,0,0,0,0,0,-0.71,0,1992,2680,0,1,0,0,1
30,PAF3-A-BA230/ZEBUII-AL230 01,200,208,0,0,0,0,0.1,0.52,0.98,251,317,0,1,0,0,1
31,PAF3-A-BA230/C.DANT-BA230 01,200,270,0,0,0,0,2.45,13.1,22.68,251,251,0,1,0,0,1
32,PAF3-A-BA230/GARANH-PE230 01,200,349,0,0,0,0,3.681,20.066,34.322,174,247,0,1,0,0,1
33,PAF3-A-BA230/SANTA2-AL230 01,200,11201,0,0,0,0,2.1358,10.241,18.859,174,247,0,1,0,0,1
34,PAF3-A-BA230/NSGLO2-SE230 01,200,11250,0,0,0,0,2.5968,13.338,25.24,251,317,0,1,0,0,1
35,JUAZE2-BA230/S.BONF-BA230 01,202,203,0,0,0,0,2.7,13.9,26.26,251,317,0,1,0,0,1
36,JUAZE2-BA230/JAGUAR-BA230 01,202,207,0,0,0,0,1.442,7.05,13.24,251,317,0,1,0,0,1
37,JUAZE2-BA230/JUAZE3-BA230 01,202,11282,0,0,0,0,0.07,0.065,0.254,550,693,0,1,0,0,1
