$version=1
!code,Date,block,Status
18205,1900/01/01,1,1
18205,1900/01/01,2,1
18205,1900/01/01,3,1
18205,1900/01/01,4,1
18206,1900/01/01,1,1
18206,1900/01/01,2,1
18206,1900/01/01,3,1
18206,1900/01/01,4,1
18207,1900/01/01,1,1
18207,1900/01/01,2,1
18207,1900/01/01,3,1
18207,1900/01/01,4,1
18208,1900/01/01,1,1
18208,1900/01/01,2,1
18208,1900/01/01,3,1
18208,1900/01/01,4,1
18209,1900/01/01,1,1
18209,1900/01/01,2,1
18209,1900/01/01,3,1
18209,1900/01/01,4,1
18210,1900/01/01,1,1
18210,1900/01/01,2,1
18210,1900/01/01,3,1
18210,1900/01/01,4,1
18211,1900/01/01,1,1
18211,1900/01/01,2,1
18211,1900/01/01,3,1
18211,1900/01/01,4,1
18212,1900/01/01,1,1
18212,1900/01/01,2,1
18212,1900/01/01,3,1
18212,1900/01/01,4,1
18213,1900/01/01,1,1
18213,1900/01/01,2,1
18213,1900/01/01,3,1
18213,1900/01/01,4,1
18214,1900/01/01,1,1
18214,1900/01/01,2,1
18214,1900/01/01,3,1
18214,1900/01/01,4,1
18215,1900/01/01,1,1
18215,1900/01/01,2,1
18215,1900/01/01,3,1
18215,1900/01/01,4,1
18216,1900/01/01,1,1
18216,1900/01/01,2,1
18216,1900/01/01,3,1
18216,1900/01/01,4,1
18217,1900/01/01,1,1
18217,1900/01/01,2,1
18217,1900/01/01,3,1
18217,1900/01/01,4,1
18218,1900/01/01,1,1
18218,1900/01/01,2,1
18218,1900/01/01,3,1
18218,1900/01/01,4,1
18219,1900/01/01,1,1
18219,1900/01/01,2,1
18219,1900/01/01,3,1
18219,1900/01/01,4,1
18220,1900/01/01,1,1
18220,1900/01/01,2,1
18220,1900/01/01,3,1
18220,1900/01/01,4,1
