$version=1
!Code,Name,ACBusCode,DCBusCode,GroundBusCode,ConverterType,Bridges,SecondaryVoltage,Existing,Decommissioned,NominalCurrent,Xc,MinTap,MaxTap,TapSteps,MaxDcAcCapacity,MaxAcDcCapacity,MinIgnitionAngle,MaxIgnitionAngle,DesiredIgnitionAngle,MinExtinctionAngle,MaxExtinctionAngle,DesiredExtinctionAngle,NominalPower,Capacitance,Frequency
1,LCC_1,3639,10,30,1,4,127.4,0,0,2610,17.8,0.925,1.25,99,0,1566,5,84.99,15,5,84.99,15,471,0,60
2,LCC_2,3691,20,40,2,4,122,0,0,2610,17.2,0.925,1.25,99,1566,0,17,72.74,17,17,72.74,17,450,0,60
3,LCC_3,3639,50,70,1,4,127.4,0,0,2610,17.8,0.925,1.25,99,0,1566,5,84.99,15,5,84.99,15,471,0,60
4,LCC_4,3691,60,80,2,4,122,0,0,2610,17.2,0.925,1.25,99,1566,0,17,72.74,17,17,72.74,17,450,0,60
5,LCC_5,3639,90,110,1,4,127.4,0,0,2610,17.8,0.925,1.25,99,0,1566,5,84.99,15,5,84.99,15,471,0,60
6,LCC_6,3691,100,120,2,4,122,0,0,2610,17.2,0.925,1.25,99,1566,0,17,72.74,17,17,72.74,17,450,0,60
7,LCC_7,3639,130,150,1,4,127.4,0,0,2610,17.8,0.925,1.25,99,0,1566,5,84.99,15,5,84.99,15,471,0,60
8,LCC_8,3691,140,160,2,4,122,0,0,2610,17.2,0.925,1.25,99,1566,0,17,72.74,17,17,72.74,17,450,0,60
1201,LCC_1201,5201,1101,1103,1,2,254.6,0,0,2625,17.5,0.9375,1.313,99,0,1575,5,85,15,5,85,15,945,0,60
1202,LCC_1202,5206,1102,1104,2,2,236,0,0,2625,17.5,0.9375,1.313,99,1575,0,17,80,17,17,80,17,876.3,0,60
1203,LCC_1203,5201,1105,1107,1,2,254.6,0,0,2625,17.5,0.9375,1.313,99,0,1575,5,85,15,5,85,15,945,0,60
1204,LCC_1204,5206,1106,1108,2,2,236,0,0,2625,17.5,0.9375,1.313,99,1575,0,17,80,17,17,80,17,876.3,0,60
1205,LCC_1205,5201,1109,1111,1,2,258,0,0,2625,15,0.925,1.25,99,0,1575,5,163,13,5,163,13,958,0,60
1206,LCC_1206,5206,1110,1112,2,2,243,0,0,2625,15,0.925,1.25,99,1575,0,18.5,19,18.5,18.5,19,18.5,902,0,60
1207,LCC_1207,5201,1113,1115,1,2,258,0,0,2625,15,0.925,1.25,99,0,1575,5,163,13,5,163,13,958,0,60
1208,LCC_1208,5206,1114,1116,2,2,243,0,0,2625,15,0.925,1.25,99,1575,0,18.5,19,18.5,18.5,19,18.5,902,0,60
2201,LCC_2201,5205,2101,2103,0,2,37.8,0,0,3930,14.1,0.8625,1.137,99,400,400,-9.5,18.1,18,-9.5,18.1,18,210,1394,60
2202,LCC_2202,5198,2102,2104,0,2,37.8,0,0,3930,14.1,0.8875,1.137,99,400,400,22,35.9,30,22,35.9,30,210,558,60
2203,LCC_2203,5205,2105,2107,0,2,37.8,0,0,3930,14.1,0.8625,1.137,99,400,400,-9.5,18.1,18,-9.5,18.1,18,210,1394,60
2204,LCC_2204,5198,2106,2108,0,2,37.8,0,0,3930,14.1,0.8875,1.137,99,400,400,22,35.9,30,22,35.9,30,210,558,60
3201,LCC_3201,4945,3101,3103,0,2,335.7,0,0,2500,16,0.9375,1.25,99,400,2000,12.7,17.3,14.3,12.7,17.3,14.3,1188,0,60
3202,LCC_3202,4943,3102,3104,0,2,329.5,0,0,2500,16,0.9375,1.25,99,2000,2000,18,21,18.4,18,21,18.4,1165,0,60
3203,LCC_3203,4945,3105,3107,0,2,335.7,0,0,2500,16,0.9375,1.25,99,2000,2000,12.7,17.3,14.3,12.7,17.3,14.3,1188,0,60
3204,LCC_3204,4943,3106,3108,0,2,329.5,0,0,2500,16,0.9375,1.25,99,2000,2000,18,21,18.4,18,21,18.4,1165,0,60
3205,LCC_3205,4946,3109,3111,0,2,336.7,0,0,2500,16,0.955,1.355,99,2000,2000,5,85,15,5,85,15,1190,0,60
3206,LCC_3206,4947,3110,3112,0,2,330.9,0,0,2500,16,0.935,1.34,99,2000,2000,17,80,17,17,80,17,1170,0,60
3207,LCC_3207,4946,3113,3115,0,2,336.7,0,0,2500,16,0.955,1.355,99,2000,2000,5,85,15,5,85,15,1190,0,60
3208,LCC_3208,4947,3114,3116,0,2,330.9,0,0,2500,16,0.935,1.34,99,2000,2000,17,80,17,17,80,17,1170,0,60
5201,LCC_5201,41201,5101,5103,1,2,334,1,0,3125,15,0.955,1.355,99,0,2500,5,85,15,5,85,15,1476,0,60
5202,LCC_5202,41202,5102,5104,2,2,322,1,0,3125,15,0.935,1.34,99,2500,0,17,80,17,17,80,17,1423,0,60
5203,LCC_5203,41201,5105,5107,1,2,334,1,0,3125,15,0.955,1.355,99,0,2500,5,85,15,5,85,15,1476,0,60
5204,LCC_5204,41202,5106,5108,2,2,322,1,0,3125,15,0.935,1.34,99,2500,0,17,80,17,17,80,17,1423,0,60
