$version=1
!Code,Name,BusFromCode,BusToCode,Length,Existing,Decommissioned,Resistance,Inductance,Rating,EmergencyRating,OutageProbability,MeteringEnd
18205,DC_18205,10,20,0,0,0,10.47,0,99999,119998.79999999999,,1
18206,DC_18206,50,60,0,0,0,10.47,0,99999,119998.79999999999,,1
18207,DC_18207,90,100,0,0,0,10.47,0,99999,119998.79999999999,,1
18208,DC_18208,130,140,0,0,0,10.47,0,99999,119998.79999999999,,1
18209,DC_18209,3101,3102,0,0,0,13.9,0,2000,2400,,1
18210,DC_18210,3105,3106,0,0,0,13.9,0,2000,2400,,1
18211,DC_18211,3109,3110,0,0,0,16.81,0,2000,2400,,1
18212,DC_18212,3113,3114,0,0,0,16.81,0,2000,2400,,1
18213,DC_18213,1101,1102,0,0,0,17.1,0,2000,2400,,1
18214,DC_18214,1105,1106,0,0,0,17.1,0,2000,2400,,1
18215,DC_18215,1109,1110,0,0,0,15.85,2545,2000,2400,,1
18216,DC_18216,1113,1114,0,0,0,15.85,2545,2000,2400,,1
18217,DC_18217,2101,2102,0,0,0,0.6,80,400,480,,1
18218,DC_18218,2105,2106,0,0,0,0.6,80,400,480,,1
18219,DC_18219,5101,5102,0,1,0,9.76,1820,2500,3000,,1
18220,DC_18220,5105,5106,0,1,0,9.76,1820,2500,3000,,1
