$version=1
!Code,Name,Bus,ControlledBus,ReactivePowerControlType,LimitsCorrectionType,Existing,NumberOfUnits,MinReactivePower,MaxReactivePower,Droop,Decommissioned
1,SLUIS2CER013 SVC 001,341,332,1,0,1,1,-100,150,2,0
2,SLUIS2CER013 SVC 002,341,332,1,0,1,1,-100,150,2,0
3,MILAG2CER013 SVC 001,423,,1,0,1,1,-35,58,5,0
4,FNL---CER013 SVC 001,476,276,1,0,1,1,-114,225,1,0
5,BJLAP-CER013 SVC 001,581,585,1,0,1,1,-250,250,0.8,0
6,TAUA2-CER013 SVC 001,716,216,1,0,1,1,-45,90,1,0
7,S.BARBCER013 SVC 001,2610,2634,1,0,1,1,-300,300,1,0
8,BAURU-CER013 SVC 001,2974,2628,1,0,1,1,-120,150,1,0
9,SINOP-CER013 SVC 001,3330,3322,1,0,1,1,-20,55,1,0
10,B.ALTOCER013 SVC 001,3628,,1,0,1,1,-75,150,1,0
11,BANDEICER013 SVC 001,3630,3909,1,0,1,1,-56,88.5,2,0
12,BANDE2CER013 SVC 001,3632,3909,1,0,1,1,-56,88.5,2,0
13,ITATIBCER013 SVC 001,3718,3717,1,0,1,1,-300,300,1,0
14,LUZIANCER013 SVC 001,4301,4300,1,0,1,1,-150,300,1,0
15,F.DIASCER013 SVC 001,4324,4322,1,0,1,1,-150,300,1,0
16,OPRET2CER013 SVC 001,4688,,1,0,1,1,-80,20,1,0
17,BIGUACCER013 SVC 001,7726,7741,1,0,1,1,-100,300,1,0
18,VILHENCER013 SVC 001,9504,9535,1,0,1,1,-50,100,2,0
19,RIOBRACER013 SVC 001,9505,9538,1,0,1,1,-20,55,2,0
20,JURUPACER013 SVC 001,10013,10009,1,0,1,1,-200,200,1,0
21,SILVESCER013 SVC 001,10014,10010,1,0,1,1,-200,300,1,0
22,ORIXIMCER013 SVC 001,10015,10011,1,0,1,1,-200,300,1,0
23,MACAPACER013 SVC 001,10016,10017,1,0,1,1,-100,100,1,0
24,GENTIOCER013 SVC 001,11562,11560,1,0,1,1,-100,200,1,0
25,CMRIM2CER013 SVC 001,12331,11246,1,0,1,1,-75,150,1,0
26,EXTREMCER013 SVC 001,12332,12546,1,0,1,1,-75,150,1,0
27,SAPEACCER013 SVC 001,12333,289,1,0,1,1,-150,250,1,0
28,MCHAP2CER013 SVC 001,12334,555,1,0,1,1,-100,200,1,0
29,SOBRALCER013 SVC 001,12335,526,1,0,1,1,-150,250,1,0
30,E.MARTCER013 SVC 001,12336,287,1,0,1,1,-15,30,1,0
31,PARNAICER013 SVC 001,12911,12901,1,0,1,1,-150,300,1,0
32,JAGUA2CER013 SVC 001,12913,56100,1,0,1,1,-150,300,1,0
33,CAXIASCER013 SVC 001,13234,19099,1,0,1,1,-50,50,1,0
34,BDESPACER013 SVC 001,26453,1485,1,0,1,1,-200,300,1,0
35,SDUMO2CER013 SVC 001,27950,1481,1,0,1,1,-84,100,1,0
36,P.FIALCER013 SVC 001,29051,2154,1,0,1,1,-90,100,1,0
37,ANASTACER013 SVC 001,38859,7758,1,0,1,1,-50,50,1,0
38,CGR---CER013 SVC 001,38860,7755,1,0,1,1,-100,100,2,0
39,RIOVERCER013 SVC 001,38868,4285,1,0,1,1,-200,300,1,0
40,PPARA2CER013 SVC 001,38976,38975,1,0,1,1,-150,300,1,0
41,JNEIV2CER013 SVC 001,39001,,1,0,1,1,-150,150,0.01,0
42,ANGAM-CER034 SVC 001,40660,,1,0,1,1,0,280,1,0
43,PRNTGACER013 SVC 001,41176,4594,1,0,1,1,-200,200,1,0
44,GUAIBACER013 SVC 001,50222,50213,1,0,1,1,-180,300,1,0
45,BVISTACER013 SVC 001,52213,52207,1,0,1,1,-120,150,1,0
46,ITABUNCER013 SVC 001,348,345,1,0,1,1,-100,100,1,0
