$version=1
!Code,Name,BusFromCode,BusToCode,WindingUnits,ImpedanceUnits,MagUnits,Existing,Decommissioned,BasePower,NominalWinding1Voltage,NominalWinding2Voltage,R,X,Rn,Re,Prob,Mag1,Mag2,ControlType,LockedControl,ControlledBus,ControlledSide,MinTap,MaxTap,TapSteps,MinPhaseAngle,MaxPhaseAngle,FlagMonitored,FlagContingency,FlagOutageSampling,MeteringEnd
10837,LGONZ1UHE013/LGONZA-PE000 01,33,35,1,1,1,0,0,100,0,0,0,4.11,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10838,LGONZ2UHE013/LGONZA-PE000 01,34,35,1,1,1,0,0,100,0,0,0,4.11,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10839,PERNA3UTE013/PERNA3-PE230 01,104,12104,1,1,1,0,0,100,0,0,0,4.8075,230,230,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10840,MURICYUTE013/POLO---BA230 01,108,381,1,1,1,0,0,100,0,0,0,7.5,200,200,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10841,CAMAPAUTE007/POLO---BA230 01,109,381,1,1,1,0,0,100,0,0,0,5.78,200,200,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10842,PRO2E4UTE013/PROSPE-BA230 01,111,110,1,1,1,0,0,100,0,0,0,23.64,42,42,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10843,PROSP1UTE013/PROSPE-BA230 01,112,110,1,1,1,0,0,100,0,0,0,12.239,42,42,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10844,P.FRAN-MA138/P.FRAN-MA000 01,115,415,1,1,1,0,0,100,0,0,0,-0.49,100,103,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10845,P.FRAN-MA138/P.FRA2-MA000 01,115,815,1,1,1,0,0,100,0,0,0,-0.49,100,103,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10846,P.FRAN-MA138/P.FRA3-MA000 01,115,816,1,1,1,0,0,100,0,0,0,-0.49,100,120,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10847,GLOB1-UTE013/JACARA-BA230 01,128,280,1,1,1,0,0,100,0,0,0,8,150,150,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10848,GLOB2-UTE013/JACARA-BA230 01,129,280,1,1,1,0,0,100,0,0,0,8,150,150,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10849,TERMPBUTE013/EPASA--PB230 01,130,138,1,1,1,0,0,100,0,0,0,8.0789,200,200,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10850,MIRAND-MA138/MIRA1B-MA000 01,131,531,1,1,1,0,0,100,0,0,0,-0.65,100,103,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10851,MIRAND-MA138/MIRA2B-MA000 01,131,731,1,1,1,0,0,100,0,0,0,-0.65,100,103,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10852,MIRAND-MA138/MIRAN3-MA000 01,131,732,1,1,1,0,0,100,0,0,0,-0.65,100,103,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10853,TERMNEUTE013/EPASA--PB230 01,137,138,1,1,1,0,0,100,0,0,0,8.08,200,200,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10854,CABO--UTE013/PIRAPA-PE069 01,139,649,1,1,1,0,0,100,0,0,0,20.12,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10855,SUAPE--PE230/SUAPE1-PE000 01,141,147,1,1,1,0,0,100,0,0,0,-3.63,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10856,SUAPE--PE230/SUAPE2-PE000 01,141,148,1,1,1,0,0,100,0,0,0,-3.63,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10857,SUAPE--PE230/SUAPE3-PE000 01,141,149,1,1,1,0,0,100,0,0,0,-3.63,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,1,0,0,1
10858,MARAC1-CE069/MARAC1UTE013 01,142,102,1,1,1,0,0,100,0,0,0,7.32,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10859,S.CRUZ-RN138/S.CRUZ-RN069 01,145,645,1,1,1,0,0,100,0,0,0,25.33,45,45,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10860,S.CRUZ-RN138/S.CRUZ-RN069 02,145,645,1,1,1,0,0,100,0,0,0,26,50,50,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10861,S.CRUZ-RN138/S.CRUZ-PB069 01,145,694,1,1,1,0,0,100,0,0,0,26,50,50,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10862,SUAPE1-PE000/SUAPE1UTE013 01,147,96,1,1,1,0,0,100,0,0,0,19.31,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10863,SUAPE1-PE000/SUAPE2UTE013 01,147,97,1,1,1,0,0,100,0,0,0,23.24,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10864,SUAPE2-PE000/SUAPE3UTE013 01,148,98,1,1,1,0,0,100,0,0,0,19.31,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10865,SUAPE2-PE000/SUAPE4UTE013 01,148,99,1,1,1,0,0,100,0,0,0,23.24,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10866,SUAPE3-PE000/SUAPE5UTE013 01,149,100,1,1,1,0,0,100,0,0,0,19.31,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10867,SUAPE3-PE000/SUAPE6UTE013 01,149,101,1,1,1,0,0,100,0,0,0,7.8,99999,99999,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10868,CAMAC1-BA069/BAHIA1UTE013 01,150,140,1,1,1,0,0,100,0,0,0,63.65,27,27,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10869,CAMAC1-BA069/BAHIA1UTE013 02,150,140,1,1,1,0,0,100,0,0,0,63.65,27,27,0,0,0,0,0,,0,0.9,1.1,20,0,0,0,0,0,1
10870,S.MATO-RN138/S.MATO-RN000 01,152,852,1,1,1,0,0,100,0,0,0,131.16,33,33,0,0,0,0,0,,0,0.96,0.96,20,0,0,0,0,0,1
