**** Planta:  212                               -1  3
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2025   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2025   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2025   4  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2026   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2026   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2026   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2026   4  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2027   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2027   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2027   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2027   4  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2028   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2028   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2028   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2028   4  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2029   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2029   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2029   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2029   4  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2030   1  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2030   2  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
2030   3  479.32       0       0       0       0       0       0  479.32  479.32  479.32  479.32  479.32
