$version=2
!Code,Name,TechType,Datasource
323,PCH_11,4,1
324,PCH_13,4,1
333,PCH_14,4,1
345,PCH_15,4,1
346,PCH_17,4,1
347,PCH_19,4,1
348,PCH_18,4,1
358,PCH_8,4,1
359,PCH_16,4,1
381,PCH_98,4,1
420,EOL_NE,1,1
424,PCH_NE,4,1
428,PCT_1,3,1
429,PCT_10,3,1
430,PCT_11,3,1
431,PCT_12,3,1
439,PCT_2,3,1
450,PCT_3,3,1
461,PCT_4,3,1
472,PCT_5,3,1
483,PCT_6,3,1
487,PCT_7,3,1
488,PCT_8,3,1
489,PCT_9,3,1
490,PCT_NE,3,1
495,UFV_NE,2,1
287,EOL6,1,0
286,EOL5,1,0
285,EOL4,1,0
283,EOL2,1,0
290,EOL9,1,0
289,EOL8,1,0
291,EOL10,1,0
293,EOL12,1,0
292,EOL11,1,0
288,EOL7,1,0
284,EOL3,1,0
305,UFV3,2,0
310,UFV8,2,0
313,UFV11,2,0
308,UFV6,2,0
314,UFV12,2,0
309,UFV7,2,0
307,UFV5,2,0
540,UFV2_NE,2,0
544,PCT_49_NE,3,1
559,GD_EQ_AL,2,0
562,GD_COELBA,2,0
563,GD_ENEL_CE,2,0
573,GD_EPB,2,0
574,GD_CELPE,2,0
575,GD_EQ_PI,2,0
579,GD_COSERN,2,0
585,GD_ESE,2,0
586,GD_SULGIPE,2,0
595,OGD_EQ_AL,0,1
596,OGD_COELBA,0,1
597,OGD_ENEL_CE,0,1
607,OGD_EPB,0,1
608,OGD_CELPE,0,1
612,OGD_COSERN,0,1
617,OGD_ESE,0,1
