$version=2
!Code,Name,TechType,Datasource
325,PCH_23,4,1
326,PCH_24,4,1
327,PCH_21,4,1
328,PCH_25,4,1
329,PCH_20,4,1
330,PCH_22,4,1
331,PCH_89,4,1
332,PCH_68,4,1
349,PCH_30,4,1
350,PCH_26,4,1
351,PCH_33,4,1
352,PCH_31,4,1
353,PCH_32,4,1
354,PCH_27,4,1
355,PCH_29,4,1
356,PCH_28,4,1
376,PCH_86,4,1
382,PCH_80,4,1
383,PCH_96,4,1
384,PCH_95,4,1
385,PCH_57,4,1
386,PCH_56,4,1
387,PCH_58,4,1
388,PCH_88,4,1
389,PCH_67,4,1
397,PCH_54,4,1
398,PCH_55,4,1
402,PCH_65,4,1
403,PCH_66,4,1
409,PCH_79,4,1
410,PCH_84,4,1
411,PCH_85,4,1
412,PCH_87,4,1
413,PCH_90,4,1
415,PCH_93,4,1
416,PCH_94,4,1
418,BIOG,3,1
419,BIOM,3,1
422,EOL_SE,1,1
426,PCH_SE,4,1
436,PCT_17,3,1
437,PCT_18,3,1
438,PCT_19,3,1
440,PCT_20,3,1
441,PCT_21,3,1
442,PCT_22,3,1
443,PCT_23,3,1
444,PCT_24,3,1
445,PCT_25,3,1
446,PCT_26,3,1
447,PCT_27,3,1
448,PCT_28,3,1
449,PCT_29,3,1
451,PCT_30,3,1
452,PCT_31,3,1
453,PCT_32,3,1
454,PCT_33,3,1
455,PCT_34,3,1
456,PCT_35,3,1
457,PCT_36,3,1
458,PCT_37,3,1
459,PCT_38,3,1
460,PCT_39,3,1
462,PCT_40,3,1
471,PCT_49,3,1
473,PCT_50,3,1
474,PCT_51,3,1
475,PCT_52,3,1
476,PCT_53,3,1
477,PCT_54,3,1
478,PCT_55,3,1
479,PCT_56,3,1
480,PCT_57,3,1
481,PCT_58,3,1
482,PCT_59,3,1
484,PCT_60,3,1
485,PCT_61,3,1
486,PCT_62,3,1
492,PCT_SE,3,1
494,RSU,3,1
497,UFV_SE,2,1
300,EOL19,1,0
306,UFV4,2,0
312,UFV10,2,0
303,UFV1,2,0
311,UFV9,2,0
545,PCT_51_SE,3,1
546,PCT_52_SE,3,1
547,PCT_54_SE,3,1
548,PCT_55_SE,3,1
549,PCT_56_SE,3,1
550,PCT_57_SE,3,1
551,PCT_58_SE,3,1
552,PCT_59_SE,3,1
557,UFV2_SE,2,0
564,GD_CEB,2,0
565,GD_EDP_ES,2,0
566,GD_EQ_GO,2,0
568,GD_CEMIG,2,0
569,GD_EMG,2,0
570,GD_EMS,2,0
571,GD_EMT,2,0
577,GD_ENEL_RJ,2,0
578,GD_LIGHT,2,0
587,GD_EDP_SP,2,0
588,GD_CPFL_SC,2,0
589,GD_CPFL_PA,2,0
590,GD_CPFL_PI,2,0
591,GD_ELEKTRO,2,0
592,GD_ENEL_SP,2,0
593,GD_ESS,2,0
598,OGD_CEB,0,1
599,OGD_EDP_ES,0,1
600,OGD_EQ_GO,0,1
602,OGD_CEMIG,0,1
603,OGD_EMG,0,1
604,OGD_EMS,0,1
605,OGD_EMT,0,1
610,OGD_ENEL_RJ,0,1
611,OGD_LIGHT,0,1
618,OGD_EDP_SP,0,1
619,OGD_CPFL_SC,0,1
620,OGD_CPFL_PA,0,1
621,OGD_CPFL_PI,0,1
622,OGD_ELEKTRO,0,1
623,OGD_ENEL_SP,0,1
624,OGD_ESS,0,1
