$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
30,CURUA-UNA_14,272,19534,0,1,0,62.5,0,10.7,,0,0,0,0,0,0,0,,,,,
31,CURUA-UNA_11,272,19535,0,1,0,62.5,0,10.7,,0,0,0,0,0,0,0,,,,,
32,CURUA-UNA_12,272,19536,0,1,0,62.5,0,10.7,,0,0,0,0,0,0,0,,,,,
33,CURUA-UNA_13,272,19537,0,1,0,62.5,0,10.7,,0,0,0,0,0,0,0,,,,,
61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,,0,0,0,0,0,0,0,,,,,
62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,,0,0,0,0,0,0,0,,,,,
63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,,0,0,0,0,0,0,0,,,,,
64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,,0,0,0,0,0,0,0,,,,,
65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,,0,0,0,0,0,0,0,,,,,
5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,,0,0,0,0,0,0,0,,,,,
6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,,0,0,0,0,0,0,0,,,,,
7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,,0,0,0,0,0,0,0,,,,,
