Num Graph...........................|...Unid Type  Y/N
  1 Volume de alerta                 hm3        0    1
  2 Potencia hidro disponivel        MW         0    1
  3 Potencia termica disponivel      MW         0    1
  4 Vazoes medias historico          m3/s       0    0
  5 Vazoes                           m3/s       0    0
  6 Demanda por sistema - inelastica GWh        0    0
  7 Demanda por barra - inelastica   GWh        0    1
  8 Volume maximo                    hm3        0    1
  9 Energia armazenavel maxima       GWh        0    1
 10 Defluencia total maxima          m3/s       0    0
 11 Vazao turbinavel maxima          m3/s       0    0
 12 Volume minimo operativo          hm3        0    1
 13 Defluencia total minima          m3/s       0    1
 14 Vazao turbinavel minima          m3/s       0    0
 15 Custo de deficit                 k$         8    1
 16 Violacao rest. vertimento percentm3/s       7    0
 17 Custo viol. rest. vertimento perck$         8    0
 18 Viol. ger. minima de grupo geradoMWh        7    0
 19 Custo unitario de vertimento hidrk$/hm3     0    0
 20 Custo operativo termico          k$         1    1
 21 Custo unitario viol. vol. alerta k$/hm3     8    1
 22 Custo violacao de def.tot.max    k$         8    0
 23 Custo unitario viol. vol. min.op k$/hm3     8    1
 24 Custo violacao de def.tot.min    k$         8    0
 25 Fluxo nos circuitos CA           MW         2    1
 26 Deficit                          GWh        7    1
 27 Deficit por barra                GWh        7    0
 28 Transferencia de area - exportacaGWh        2    0
 29 Cota final                       m          2    1
 30 Volume final                     hm3        2    1
 31 Consumo de combustivel           k.unid     2    0
 32 Taxa consumo de combustivel      un/h       2    0
 33 Geracao hidro                    GWh        2    1
 34 Interligacoes                    GWh        2    1
 35 Vazao vertida                    m3/s       2    1
 36 Energia armazenada               GWh        2    1
 37 Geracao termica                  GWh        2    1
 38 Vazao turbinada                  m3/s       2    1
 39 Custo marginal por barra CA      $/MWh      3    1
 40 Custo marginal de circuito CA    k$/MW      3    0
 42 Custo marginal de intercambio    k$/MW      3    0
 43 Custo marginal de demanda        $/MWh      3    1
 44 Custo marginal de cons.comb.     $/un       3    0
 45 Custo marginal de taxa cons.     k$/un/h    3    0
