$version=1
!code,Date,block,Pp,Pi,Pz
138,1900/01/01,1,5.4,0,0
138,1900/01/01,2,5.4,0,0
138,1900/01/01,3,5.4,0,0
138,1900/01/01,4,5.4,0,0
139,1900/01/01,1,47.73,0,0
139,1900/01/01,2,47.73,0,0
139,1900/01/01,3,47.73,0,0
139,1900/01/01,4,47.73,0,0
139,2030/01/01,1,48.98,0,0
139,2030/01/01,2,48.98,0,0
139,2030/01/01,3,48.98,0,0
139,2030/01/01,4,48.98,0,0
139,2031/01/01,1,50.25,0,0
139,2031/01/01,2,50.25,0,0
139,2031/01/01,3,50.25,0,0
139,2031/01/01,4,50.25,0,0
139,2032/01/01,1,51.55,0,0
139,2032/01/01,2,51.55,0,0
139,2032/01/01,3,51.55,0,0
139,2032/01/01,4,51.55,0,0
139,2033/01/01,1,52.9,0,0
139,2033/01/01,2,52.9,0,0
139,2033/01/01,3,52.9,0,0
139,2033/01/01,4,52.9,0,0
139,2034/01/01,1,54.27,0,0
139,2034/01/01,2,54.27,0,0
139,2034/01/01,3,54.27,0,0
139,2034/01/01,4,54.27,0,0
139,2035/01/01,1,55.68,0,0
139,2035/01/01,2,55.68,0,0
139,2035/01/01,3,55.68,0,0
139,2035/01/01,4,55.68,0,0
139,2036/01/01,1,57.13,0,0
139,2036/01/01,2,57.13,0,0
139,2036/01/01,3,57.13,0,0
139,2036/01/01,4,57.13,0,0
139,2037/01/01,1,58.61,0,0
139,2037/01/01,2,58.61,0,0
139,2037/01/01,3,58.61,0,0
139,2037/01/01,4,58.61,0,0
139,2038/01/01,1,60.14,0,0
139,2038/01/01,2,60.14,0,0
139,2038/01/01,3,60.14,0,0
139,2038/01/01,4,60.14,0,0
139,2039/01/01,1,61.7,0,0
139,2039/01/01,2,61.7,0,0
139,2039/01/01,3,61.7,0,0
139,2039/01/01,4,61.7,0,0
139,2040/01/01,1,63.31,0,0
139,2040/01/01,2,63.31,0,0
139,2040/01/01,3,63.31,0,0
139,2040/01/01,4,63.31,0,0
140,1900/01/01,1,4.5,0,0
140,1900/01/01,2,4.5,0,0
140,1900/01/01,3,4.5,0,0
140,1900/01/01,4,4.5,0,0
141,1900/01/01,1,3.1,0,0
141,1900/01/01,2,3.1,0,0
141,1900/01/01,3,3.1,0,0
141,1900/01/01,4,3.1,0,0
142,1900/01/01,1,9.1,0,0
142,1900/01/01,2,9.1,0,0
142,1900/01/01,3,9.1,0,0
142,1900/01/01,4,9.1,0,0
143,1900/01/01,1,24.5,0,0
143,1900/01/01,2,24.5,0,0
143,1900/01/01,3,24.5,0,0
143,1900/01/01,4,24.5,0,0
144,1900/01/01,1,7.9,0,0
144,1900/01/01,2,7.9,0,0
144,1900/01/01,3,7.9,0,0
144,1900/01/01,4,7.9,0,0
145,1900/01/01,1,13.34,0,0
145,1900/01/01,2,13.34,0,0
145,1900/01/01,3,13.34,0,0
145,1900/01/01,4,13.34,0,0
145,2030/01/01,1,13.68,0,0
145,2030/01/01,2,13.68,0,0
145,2030/01/01,3,13.68,0,0
145,2030/01/01,4,13.68,0,0
145,2031/01/01,1,14.04,0,0
145,2031/01/01,2,14.04,0,0
145,2031/01/01,3,14.04,0,0
145,2031/01/01,4,14.04,0,0
145,2032/01/01,1,14.4,0,0
145,2032/01/01,2,14.4,0,0
145,2032/01/01,3,14.4,0,0
145,2032/01/01,4,14.4,0,0
145,2033/01/01,1,14.78,0,0
145,2033/01/01,2,14.78,0,0
145,2033/01/01,3,14.78,0,0
145,2033/01/01,4,14.78,0,0
145,2034/01/01,1,15.16,0,0
145,2034/01/01,2,15.16,0,0
145,2034/01/01,3,15.16,0,0
145,2034/01/01,4,15.16,0,0
145,2035/01/01,1,15.56,0,0
145,2035/01/01,2,15.56,0,0
145,2035/01/01,3,15.56,0,0
145,2035/01/01,4,15.56,0,0
145,2036/01/01,1,15.96,0,0
145,2036/01/01,2,15.96,0,0
145,2036/01/01,3,15.96,0,0
145,2036/01/01,4,15.96,0,0
145,2037/01/01,1,16.38,0,0
145,2037/01/01,2,16.38,0,0
145,2037/01/01,3,16.38,0,0
145,2037/01/01,4,16.38,0,0
145,2038/01/01,1,16.8,0,0
145,2038/01/01,2,16.8,0,0
145,2038/01/01,3,16.8,0,0
145,2038/01/01,4,16.8,0,0
145,2039/01/01,1,17.24,0,0
145,2039/01/01,2,17.24,0,0
145,2039/01/01,3,17.24,0,0
145,2039/01/01,4,17.24,0,0
145,2040/01/01,1,17.69,0,0
145,2040/01/01,2,17.69,0,0
145,2040/01/01,3,17.69,0,0
145,2040/01/01,4,17.69,0,0
146,1900/01/01,1,14.8,0,0
146,1900/01/01,2,14.8,0,0
146,1900/01/01,3,14.8,0,0
146,1900/01/01,4,14.8,0,0
147,1900/01/01,1,20.38,0,0
147,1900/01/01,2,20.38,0,0
147,1900/01/01,3,20.38,0,0
147,1900/01/01,4,20.38,0,0
147,2030/01/01,1,20.91,0,0
147,2030/01/01,2,20.91,0,0
147,2030/01/01,3,20.91,0,0
147,2030/01/01,4,20.91,0,0
147,2031/01/01,1,21.46,0,0
147,2031/01/01,2,21.46,0,0
147,2031/01/01,3,21.46,0,0
147,2031/01/01,4,21.46,0,0
147,2032/01/01,1,22.02,0,0
147,2032/01/01,2,22.02,0,0
147,2032/01/01,3,22.02,0,0
147,2032/01/01,4,22.02,0,0
147,2033/01/01,1,22.59,0,0
147,2033/01/01,2,22.59,0,0
147,2033/01/01,3,22.59,0,0
147,2033/01/01,4,22.59,0,0
147,2034/01/01,1,23.18,0,0
147,2034/01/01,2,23.18,0,0
147,2034/01/01,3,23.18,0,0
147,2034/01/01,4,23.18,0,0
147,2035/01/01,1,23.78,0,0
147,2035/01/01,2,23.78,0,0
147,2035/01/01,3,23.78,0,0
147,2035/01/01,4,23.78,0,0
147,2036/01/01,1,24.4,0,0
147,2036/01/01,2,24.4,0,0
147,2036/01/01,3,24.4,0,0
147,2036/01/01,4,24.4,0,0
147,2037/01/01,1,25.03,0,0
147,2037/01/01,2,25.03,0,0
147,2037/01/01,3,25.03,0,0
147,2037/01/01,4,25.03,0,0
147,2038/01/01,1,25.68,0,0
147,2038/01/01,2,25.68,0,0
147,2038/01/01,3,25.68,0,0
147,2038/01/01,4,25.68,0,0
147,2039/01/01,1,26.35,0,0
147,2039/01/01,2,26.35,0,0
147,2039/01/01,3,26.35,0,0
147,2039/01/01,4,26.35,0,0
147,2040/01/01,1,27.03,0,0
147,2040/01/01,2,27.03,0,0
147,2040/01/01,3,27.03,0,0
147,2040/01/01,4,27.03,0,0
148,1900/01/01,1,4.983,0,0
148,1900/01/01,2,4.983,0,0
148,1900/01/01,3,4.983,0,0
148,1900/01/01,4,4.983,0,0
148,2030/01/01,1,5.112,0,0
148,2030/01/01,2,5.112,0,0
148,2030/01/01,3,5.112,0,0
148,2030/01/01,4,5.112,0,0
148,2031/01/01,1,5.245,0,0
148,2031/01/01,2,5.245,0,0
148,2031/01/01,3,5.245,0,0
148,2031/01/01,4,5.245,0,0
148,2032/01/01,1,5.382,0,0
148,2032/01/01,2,5.382,0,0
148,2032/01/01,3,5.382,0,0
148,2032/01/01,4,5.382,0,0
148,2033/01/01,1,5.522,0,0
148,2033/01/01,2,5.522,0,0
148,2033/01/01,3,5.522,0,0
148,2033/01/01,4,5.522,0,0
148,2034/01/01,1,5.665,0,0
148,2034/01/01,2,5.665,0,0
148,2034/01/01,3,5.665,0,0
148,2034/01/01,4,5.665,0,0
148,2035/01/01,1,5.813,0,0
148,2035/01/01,2,5.813,0,0
148,2035/01/01,3,5.813,0,0
148,2035/01/01,4,5.813,0,0
148,2036/01/01,1,5.964,0,0
148,2036/01/01,2,5.964,0,0
148,2036/01/01,3,5.964,0,0
148,2036/01/01,4,5.964,0,0
148,2037/01/01,1,6.119,0,0
148,2037/01/01,2,6.119,0,0
148,2037/01/01,3,6.119,0,0
148,2037/01/01,4,6.119,0,0
148,2038/01/01,1,6.278,0,0
148,2038/01/01,2,6.278,0,0
148,2038/01/01,3,6.278,0,0
148,2038/01/01,4,6.278,0,0
148,2039/01/01,1,6.441,0,0
148,2039/01/01,2,6.441,0,0
148,2039/01/01,3,6.441,0,0
148,2039/01/01,4,6.441,0,0
148,2040/01/01,1,6.609,0,0
148,2040/01/01,2,6.609,0,0
148,2040/01/01,3,6.609,0,0
148,2040/01/01,4,6.609,0,0
149,1900/01/01,1,4.7,0,0
149,1900/01/01,2,4.7,0,0
149,1900/01/01,3,4.7,0,0
149,1900/01/01,4,4.7,0,0
150,1900/01/01,1,11.55,0,0
150,1900/01/01,2,11.55,0,0
150,1900/01/01,3,11.55,0,0
150,1900/01/01,4,11.55,0,0
150,2030/01/01,1,11.85,0,0
150,2030/01/01,2,11.85,0,0
150,2030/01/01,3,11.85,0,0
150,2030/01/01,4,11.85,0,0
150,2031/01/01,1,12.16,0,0
150,2031/01/01,2,12.16,0,0
150,2031/01/01,3,12.16,0,0
150,2031/01/01,4,12.16,0,0
150,2032/01/01,1,12.48,0,0
150,2032/01/01,2,12.48,0,0
150,2032/01/01,3,12.48,0,0
150,2032/01/01,4,12.48,0,0
150,2033/01/01,1,12.8,0,0
150,2033/01/01,2,12.8,0,0
150,2033/01/01,3,12.8,0,0
150,2033/01/01,4,12.8,0,0
150,2034/01/01,1,13.13,0,0
150,2034/01/01,2,13.13,0,0
150,2034/01/01,3,13.13,0,0
150,2034/01/01,4,13.13,0,0
150,2035/01/01,1,13.47,0,0
150,2035/01/01,2,13.47,0,0
150,2035/01/01,3,13.47,0,0
150,2035/01/01,4,13.47,0,0
150,2036/01/01,1,13.82,0,0
150,2036/01/01,2,13.82,0,0
150,2036/01/01,3,13.82,0,0
150,2036/01/01,4,13.82,0,0
150,2037/01/01,1,14.18,0,0
150,2037/01/01,2,14.18,0,0
150,2037/01/01,3,14.18,0,0
150,2037/01/01,4,14.18,0,0
150,2038/01/01,1,14.55,0,0
150,2038/01/01,2,14.55,0,0
150,2038/01/01,3,14.55,0,0
150,2038/01/01,4,14.55,0,0
150,2039/01/01,1,14.93,0,0
150,2039/01/01,2,14.93,0,0
150,2039/01/01,3,14.93,0,0
150,2039/01/01,4,14.93,0,0
150,2040/01/01,1,15.32,0,0
150,2040/01/01,2,15.32,0,0
150,2040/01/01,3,15.32,0,0
150,2040/01/01,4,15.32,0,0
151,1900/01/01,1,15.97,0,0
151,1900/01/01,2,15.97,0,0
151,1900/01/01,3,15.97,0,0
151,1900/01/01,4,15.97,0,0
151,2030/01/01,1,16.38,0,0
151,2030/01/01,2,16.38,0,0
151,2030/01/01,3,16.38,0,0
