$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2030,1,1,106,Bat-6-12902,12902,0,0,93.93653909225239,23.484134773063097,0.9,1,0,0,0,0,0,0
2030,1,1,1806,Bat-6-80981,80981,0,0,285.3259227664124,71.3314806916031,0.9,1,0,0,0,0,0,0
2030,1,1,506,Bat-6-58691,58691,0,0,250.9405762673876,62.7351440668469,0.9,1,0,0,0,0,0,0
2030,1,1,1106,Bat-6-11584,11584,0,0,299.4908509298424,74.8727127324606,0.9,1,0,0,0,0,0,0
2030,1,1,706,Bat-6-11560,11560,0,0,155.7093986352308,38.9273496588077,0.9,1,0,0,0,0,0,0
2030,1,1,1406,Bat-6-81983,81983,0,0,257.401538339116,64.350384584779,0.9,1,0,0,0,0,0,0
2030,1,1,306,Bat-6-12501,12501,0,0,236.9019426300512,59.2254856575128,0.9,1,0,0,0,0,0,0
2030,1,1,1006,Bat-6-58121,58121,0,0,193.5629789390316,48.3907447347579,0.9,1,0,0,0,0,0,0
2030,1,1,1906,Bat-6-12905,12905,0,0,270.6513851117284,67.6628462779321,0.9,1,0,0,0,0,0,0
2030,1,1,206,Bat-6-544,544,0,0,101.66487781179599,25.416219452948997,0.9,1,0,0,0,0,0,0
2030,1,1,606,Bat-6-549,549,0,0,179.737051871958,44.9342629679895,0.9,1,0,0,0,0,0,0
2030,1,1,1506,Bat-6-81305,81305,0,0,183.88482999208,45.97120749802,0.9,1,0,0,0,0,0,0
2030,1,1,1606,Bat-6-11561,11561,0,0,360.5199110477076,90.1299777619269,0.9,1,0,0,0,0,0,0
2030,1,1,1706,Bat-6-81984,81984,0,0,97.180314288758,24.2950785721895,0.9,1,0,0,0,0,0,0
2030,1,1,406,Bat-6-11575,11575,0,0,324.38328045351915,81.09582011337979,0.9,1,0,0,0,0,0,0
2030,1,1,1306,Bat-6-80466,80466,0,0,204.8718782579968,51.2179695644992,0.9,1,0,0,0,0,0,0
2030,1,1,806,Bat-6-11594,11594,0,0,223.59005644111198,55.897514110277996,0.9,1,0,0,0,0,0,0
2030,1,1,1206,Bat-6-505,505,0,0,185.781463576922,46.4453658942305,0.9,1,0,0,0,0,0,0
2030,1,1,906,Bat-6-523,523,0,0,94.46520354709281,23.616300886773203,0.9,1,0,0,0,0,0,0
2031,1,1,306,Bat-6-12501,12501,0,0,336.2909781744579,84.07274454361448,0.9,1,0,0,0,0,0,0
2031,1,1,506,Bat-6-58691,58691,0,0,356.2193324366481,89.05483310916202,0.9,1,0,0,0,0,0,0
2031,1,1,106,Bat-6-12902,12902,0,0,133.34635531878305,33.33658882969576,0.9,1,0,0,0,0,0,0
2031,1,1,1606,Bat-6-11561,11561,0,0,511.77120876096524,127.94280219024131,0.9,1,0,0,0,0,0,0
2031,1,1,706,Bat-6-11560,11560,0,0,221.03519032670016,55.25879758167504,0.9,1,0,0,0,0,0,0
2031,1,1,1506,Bat-6-81305,81305,0,0,261.03124635853527,65.25781158963382,0.9,1,0,0,0,0,0,0
2031,1,1,1706,Bat-6-81984,81984,0,0,137.95101293239495,34.487753233098736,0.9,1,0,0,0,0,0,0
2031,1,1,1906,Bat-6-12905,12905,0,0,384.1995470067936,96.0498867516984,0.9,1,0,0,0,0,0,0
2031,1,1,206,Bat-6-544,544,0,0,144.3170149883723,36.07925374709308,0.9,1,0,0,0,0,0,0
2031,1,1,406,Bat-6-11575,11575,0,0,460.473939031835,115.11848475795875,0.9,1,0,0,0,0,0,0
2031,1,1,1006,Bat-6-58121,58121,0,0,274.76973300898453,68.69243325224613,0.9,1,0,0,0,0,0,0
