$version=2
!Year,Month,Day,Code,Name,Bus,Existing,Emin,Emax,Pmax,ChargeEffic,DischargeEffic,O&MCost,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev
2028,7,1,610,Bat-10-60065,60065,0,0,42.140432318103194,10.535108079525799,0.9,1,0,0,0,0,0,0
2028,7,1,1310,Bat-10-1512,1512,0,0,47.71989341888186,11.929973354720465,0.9,1,0,0,0,0,0,0
2028,7,1,310,Bat-10-38912,38912,0,0,96.1823927843262,24.04559819608155,0.9,1,0,0,0,0,0,0
2028,7,1,1110,Bat-10-38900,38900,0,0,72.90834444361396,18.22708611090349,0.9,1,0,0,0,0,0,0
2028,7,1,510,Bat-10-60341,60341,0,0,55.908058087327774,13.977014521831943,0.9,1,0,0,0,0,0,0
2028,7,1,1010,Bat-10-38911,38911,0,0,331.67763045442155,82.91940761360539,0.9,1,0,0,0,0,0,0
2028,7,1,2010,Bat-10-4303,4303,0,0,87.29494404634279,21.823736011585698,0.9,1,0,0,0,0,0,0
2028,7,1,1210,Bat-10-38929,38929,0,0,127.91106621836421,31.977766554591053,0.9,1,0,0,0,0,0,0
2028,7,1,810,Bat-10-80275,80275,0,0,36.71271095395174,9.178177738487935,0.9,1,0,0,0,0,0,0
2028,7,1,410,Bat-10-80265,80265,0,0,60.32472594355409,15.081181485888523,0.9,1,0,0,0,0,0,0
2028,7,1,910,Bat-10-4293,4293,0,0,67.70001368842999,16.925003422107498,0.9,1,0,0,0,0,0,0
2028,7,1,110,Bat-10-39813,39813,0,0,48.62127847551889,12.155319618879723,0.9,1,0,0,0,0,0,0
2028,7,1,210,Bat-10-2617,2617,0,0,70.1074794074313,17.526869851857825,0.9,1,0,0,0,0,0,0
2028,7,1,710,Bat-10-80276,80276,0,0,37.49622966226705,9.374057415566762,0.9,1,0,0,0,0,0,0
2028,7,1,1410,Bat-10-1525,1525,0,0,157.97303468180107,39.49325867045027,0.9,1,0,0,0,0,0,0
2028,7,1,1510,Bat-10-3875,3875,0,0,58.77779006199953,14.694447515499883,0.9,1,0,0,0,0,0,0
