$version=1
!Day,Month,Year,Code,Name,Bus,Existing,NumberOfUnits,G,B,Decommissioned
1,1,2030,2622,AREIAO-GO138 DBSH Shunt 002,1258,0,2,0,5.4,0
1,1,2030,2626,URUBIC-SC138 DBSH Shunt 001,6335,0,1,0,4.8,0
1,1,2030,1356,GOIOER-PR138 DBSH Shunt 004,6980,0,1,0,1.2,0
1,1,2030,1357,GOIOER-PR138 DBSH Shunt 005,6980,0,1,0,1.2,0
1,1,2030,1358,GOIOER-PR138 DBSH Shunt 006,6980,0,1,0,1.2,0
1,1,2030,2627,GOIOER-PR138 DBSH Shunt 001,6980,0,2,0,2.4,0
1,1,2030,2638,PARAUN-GO069 DBSH Shunt 002,23403,0,1,0,1.8,0
1,1,2030,2637,PARAUN-GO069 DBSH Shunt 001,23403,0,1,0,1.8,0
1,1,2030,2632,SJPARA-MG500 DBSH Shunt 001,11922,0,3,0,-150,0
1,1,2030,2643,BRITAN-GO069 DBSH Shunt 001,24003,0,3,0,1.8,0
1,1,2030,2634,SE--BA-DF013 DBSH Shunt 001,22937,0,1,0,2.4,0
1,1,2030,2616,IBICOA-BA500 DBSH Shunt 002,588,0,1,0,-200,0
1,1,2030,2636,CHAPAD-GO138 DBSH Shunt 001,23305,0,1,0,0.6,0
1,1,2030,2635,SE--CC-DF013 DBSH Shunt 001,22964,0,2,0,6,0
1,1,2030,337,MIRAMA-PA069 DBSH Shunt 002,693,0,9,0,3.6,0
1,1,2030,2633,SILVAN-GO500 DBSH Shunt 003,14921,0,2,0,-150,0
1,1,2030,78,GOIOER-PR138 DBAR Shunt 001,6980,0,1,0,4.8,0
1,1,2030,2617,B.ALTO-GO500 DBSH Shunt 001,770,0,1,0,-100,0
1,1,2030,2618,PORAN2-GO500 DBSH Shunt 001,777,0,2,0,-100,0
1,1,2030,2631,JUSSIA-BA500 DBSH Shunt 001,11584,0,1,0,-150,0
1,1,2030,2654,BONIT1-MS138 DBSH Shunt 001,49067,0,6,0,1.8,0
1,1,2030,2655,CID----RS138 DBSH Shunt 001,51555,0,1,0,3.6,0
1,1,2030,2653,SILBPB-GO500 DBSH Shunt 001,41202,0,13,0,250,0
1,1,2030,2619,JUSSAR-GO138 DBSH Shunt 001,1193,0,2,0,5.4,0
1,1,2030,2652,G.ABPB-MA500 DBSH Shunt 001,41201,0,12,0,270,0
1,1,2030,2630,OUROL2-BA500 DBSH Shunt 002,11561,0,2,0,-150,0
1,1,2030,2651,JNEIV2-ES500 DBSH Shunt 002,39511,0,1,0,-100,0
1,1,2030,2629,PARAI2-TO138 DBSH Shunt 001,9788,0,1,0,20,0
1,1,2030,2163,JNEIV2-ES500 DBSH Shunt 001,39511,0,1,0,-200,0
1,1,2030,1603,BONIT1-MS069 DBSH Shunt 001,8419,0,6,0,1.8,0
