$version=1
!Day,Month,Year,Code,Name,BusFrom,BusTo,Existing,Decommissioned,Resistance,Reactance,TotalSusceptance,Rating,EmergencyRating,OutageProbability
1,1,2030,76,MILAGR-CE230/BANABU-CE230 01,221,222,0,0,1.7063,14.496,57.495,576,777,0
1,1,2030,183,ITAPEB-BA230/EUNAPO-BA230 01,263,269,0,0,0.713,4.431,8.27,625,705,0
1,1,2030,184,ITAPEB-BA230/EUNAPO-BA230 02,263,269,0,0,0.713,4.431,8.27,625,705,0
1,1,2030,188,S.A.JE-BA230/SAPEAC-BA230 02,264,289,0,0,0.5387,2.99,5.6,625,705,0
1,1,2030,189,S.A.JE-BA230/SAPEAC-BA230 03,264,289,0,0,0.5387,2.99,5.6,625,705,0
1,1,2030,10641,UMUSUL-PR138/TAMOIO-PR138 01,44850,7237,0,0,0.543,2.079,0.802,178,178,0
1,1,2030,10642,MEDIAN-PR230/IGUACU-PR230 01,44925,6654,0,0,0.689,4.312,7.81,284,349,0
1,1,2030,10643,MEDIAN-PR230/IGUACU-PR230 02,44925,6654,0,0,0.702,4.395,8.74,284,383,0
1,1,2030,10644,MRIBAS-PR138/IVAIPO-PR138 01,45643,7017,0,0,3.75,10.92,2.967,82,82,0
1,1,2030,10645,MRIBAS-PR138/PITANG-PR138 01,45643,7137,0,0,2.65,7.72,2.099,82,82,0
1,1,2030,10646,CAPIVA-RS138/CID----RS138 01,51699,51555,0,0,2.512,6.262,1.64,134,162,0
1,1,2030,2764,C.PAUL-SP500/LORENA-SP500 01,3720,3702,0,0,0.0138,0.2045,30.71,2728,2728,0
1,1,2030,5233,TARUMA-AM138/PLANAL-AM138 01,10331,10803,0,0,20.69,1.851,1.2,335,418,0
1,1,2030,10647,BVISTA-RR069/PEDRAP-RR069 01,52208,52310,0,0,0.7458,4.6269,0.0897,99,125,0
1,1,2030,5320,P.NEG2-AM138/PLANAL-AM138 01,10701,10803,0,0,0.0937,0.839,0.5015,375,468,0
1,1,2030,5662,S.MIGU-PA138/M.RIO--PA138 01,19751,19752,0,0,4.6815,12.091,2.9494,126,126,0
1,1,2030,10648,SATELI-RR069/EQUATO-RR069 01,52231,52230,0,0,0.9695,6.015,0.1166,99,125,0
1,1,2030,10649,PEDRAP-RR069/PARAVI-RR069 01,52310,52305,0,0,1.4915,9.2536,0.1794,99,125,0
1,1,2030,10650,COLVSR-RN500/SLUZI2-PB500 01,57725,11500,0,0,0.0979,1.2271,175.6,2498,3321,0
1,1,2030,10558,FLORII-PE230/ZEBU3--AL230 01,212,296,0,0,0.7166,5.3346,26.37,578,777,0
1,1,2030,10559,BRUMA2-BA230/IBICOA-BA230 02,376,288,0,0,1.467,8.698,17.179,312,390,0
1,1,2030,10560,BESPER-MA500/G.ARAN-MA500 01,529,546,0,0,0.1487,2.2322,241.52,2347,3356,0
1,1,2030,10561,P.DUTR-MA500/G.ARAN-MA500 01,538,546,0,0,0.014,0.231,33.883,2123,2676,0
1,1,2030,10562,P.DUTR-MA500/G.ARAN-MA500 02,538,546,0,0,0.014,0.231,33.883,2123,2676,0
1,1,2030,10563,P.DUTR-MA500/G.ARAN-MA500 03,538,546,0,0,0.016,0.2418,34.985,2771,3464,0
1,1,2030,10564,P.DUTR-MA500/G.ARAN-MA500 04,538,546,0,0,0.016,0.2418,34.985,2771,3464,0
1,1,2030,10565,G.ARAN-MA500/TERES2-PI500 01,546,528,0,0,0.1296,2.0637,303.05,2123,2676,0
1,1,2030,10566,G.ARAN-MA500/TERES2-PI500 02,546,528,0,0,0.1296,2.0637,303.05,2123,2676,0
1,1,2030,10567,MIRACE-TO500/MI-GU4CAP500 04,571,774,0,0,0,-0.952,0,1732,2338,0
1,1,2030,10568,B.ALTO-GO500/TRINDA-GO500 01,770,4303,0,0,0.1043,1.442,413.53,3464,3464,0
1,1,2030,10569,GU-MI4CAP500/GURUPI-TO500 04,771,5002,0,0,0,-0.952,0,1732,2338,0
1,1,2030,10570,MI-GU4CAP500/GU-MI4CAP500 04,774,771,0,0,0.18,2.654,399.7,2728,3464,0
1,1,2030,10571,PORAN2-GO500/B.ALTO-GO500 01,777,770,0,0,0.1095,1.517,435.53,3464,3464,0
1,1,2030,10572,REAL-1-GO138/AREIAO-GO138 01,1176,1258,0,0,0.252,1.632,0.363,156,180,0
