$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,1,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,1,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,1,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,2,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,2,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,3,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,4,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,4,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,4,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,5,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,5,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,6,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,6,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,7,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,7,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,8,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,8,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,8,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,8,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,8,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,8,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,8,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,9,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,9,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,9,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,9,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,9,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,9,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,9,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,10,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,10,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,10,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,10,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,10,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,10,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,10,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,11,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,11,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,11,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,11,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,11,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,11,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,11,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,12,2025,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,12,2025,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,12,2025,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,12,2025,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,12,2025,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,12,2025,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,12,2025,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,1,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,1,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,1,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,2,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,2,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,2,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,3,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,3,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,3,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,4,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,4,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,4,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,5,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,5,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,5,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,6,2026,56,STO_ANTON_15,287,5192,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2026,58,STO_ANTON_16,287,5194,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,6,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,6,2026,59,STO_ANTON_12,287,41969,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2026,47,JIRAU_156,285,5191,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,7,2026,57,STO_ANTON_11,287,5193,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
1,7,2026,46,JIRAU_155,285,5190,0,25,0,13425,0,1875,0,0,0,0,0,0,0,0,0,0
1,7,2026,60,STO_ANTON_13,287,41970,0,10,0,5764,0,713.6600000000001,0,0,0,0,0,0,0,0,0,0
