**** Planta:  276 RONDON 2     Penal:    815.82967
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      98      93     121      92      91      79      72      69      47      68      55      60
2026      98      93     121      92      91      79      72      69      47      68      55      60
2027      98      93     121      92      91      79      72      69      47      68      55      60
2028      98      93     121      92      91      79      72      69      47      68      55      60
2029      98      93     121      92      91      79      72      69      47      68      55      60
2030      98      93     121      92      91      79      72      69      47      68      55      60
2031      98      93     121      92      91      79      72      69      47      68      55      60
2032      98      93     121      92      91      79      72      69      47      68      55      60
2033      98      93     121      92      91      79      72      69      47      68      55      60
2034      98      93     121      92      91      79      72      69      47      68      55      60
2035      98      93     121      92      91      79      72      69      47      68      55      60
2036      98      93     121      92      91      79      72      69      47      68      55      60
2037      98      93     121      92      91      79      72      69      47      68      55      60
2038      98      93     121      92      91      79      72      69      47      68      55      60
2039      98      93     121      92      91      79      72      69      47      68      55      60
**** Planta:  279 SAMUEL       Penal:    737.81534
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     521     497     723     401     255     192     181     228     256     223     334     240
2026     521     497     723     401     255     192     181     228     256     223     334     240
2027     521     497     723     401     255     192     181     228     256     223     334     240
2028     521     497     723     401     255     192     181     228     256     223     334     240
2029     521     497     723     401     255     192     181     228     256     223     334     240
2030     521     497     723     401     255     192     181     228     256     223     334     240
2031     521     497     723     401     255     192     181     228     256     223     334     240
2032     521     497     723     401     255     192     181     228     256     223     334     240
2033     521     497     723     401     255     192     181     228     256     223     334     240
2034     521     497     723     401     255     192     181     228     256     223     334     240
2035     521     497     723     401     255     192     181     228     256     223     334     240
2036     521     497     723     401     255     192     181     228     256     223     334     240
2037     521     497     723     401     255     192     181     228     256     223     334     240
2038     521     497     723     401     255     192     181     228     256     223     334     240
2039     521     497     723     401     255     192     181     228     256     223     334     240
**** Planta:  285 JIRAU        Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2026    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2027    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2028    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2029    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2030    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2031    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2032    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2033    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2034    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2035    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2036    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2037    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2038    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
2039    7172   16448   13789   12052    7343    4204    5674    3531    3240    3240    3240    3240
**** Planta:  287 STO ANTONIO  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2026   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2027   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2028   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2029   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2030   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2031   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2032   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2033   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2034   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2035   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2036   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2037   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2038   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
2039   11468   19192   13047   14427    8609    7082    5704    3591    3293    3293    3293    3945
