**** Planta:  204 CACH CALDEIR Penal:     4145.754
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     335     322     404     430     559     373     709     351     296     164    52.5     303
2026     335     322     404     430     559     373     709     351     296     164    52.5     303
2027     335     322     404     430     559     373     709     351     296     164    52.5     303
2028     335     322     404     430     559     373     709     351     296     164    52.5     303
2029     335     322     404     430     559     373     709     351     296     164    52.5     303
2030     335     322     404     430     559     373     709     351     296     164    52.5     303
2031     335     322     404     430     559     373     709     351     296     164    52.5     303
2032     335     322     404     430     559     373     709     351     296     164    52.5     303
2033     335     322     404     430     559     373     709     351     296     164    52.5     303
2034     335     322     404     430     559     373     709     351     296     164    52.5     303
2035     335     322     404     430     559     373     709     351     296     164    52.5     303
2036     335     322     404     430     559     373     709     351     296     164    52.5     303
2037     335     322     404     430     559     373     709     351     296     164    52.5     303
2038     335     322     404     430     559     373     709     351     296     164    52.5     303
2039     335     322     404     430     559     373     709     351     296     164    52.5     303
**** Planta:  277 BALBINA      Penal:    511.84881
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     325     342     309     395     303     377     430     353     290     318     499     290
2026     325     342     309     395     303     377     430     353     290     318     499     290
2027     325     342     309     395     303     377     430     353     290     318     499     290
2028     325     342     309     395     303     377     430     353     290     318     499     290
2029     325     342     309     395     303     377     430     353     290     318     499     290
2030     325     342     309     395     303     377     430     353     290     318     499     290
2031     325     342     309     395     303     377     430     353     290     318     499     290
2032     325     342     309     395     303     377     430     353     290     318     499     290
2033     325     342     309     395     303     377     430     353     290     318     499     290
2034     325     342     309     395     303     377     430     353     290     318     499     290
2035     325     342     309     395     303     377     430     353     290     318     499     290
2036     325     342     309     395     303     377     430     353     290     318     499     290
2037     325     342     309     395     303     377     430     353     290     318     499     290
2038     325     342     309     395     303     377     430     353     290     318     499     290
2039     325     342     309     395     303     377     430     353     290     318     499     290
**** Planta:  280 COARA NUNES  Penal:    1319.0292
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     345     218     320     346     296     376     277     300     205     173      61     227
2026     345     218     320     346     296     376     277     300     205     173      61     227
2027     345     218     320     346     296     376     277     300     205     173      61     227
2028     345     218     320     346     296     376     277     300     205     173      61     227
2029     345     218     320     346     296     376     277     300     205     173      61     227
2030     345     218     320     346     296     376     277     300     205     173      61     227
2031     345     218     320     346     296     376     277     300     205     173      61     227
2032     345     218     320     346     296     376     277     300     205     173      61     227
2033     345     218     320     346     296     376     277     300     205     173      61     227
2034     345     218     320     346     296     376     277     300     205     173      61     227
2035     345     218     320     346     296     376     277     300     205     173      61     227
2036     345     218     320     346     296     376     277     300     205     173      61     227
2037     345     218     320     346     296     376     277     300     205     173      61     227
2038     345     218     320     346     296     376     277     300     205     173      61     227
2039     345     218     320     346     296     376     277     300     205     173      61     227
**** Planta:  284 FERREIRA GOM Penal:    797.71017
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     314     303     350     427     964     550     604     457     286     149      63     267
2026     314     303     350     427     964     550     604     457     286     149      63     267
2027     314     303     350     427     964     550     604     457     286     149      63     267
2028     314     303     350     427     964     550     604     457     286     149      63     267
2029     314     303     350     427     964     550     604     457     286     149      63     267
2030     314     303     350     427     964     550     604     457     286     149      63     267
2031     314     303     350     427     964     550     604     457     286     149      63     267
2032     314     303     350     427     964     550     604     457     286     149      63     267
2033     314     303     350     427     964     550     604     457     286     149      63     267
2034     314     303     350     427     964     550     604     457     286     149      63     267
2035     314     303     350     427     964     550     604     457     286     149      63     267
2036     314     303     350     427     964     550     604     457     286     149      63     267
2037     314     303     350     427     964     550     604     457     286     149      63     267
2038     314     303     350     427     964     550     604     457     286     149      63     267
2039     314     303     350     427     964     550     604     457     286     149      63     267
**** Planta:  286 STO ANT JARI Penal:    967.31887
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     343     502     294     688     698     651      74     396     370     234     117     347
2026     343     502     294     688     698     651      74     396     370     234     117     347
2027     343     502     294     688     698     651      74     396     370     234     117     347
2028     343     502     294     688     698     651      74     396     370     234     117     347
2029     343     502     294     688     698     651      74     396     370     234     117     347
2030     343     502     294     688     698     651      74     396     370     234     117     347
2031     343     502     294     688     698     651      74     396     370     234     117     347
2032     343     502     294     688     698     651      74     396     370     234     117     347
2033     343     502     294     688     698     651      74     396     370     234     117     347
2034     343     502     294     688     698     651      74     396     370     234     117     347
2035     343     502     294     688     698     651      74     396     370     234     117     347
2036     343     502     294     688     698     651      74     396     370     234     117     347
2037     343     502     294     688     698     651      74     396     370     234     117     347
2038     343     502     294     688     698     651      74     396     370     234     117     347
2039     343     502     294     688     698     651      74     396     370     234     117     347
