**** Planta:  267 ESTREITO TOC Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2026    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2027    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2028    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2029    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2030    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2031    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2032    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2033    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2034    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2035    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2036    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2037    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2038    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
2039    1032    1319    1828    2010    1176     756     744     744     744     744     987     960
**** Planta:  272 CURUA-UNA    Penal:    613.66138
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     164     140     193     153     166     156     123     130     160     148     137     161
2026     164     140     193     153     166     156     123     130     160     148     137     161
2027     164     140     193     153     166     156     123     130     160     148     137     161
2028     164     140     193     153     166     156     123     130     160     148     137     161
2029     164     140     193     153     166     156     123     130     160     148     137     161
2030     164     140     193     153     166     156     123     130     160     148     137     161
2031     164     140     193     153     166     156     123     130     160     148     137     161
2032     164     140     193     153     166     156     123     130     160     148     137     161
2033     164     140     193     153     166     156     123     130     160     148     137     161
2034     164     140     193     153     166     156     123     130     160     148     137     161
2035     164     140     193     153     166     156     123     130     160     148     137     161
2036     164     140     193     153     166     156     123     130     160     148     137     161
2037     164     140     193     153     166     156     123     130     160     148     137     161
2038     164     140     193     153     166     156     123     130     160     148     137     161
2039     164     140     193     153     166     156     123     130     160     148     137     161
**** Planta:  275 TUCURUI      Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2026    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2027    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2028    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2029    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2030    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2031    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2032    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2033    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2034    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2035    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2036    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2037    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2038    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
2039    2802    2943    2291    3628    3345    2263    2281    2231    2207    2394    2572    2714
**** Planta:  314 B.MONTE COMP Penal:    2350.5454
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2026    1100    1600    2500    4000    1800    1200    1000     900     750     700     800     900
2027    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2028    1100    1600    2500    4000    1800    1200    1000     900     750     700     800     900
2029    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2030    1100    1600    2500    4000    1800    1200    1000     900     750     700     800     900
2031    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2032    1100    1600    2500    4000    1800    1200    1000     900     750     700     800     900
2033    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2034    1100    1600    2500    4000    1800    1200    1000     900     750     700     800     900
2035    1100    1600    4000    8000    4000    2000    1200     900     750     700     800     900
2036     900     900     900     900     900     900     900     900     900     900     900     900
2037     900     900     900     900     900     900     900     900     900     900     900     900
2038     900     900     900     900     900     900     900     900     900     900     900     900
2039     900     900     900     900     900     900     900     900     900     900     900     900
