**** Planta:    1 CAMARGOS     Penal:    3102.9723
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      79      94      85      78      68      44      45      49      46      94     153      68
2026      79      94      85      78      68      44      45      49      46      94     153      68
2027      79      94      85      78      68      44      45      49      46      94     153      68
2028      79      94      85      78      68      44      45      49      46      94     153      68
2029      79      94      85      78      68      44      45      49      46      94     153      68
2030      79      94      85      78      68      44      45      49      46      94     153      68
2031      79      94      85      78      68      44      45      49      46      94     153      68
2032      79      94      85      78      68      44      45      49      46      94     153      68
2033      79      94      85      78      68      44      45      49      46      94     153      68
2034      79      94      85      78      68      44      45      49      46      94     153      68
2035      79      94      85      78      68      44      45      49      46      94     153      68
2036      79      94      85      78      68      44      45      49      46      94     153      68
2037      79      94      85      78      68      44      45      49      46      94     153      68
2038      79      94      85      78      68      44      45      49      46      94     153      68
2039      79      94      85      78      68      44      45      49      46      94     153      68
**** Planta:    2 ITUTINGA     Penal:    2450.3822
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      85     104      94      87      73      53      54      57      51      94     162      74
2026      85     104      94      87      73      53      54      57      51      94     162      74
2027      85     104      94      87      73      53      54      57      51      94     162      74
2028      85     104      94      87      73      53      54      57      51      94     162      74
2029      85     104      94      87      73      53      54      57      51      94     162      74
2030      85     104      94      87      73      53      54      57      51      94     162      74
2031      85     104      94      87      73      53      54      57      51      94     162      74
2032      85     104      94      87      73      53      54      57      51      94     162      74
2033      85     104      94      87      73      53      54      57      51      94     162      74
2034      85     104      94      87      73      53      54      57      51      94     162      74
2035      85     104      94      87      73      53      54      57      51      94     162      74
2036      85     104      94      87      73      53      54      57      51      94     162      74
2037      85     104      94      87      73      53      54      57      51      94     162      74
2038      85     104      94      87      73      53      54      57      51      94     162      74
2039      85     104      94      87      73      53      54      57      51      94     162      74
**** Planta:    4 FUNIL GRANDE Penal:    1284.3099
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     258     288     242     153     113      94      85      98      76     167     233     275
2026     258     288     242     153     113      94      85      98      76     167     233     275
2027     258     288     242     153     113      94      85      98      76     167     233     275
2028     258     288     242     153     113      94      85      98      76     167     233     275
2029     258     288     242     153     113      94      85      98      76     167     233     275
2030     258     288     242     153     113      94      85      98      76     167     233     275
2031     258     288     242     153     113      94      85      98      76     167     233     275
2032     258     288     242     153     113      94      85      98      76     167     233     275
2033     258     288     242     153     113      94      85      98      76     167     233     275
2034     258     288     242     153     113      94      85      98      76     167     233     275
2035     258     288     242     153     113      94      85      98      76     167     233     275
2036     258     288     242     153     113      94      85      98      76     167     233     275
2037     258     288     242     153     113      94      85      98      76     167     233     275
2038     258     288     242     153     113      94      85      98      76     167     233     275
2039     258     288     242     153     113      94      85      98      76     167     233     275
**** Planta:    6 FURNAS       Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     174     134     135     136     133     173     171     151     192     131     151     171
2026     174     134     135     136     133     173     171     151     192     131     151     171
2027     174     134     135     136     133     173     171     151     192     131     151     171
2028     174     134     135     136     133     173     171     151     192     131     151     171
2029     174     134     135     136     133     173     171     151     192     131     151     171
2030     174     134     135     136     133     173     171     151     192     131     151     171
2031     174     134     135     136     133     173     171     151     192     131     151     171
2032     174     134     135     136     133     173     171     151     192     131     151     171
2033     174     134     135     136     133     173     171     151     192     131     151     171
2034     174     134     135     136     133     173     171     151     192     131     151     171
2035     174     134     135     136     133     173     171     151     192     131     151     171
2036     174     134     135     136     133     173     171     151     192     131     151     171
2037     174     134     135     136     133     173     171     151     192     131     151     171
2038     174     134     135     136     133     173     171     151     192     131     151     171
2039     174     134     135     136     133     173     171     151     192     131     151     171
**** Planta:    7 MASC. MORAES Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     288     497     278     270     263     149     275     228     155     224     218     253
2026     288     497     278     270     263     149     275     228     155     224     218     253
2027     288     497     278     270     263     149     275     228     155     224     218     253
2028     288     497     278     270     263     149     275     228     155     224     218     253
2029     288     497     278     270     263     149     275     228     155     224     218     253
2030     288     497     278     270     263     149     275     228     155     224     218     253
2031     288     497     278     270     263     149     275     228     155     224     218     253
2032     288     497     278     270     263     149     275     228     155     224     218     253
2033     288     497     278     270     263     149     275     228     155     224     218     253
2034     288     497     278     270     263     149     275     228     155     224     218     253
2035     288     497     278     270     263     149     275     228     155     224     218     253
2036     288     497     278     270     263     149     275     228     155     224     218     253
2037     288     497     278     270     263     149     275     228     155     224     218     253
2038     288     497     278     270     263     149     275     228     155     224     218     253
2039     288     497     278     270     263     149     275     228     155     224     218     253
**** Planta:    8 ESTREITO GDE Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     223     222     217     250     231     190     176     199     175     198     171     198
2026     223     222     217     250     231     190     176     199     175     198     171     198
2027     223     222     217     250     231     190     176     199     175     198     171     198
2028     223     222     217     250     231     190     176     199     175     198     171     198
