**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      15      15      15      14      14      15      14      15      15      15      15      15
2026      15      15      15      14      14      15      14      15      15      15      15      15
2027      15      15      15      14      14      15      14      15      15      15      15      15
2028      15      15      15      14      14      15      14      15      15      15      15      15
2029      15      15      15      14      14      15      14      15      15      15      15      15
2030      15      15      15      14      14      15      14      15      15      15      15      15
2031      15      15      15      14      14      15      14      15      15      15      15      15
2032      15      15      15      14      14      15      14      15      15      15      15      15
2033      15      15      15      14      14      15      14      15      15      15      15      15
2034      15      15      15      14      14      15      14      15      15      15      15      15
2035      15      15      15      14      14      15      14      15      15      15      15      15
2036      15      15      15      14      14      15      14      15      15      15      15      15
2037      15      15      15      14      14      15      14      15      15      15      15      15
2038      15      15      15      14      14      15      14      15      15      15      15      15
2039      15      15      15      14      14      15      14      15      15      15      15      15
**** Planta:  118 BILLINGS     Penal:    6032.7432
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      19      23      16      16      14      15      21      20      60      49      13      18
2026      19      23      16      16      14      15      21      20      60      49      13      18
2027      19      23      16      16      14      15      21      20      60      49      13      18
2028      19      23      16      16      14      15      21      20      60      49      13      18
2029      19      23      16      16      14      15      21      20      60      49      13      18
2030      19      23      16      16      14      15      21      20      60      49      13      18
2031      19      23      16      16      14      15      21      20      60      49      13      18
2032      19      23      16      16      14      15      21      20      60      49      13      18
2033      19      23      16      16      14      15      21      20      60      49      13      18
2034      19      23      16      16      14      15      21      20      60      49      13      18
2035      19      23      16      16      14      15      21      20      60      49      13      18
2036      19      23      16      16      14      15      21      20      60      49      13      18
2037      19      23      16      16      14      15      21      20      60      49      13      18
2038      19      23      16      16      14      15      21      20      60      49      13      18
2039      19      23      16      16      14      15      21      20      60      49      13      18
**** Planta:  119 HENRY BORDEN Penal:    1387.4703
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       7       9       8       6       6      10       9       8       7       9       7       9
2026       7       9       8       6       6      10       9       8       7       9       7       9
2027       7       9       8       6       6      10       9       8       7       9       7       9
2028       7       9       8       6       6      10       9       8       7       9       7       9
2029       7       9       8       6       6      10       9       8       7       9       7       9
2030       7       9       8       6       6      10       9       8       7       9       7       9
2031       7       9       8       6       6      10       9       8       7       9       7       9
2032       7       9       8       6       6      10       9       8       7       9       7       9
2033       7       9       8       6       6      10       9       8       7       9       7       9
2034       7       9       8       6       6      10       9       8       7       9       7       9
2035       7       9       8       6       6      10       9       8       7       9       7       9
2036       7       9       8       6       6      10       9       8       7       9       7       9
2037       7       9       8       6       6      10       9       8       7       9       7       9
2038       7       9       8       6       6      10       9       8       7       9       7       9
2039       7       9       8       6       6      10       9       8       7       9       7       9
**** Planta:  120 JAGUARI      Penal:    636.21094
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      10      10      10      10      10      10      10      10      10      10      10      10
2026      10      10      10      10      10      10      10      10      10      10      10      10
2027      10      10      10      10      10      10      10      10      10      10      10      10
2028      10      10      10      10      10      10      10      10      10      10      10      10
2029      10      10      10      10      10      10      10      10      10      10      10      10
2030      10      10      10      10      10      10      10      10      10      10      10      10
2031      10      10      10      10      10      10      10      10      10      10      10      10
2032      10      10      10      10      10      10      10      10      10      10      10      10
2033      10      10      10      10      10      10      10      10      10      10      10      10
2034      10      10      10      10      10      10      10      10      10      10      10      10
2035      10      10      10      10      10      10      10      10      10      10      10      10
2036      10      10      10      10      10      10      10      10      10      10      10      10
2037      10      10      10      10      10      10      10      10      10      10      10      10
2038      10      10      10      10      10      10      10      10      10      10      10      10
2039      10      10      10      10      10      10      10      10      10      10      10      10
**** Planta:  121 PARAIBUNA/PA Penal:    318.08237
