**** Planta:  225 SLT APIACAS  Penal:    6.9710503
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       1       1       1       1       1       1       1       1       1       1       1       1
2026       1       1       1       1       1       1       1       1       1       1       1       1
2027       1       1       1       1       1       1       1       1       1       1       1       1
2028       1       1       1       1       1       1       1       1       1       1       1       1
2029       1       1       1       1       1       1       1       1       1       1       1       1
2030       1       1       1       1       1       1       1       1       1       1       1       1
2031       1       1       1       1       1       1       1       1       1       1       1       1
2032       1       1       1       1       1       1       1       1       1       1       1       1
2033       1       1       1       1       1       1       1       1       1       1       1       1
2034       1       1       1       1       1       1       1       1       1       1       1       1
2035       1       1       1       1       1       1       1       1       1       1       1       1
2036       1       1       1       1       1       1       1       1       1       1       1       1
2037       1       1       1       1       1       1       1       1       1       1       1       1
2038       1       1       1       1       1       1       1       1       1       1       1       1
2039       1       1       1       1       1       1       1       1       1       1       1       1
2040       1       1       1       1       1       1       1       1       1       1       1       1
**** Planta:  227 SINOP        Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     173     173     173     173     173     173     173     173     173     173     173     173
2026     173     173     173     173     173     173     173     173     173     173     173     173
2027     173     173     173     173     173     173     173     173     173     173     173     173
2028     173     173     173     173     173     173     173     173     173     173     173     173
2029     173     173     173     173     173     173     173     173     173     173     173     173
2030     173     173     173     173     173     173     173     173     173     173     173     173
2031     173     173     173     173     173     173     173     173     173     173     173     173
2032     173     173     173     173     173     173     173     173     173     173     173     173
2033     173     173     173     173     173     173     173     173     173     173     173     173
2034     173     173     173     173     173     173     173     173     173     173     173     173
2035     173     173     173     173     173     173     173     173     173     173     173     173
2036     173     173     173     173     173     173     173     173     173     173     173     173
2037     173     173     173     173     173     173     173     173     173     173     173     173
2038     173     173     173     173     173     173     173     173     173     173     173     173
2039     173     173     173     173     173     173     173     173     173     173     173     173
**** Planta:  228 COLIDER      Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     497     200     339     373     537     334     192     309     281     281     300     366
2026     497     200     339     373     537     334     192     309     281     281     300     366
2027     497     200     339     373     537     334     192     309     281     281     300     366
2028     497     200     339     373     537     334     192     309     281     281     300     366
2029     497     200     339     373     537     334     192     309     281     281     300     366
2030     497     200     339     373     537     334     192     309     281     281     300     366
2031     497     200     339     373     537     334     192     309     281     281     300     366
2032     497     200     339     373     537     334     192     309     281     281     300     366
2033     497     200     339     373     537     334     192     309     281     281     300     366
2034     497     200     339     373     537     334     192     309     281     281     300     366
2035     497     200     339     373     537     334     192     309     281     281     300     366
2036     497     200     339     373     537     334     192     309     281     281     300     366
2037     497     200     339     373     537     334     192     309     281     281     300     366
2038     497     200     339     373     537     334     192     309     281     281     300     366
2039     497     200     339     373     537     334     192     309     281     281     300     366
**** Planta:  229 TELES PIRES  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    1382     569     680    1301     938     762     635     390     390     390     409     390
2026    1382     569     680    1301     938     762     635     390     390     390     409     390
2027    1382     569     680    1301     938     762     635     390     390     390     409     390
2028    1382     569     680    1301     938     762     635     390     390     390     409     390
2029    1382     569     680    1301     938     762     635     390     390     390     409     390
2030    1382     569     680    1301     938     762     635     390     390     390     409     390
2031    1382     569     680    1301     938     762     635     390     390     390     409     390
2032    1382     569     680    1301     938     762     635     390     390     390     409     390
