$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,1,2025,1,APARECIDA88,201,10315,0,1,0,82.95,0,0,0,0,0,0,0,0,0,0
1,1,2025,47,M.CRISTO_99,327,52281,0,1,0,22.75,0,0,0,0,0,0,0,0,0,0
1,1,2025,2,APARECIDA89,201,10317,0,1,0,82.95,0,0,0,0,0,0,0,0,0,0
1,1,2025,9,BBF_BALIZ94,322,52300,0,1,0,9.8,0,0,0,0,0,0,0,0,0,0
1,1,2025,11,C._ROCHA1_90,203,10406,0,1,0,42.64,0,0,0,0,0,0,0,0,0,0
1,1,2025,48,M.CRISTO_100,327,52282,0,1,0,19.5,0,0,0,0,0,0,0,0,0,0
1,1,2025,12,C._ROCHA1_91,203,10407,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2025,10,BBF_BALIZ95,322,52301,0,1,0,8.136,0,0,0,0,0,0,0,0,0,0
1,1,2025,41,JARAQUI92_2,204,10471,0,1,0,36.102,0,0,0,0,0,0,0,0,0,0
1,1,2025,36,JAGUATIR_I96,326,52221,0,1,0,48.653,0,0,0,0,0,0,0,0,0,0
1,1,2025,42,JARAQUI93_2,204,10472,0,1,0,39.384,0,0,0,0,0,0,0,0,0,0
1,1,2025,37,JAGUATIR_I97,326,52222,0,1,0,48.653,0,0,0,0,0,0,0,0,0,0
1,1,2025,57,MAUA_386_1,140,10501,0,1,0,375,0,0,0,0,0,0,0,0,0,0
1,1,2025,38,JAGUATIRI98,326,52223,0,1,0,43.528,0,0,0,0,0,0,0,0,0,0
1,1,2025,58,MAUA_387_1,140,10503,0,1,0,208,0,0,0,0,0,0,0,0,0,0
1,7,2028,47,M.CRISTO_99,327,52281,0,1,0,22.75,0,0,0,0,0,0,0,0,0,0
1,7,2028,48,M.CRISTO_100,327,52282,0,1,0,19.5,0,0,0,0,0,0,0,0,0,0
1,12,2030,1,APARECIDA88,201,10315,0,1,0,82.95,0,0,0,0,0,0,0,0,0,0
1,12,2030,2,APARECIDA89,201,10317,0,1,0,82.95,0,0,0,0,0,0,0,0,0,0
1,12,2030,11,C._ROCHA1_90,203,10406,0,1,0,42.64,0,0,0,0,0,0,0,0,0,0
1,12,2030,12,C._ROCHA1_91,203,10407,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2030,41,JARAQUI92_2,204,10471,0,1,0,36.102,0,0,0,0,0,0,0,0,0,0
1,12,2030,42,JARAQUI93_2,204,10472,0,1,0,39.384,0,0,0,0,0,0,0,0,0,0
1,12,2030,57,MAUA_386_1,140,10501,0,1,0,375,0,0,0,0,0,0,0,0,0,0
1,12,2030,58,MAUA_387_1,140,10503,0,1,0,208,0,0,0,0,0,0,0,0,0,0
1,1,2031,39,JARAQUI92_1,784,10471,0,1,0,36.102,0,0,0,0,0,0,0,0,0,0
1,1,2031,40,JARAQUI93_1,784,10472,0,1,0,39.384,0,0,0,0,0,0,0,0,0,0
1,1,2031,59,MAUA_386_2,788,10501,0,1,0,375,0,0,0,0,0,0,0,0,0,0
1,1,2031,60,MAUA_387_2,788,10503,0,1,0,208,0,0,0,0,0,0,0,0,0,0
1,7,2031,13,C._ROCHA2_90,783,10406,0,1,0,42.64,0,0,0,0,0,0,0,0,0,0
1,7,2031,14,C._ROCHA2_91,783,10407,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2036,9,BBF_BALIZ94,322,52300,0,1,0,9.8,0,0,0,0,0,0,0,0,0,0
1,7,2036,10,BBF_BALIZ95,322,52301,0,1,0,8.136,0,0,0,0,0,0,0,0,0,0
1,2,2037,36,JAGUATIR_I96,326,52221,0,1,0,48.653,0,0,0,0,0,0,0,0,0,0
1,2,2037,38,JAGUATIRI98,326,52223,0,1,0,43.528,0,0,0,0,0,0,0,0,0,0
1,2,2037,37,JAGUATIR_I97,326,52222,0,1,0,48.653,0,0,0,0,0,0,0,0,0,0
