$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,1,2025,51,MARANHAO_821,212,13016,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2025,52,MARANHAO_831,212,13022,0,1,0,173.2,0,0,0,0,0,0,0,0,0,0
1,1,2025,53,MARANHAO_74,36,13003,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2025,54,MARANHAO_75,36,13007,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2025,55,MARANHAO_72,21,13008,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2025,56,MARANHAO_73,21,13009,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2025,65,N.VENECI_A76,46,13029,0,1,0,168.8,0,0,0,0,0,0,0,0,0,0
1,1,2025,66,N.VENECI_A77,46,13039,0,1,0,92.254,0,0,0,0,0,0,0,0,0,0
1,3,2025,65,N.VENECI_A76,46,13029,0,1,0,168.8,0,0,0,0,0,0,0,0,0,0
1,3,2025,66,N.VENECI_A77,46,13039,0,1,0,92.254,0,0,0,0,0,0,0,0,0,0
1,7,2026,26,GERAMAR_I80,73,13411,0,1,0,87.3,0,0,0,0,0,0,0,0,0,0
1,7,2026,27,GERAMAR_I81,73,13412,0,1,0,78.57,0,0,0,0,0,0,0,0,0,0
1,7,2026,28,GERAMAR_I78,70,13413,0,1,0,87.3,0,0,0,0,0,0,0,0,0,0
1,7,2026,29,GERAMAR_I79,70,13414,0,1,0,78.57,0,0,0,0,0,0,0,0,0,0
1,1,2028,53,MARANHAO_74,36,13003,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2028,54,MARANHAO_75,36,13007,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2028,55,MARANHAO_72,21,13008,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2028,56,MARANHAO_73,21,13009,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2034,51,MARANHAO_821,212,13016,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2034,52,MARANHAO_831,212,13022,0,1,0,173.2,0,0,0,0,0,0,0,0,0,0
1,1,2034,49,MARANHAO_82_,777,13016,0,1,0,337.6,0,0,0,0,0,0,0,0,0,0
1,1,2034,50,MARANHAO_83_,777,13022,0,1,0,173.2,0,0,0,0,0,0,0,0,0,0
