$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,1,2025,21,CUIABA_G_3,12,4395,0,1,0,320,0,0,0,0,0,0,0,0,0,0
1,1,2025,79,SEROPEDIC22_,62,4383,0,1,0,273.6,0,0,0,0,0,0,0,0,0,0
1,1,2025,22,CUIABA_G_4,12,40649,0,1,0,186,0,0,0,0,0,0,0,0,0,0
1,1,2025,133,VIANA_150_2,253,4414,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,1,2025,87,ST.CRUZ_N281,86,3598,0,1,0,150,0,0,0,0,0,0,0,0,0,0
1,1,2025,80,SEROPEDIC23_,62,4383,0,1,0,91.2,0,0,0,0,0,0,0,0,0,0
1,1,2025,88,ST.CRUZ_N291,86,3601,0,1,0,350,0,0,0,0,0,0,0,0,0,0
1,1,2025,7,BAIXADA_F2_4,211,4380,0,1,0,186,0,0,0,0,0,0,0,0,0,0
1,1,2025,134,W._ARJON_A51,334,49060,0,1,0,39.16,0,0,0,0,0,0,0,0,0,0
1,1,2025,103,TERMOMACA301,90,4394,0,1,0,547.2,0,0,0,0,0,0,0,0,0,0
1,1,2025,8,BAIXADA_F2_1,211,4398,0,1,0,344,0,0,0,0,0,0,0,0,0,0
1,1,2025,135,W._ARJON_A52,334,49061,0,1,0,39.16,0,0,0,0,0,0,0,0,0,0
1,1,2025,104,TERMOMACA311,90,4396,0,1,0,364.8,0,0,0,0,0,0,0,0,0,0
1,1,2025,19,CUBATAO32,97,4374,0,1,0,160,0,0,0,0,0,0,0,0,0,0
1,1,2025,136,W._ARJON_A53,334,49062,0,1,0,33,0,0,0,0,0,0,0,0,0,0
1,1,2025,20,CUBATAO33,97,4384,0,1,0,50,0,0,0,0,0,0,0,0,0,0
1,1,2025,34,IBIRIT_E24,63,4397,0,1,0,164,0,0,0,0,0,0,0,0,0,0
1,1,2025,137,W._ARJON_A54,334,49063,0,1,0,33.1,0,0,0,0,0,0,0,0,0,0
1,1,2025,116,TRES_LAGO26_,68,4392,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2025,117,TRES_LAGO27_,68,4393,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2025,138,W._ARJON_A55,334,49064,0,1,0,32.694,0,0,0,0,0,0,0,0,0,0
1,1,2025,35,IBIRIT_E25,63,4423,0,1,0,84,0,0,0,0,0,0,0,0,0,0
1,1,2025,30,GNA_I36,137,40440,0,1,0,1013.1,0,0,0,0,0,0,0,0,0,0
1,1,2025,77,POVOACAO_461,251,40449,0,1,0,18.78,0,0,0,0,0,0,0,0,0,0
1,1,2025,31,GNA_I37,137,40441,0,1,0,509,0,0,0,0,0,0,0,0,0,0
1,1,2025,78,POVOACAO_451,251,40450,0,1,0,56.34,0,0,0,0,0,0,0,0,0,0
1,1,2025,45,JUIZ_DE_F201,54,4386,0,1,0,35,0,0,0,0,0,0,0,0,0,0
