$version=1
!Day,Month,Year,Code,Name,BusFromCode,BusToCode,Existing,Decommissioned,BasePower,NominalWinding1Voltage,NominalWinding2Voltage,R,X,Rn,Re,Prob,Mag1,Mag2,MinTap,MaxTap,TapSteps,MinPhaseAngle,MaxPhaseAngle
1,1,2030,13633,JLACEA-SC230/JLACM-UTE013 01,7800,8955,0,0,100,0,0,0.3,6.379,158,158,0,0,0,0.9,1.1,20,0,0
1,1,2030,17955,BRITAN-GO069/BRITA2-GO138 01,24003,24094,0,0,100,0,0,0,24,50,50,0,0,0,0.95,1.1,20,0,0
1,1,2030,17967,DEMEII-RS069/IJUI1--RS069 01,71010,8334,0,0,100,0,0,0.01,0.01,99999,99999,0,0,0,0.9,1.1,20,0,0
1,1,2030,11263,BESPER-MA230/BESPER-MA500 01,329,529,0,0,100,0,0,0,2.66,450,540,0,0,0,0.9,1.1,20,0,0
1,1,2030,11277,TERPER-PE230/TERPEGUTE013 01,336,160,0,0,100,0,0,0,6.148,99999,99999,0,0,0,0.9,1.1,20,0,0
1,1,2030,13261,GPS----PR230/GPS---UHE013 01,6663,6982,0,0,100,0,0,0,6.3533,280,336,0,0,0,0.9,1.1,20,0,0
1,1,2030,11370,JCMR3--RN500/JCMR3-SIN013 01,523,11566,0,0,100,0,0,0,2.86,300,300,0,0,0,1.05,1.05,20,0,0
1,1,2030,11430,TUCR-2-PA500/TUC2-7UHE013 01,596,71,0,0,100,0,0,0,0.785,2835,3402,0,0,0,1.05,1.05,20,0,0
1,1,2030,13539,BIGUCB-SC138/BIGU1--SC000 01,7742,47096,0,0,100,0,0,-0.012,-0.53,225,270,0,0,0,0.9,1.1,20,0,0
1,1,2030,13537,BIGUCB-SC138/BIGU3--SC000 01,7742,46932,0,0,100,0,0,-0.012,-0.53,225,270,0,0,0,0.9,1.1,20,0,0
1,1,2030,13533,BIGUAC-SC230/BIGU2--SC000 01,7740,47098,0,0,100,0,0,0.15,6.75,225,270,0,0,0,0.9,1.1,20,0,0
1,1,2030,11640,PORANG-GO138/PORANG-GO069 01,1221,23503,0,0,100,0,0,0.598,20.03,50,60,0,0,0,0.85,1.05,20,0,0
1,1,2030,11641,PORANG-GO138/PORANG-GO069 02,1221,23503,0,0,100,0,0,0.598,20.03,50,60,0,0,0,0.85,1.05,20,0,0
1,1,2030,11710,JUBA-1-MT138/JUBA1-UHE013 01,1401,26401,0,0,100,0,0,0,26.667,50,50,0,0,0,0.9,1.1,20,0,0
1,1,2030,13532,BIGUAC-SC230/BIGU1--SC000 01,7740,47096,0,0,100,0,0,0.15,6.75,225,270,0,0,0,0.9,1.1,20,0,0
1,1,2030,13301,SEGRED-PR525/SEGREDUHE013 01,6757,7195,0,0,100,0,0,0,1.4,1332,1600,0,0,0,0.9,1.1,20,0,0
1,1,2030,17961,C.NORT-MT500/C.NORT-MT138 02,39551,39151,0,0,100,0,0,0,2.3333,600,720,0,0,0,0.95,1.05,20,0,0
1,1,2030,11721,JUBA22-MT138/JUBA2-UHE013 01,1417,26400,0,0,100,0,0,0,26.667,50,50,0,0,0,0.9,1.1,20,0,0
1,1,2030,17959,N.EXTR-MG500/N.EXTR-MG138 01,38930,38931,0,0,100,0,0,0,3.5,400,480,0,0,0,0.9,1.1,20,0,0
1,1,2030,13528,BIGUAC-SC230/BIGU3--SC000 01,7740,46932,0,0,100,0,0,0.15,6.75,225,270,0,0,0,0.9,1.1,20,0,0
1,1,2030,17935,MATRI2-GO138/MATRI2-GO230 01,1217,4332,0,0,100,0,0,0,12,100,120,0,0,0,0.95,1.1,20,0,0
1,1,2030,15719,CUIA-VUTE013/MCOVAS-MT138 01,40649,1307,0,0,100,0,0,0,2.083,528,528,0,0,0,0.9,1.1,20,0,0
1,1,2030,13300,S.CAXI-PR525/S.CAXIUHE013 01,6755,7190,0,0,100,0,0,0,1.36,1380,1656,0,0,0,0.9,1.1,20,0,0
