$version=1
!Code,Name........,TurbiningTravelTime,SpillingTravelTime,DischargeRampUp,DischargeRampDown,RampUp,RampDown,Commitment,StartupCost,MaxStartup,TurbRampUp,TurbRampDown,SpilRampUp,SpilRampDown,ForebayRampUp,ForebayRampDown,ForebayRampUpDay,ForebayRampDownDay
1,CAMARGOS,4,4,,,,,0,0,0,,,,,,,,
2,ITUTINGA,12,12,,,,,0,0,0,,,,,,,,
4,FUNIL GRANDE,23,23,,,,,0,0,0,,,,,,,,
6,FURNAS,6,6,,,,,0,0,0,,,,,,,,
7,MASC. MORAES,2,2,,,,,0,0,0,,,,,,,,
8,ESTREITO GDE,2,2,,,,,0,0,0,,,,,,,,
9,JAGUARA,5,5,,,,,0,0,0,,,,,,,,
10,IGARAPAVA,2,2,,,,,0,0,0,,,,,,,,
11,VOLTA GRANDE,6,6,,,,,0,0,0,,,,,,,,
12,P. COLOMBIA,6,6,,,,,0,0,0,,,,,,,,
14,CACONDE,12,12,,,,,0,0,0,,,,,,,,
15,EUCLID CUNHA,3,3,,,,,0,0,0,,,,,,,,
16,A.S.OLIVEIRA,72,72,,,,,0,0,0,,,,,,,,
17,MARIMBONDO,6,6,,,,,0,0,0,,,,,,,,
18,A. VERMELHA,6,6,,,,,0,0,0,,,,,,,,
20,BATALHA,8,8,,,,,0,0,0,,,,,,,,
21,SERRA FACAO,11,11,,,,,0,0,0,,,,,,,,
24,EMBORCACAO,6,6,,,,,0,0,0,,,,,,,,
25,NOVA PONTE,6,6,,,,,0,0,0,,,,,,,,
26,MIRANDA,5,5,,,,,0,0,0,,,,,,,,
27,CAPIM BRANC1,1,1,,,,,0,0,0,,,,,,,,
28,CAPIM BRANC2,4,4,,,,,0,0,0,,,,,,,,
29,CORUMBA IV,1,1,,,,,0,0,0,,,,,,,,
30,CORUMBA I,6,6,,,,,0,0,0,,,,,,,,
31,ITUMBIARA,4,4,,,,,0,0,0,,,,,,,,
32,CACH DOURADA,8,8,,,,,0,0,0,,,,,,,,
33,SAO SIMAO,14,14,,,,,0,0,0,,,,,,,,
34,_I. SOLTEIRA,3,3,,,,,0,0,0,,,,,,,,
37,BARRA BONITA,12,12,,,,,0,0,0,,,,,,,,
38,A.SOUZA LIMA,6,6,,,,,0,0,0,,,,,,,,
39,IBITINGA,6,6,,,,,0,0,0,,,,,,,,
40,PROMISSAO,6,6,,,,,0,0,0,,,,,,,,
42,N.AVANHANDAV,7,7,,,,,0,0,0,,,,,,,,
43,_TRES IRMAOS,5,5,,,,,0,0,0,,,,,,,,
45,JUPIA,24,24,,,,,0,0,0,,,,,,,,
46,P. PRIMAVERA,48,48,,,,,0,0,0,,,,,,,,
47,A.A. LAYDNER,1,1,,,,,0,0,0,,,,,,,,
48,PIRAJU,4,4,,,,,0,0,0,,,,,,,,
49,CHAVANTES,2,2,,,,,0,0,0,,,,,,,,
50,L. N. GARCEZ,2,2,,,,,0,0,0,,,,,,,,
51,CANOAS II,1,1,,,,,0,0,0,,,,,,,,
52,CANOAS I,5,5,,,,,0,0,0,,,,,,,,
53,PARANAPANEMA,4,4,,,,,0,0,0,,,,,,,,
61,CAPIVARA,4,4,,,,,0,0,0,,,,,,,,
62,TAQUARUCU,4,4,,,,,0,0,0,,,,,,,,
63,ROSANA,48,48,,,,,0,0,0,,,,,,,,
153,SAO DOMINGOS,20,20,,,,,0,0,0,,,,,,,,
203,CORUMBA III,16,16,,,,,0,0,0,,,,,,,,
241,SLT VERDINHO,9,9,,,,,0,0,0,,,,,,,,
249,OURINHOS,2,2,,,,,0,0,0,,,,,,,,
260,ESTRELA,4,4,,,,,0,0,0,,,,,,,,
262,SALTO,18,18,,,,,0,0,0,,,,,,,,
290,ESPORA,18,18,,,,,0,0,0,,,,,,,,
311,CACU,3,3,,,,,0,0,0,,,,,,,,
312,B. COQUEIROS,8,8,,,,,0,0,0,,,,,,,,
315,FOZ R CLARO,10,10,,,,,0,0,0,,,,,,,,
