$version=1
!Code,Name........,TurbiningTravelTime,SpillingTravelTime,DischargeRampUp,DischargeRampDown,RampUp,RampDown,Commitment,StartupCost,MaxStartup,TurbRampUp,TurbRampDown,SpilRampUp,SpilRampDown,ForebayRampUp,ForebayRampDown,ForebayRampUpDay,ForebayRampDownDay
117,GUARAPIRANGA,4,4,,,,,0,0,0,,,,,,,,
118,BILLINGS,4,4,,,,,0,0,0,,,,,,,,
119,HENRY BORDEN,4,4,,,,,0,0,0,,,,,,,,
120,JAGUARI,72,72,,,,,0,0,0,,,,,,,,
121,PARAIBUNA/PA,6,6,,,,,0,0,0,,,,,,,,
122,S.BRANCA PAR,84,84,,,,,0,0,0,,,,,,,,
123,FUNIL,24,24,,,,,0,0,0,,,,,,,,
124,LAJES,4,4,,,,,0,0,0,,,,,,,,
126,PICADA,5,5,,,,,0,0,0,,,,,,,,
127,SOBRAGI,6,6,,,,,0,0,0,,,,,,,,
129,SIMPLICIO,8,8,,,,,0,0,0,,,,,,,,
130,ILHA POMBOS,4,4,,,,,0,0,0,,,,,,,,
131,NILO PECANHA,4,4,,,,,0,0,0,,,,,,,,
183,FONTES A,4,4,,,,,0,0,0,,,,,,,,
133,P. PASSOS,4,4,,,,,0,0,0,,,,,,,,
134,SALTO GRANDE,2,2,,,,,0,0,0,,,,,,,,
135,P. ESTRELA,24,24,,,,,0,0,0,,,,,,,,
139,CANDONGA,48,48,,,,,0,0,0,,,,,,,,
141,BAGUARI,12,12,,,,,0,0,0,,,,,,,,
143,AIMORES,1,1,,,,,0,0,0,,,,,,,,
144,MASCARENHAS,4,4,,,,,0,0,0,,,,,,,,
145,SUICA,4,4,,,,,0,0,0,,,,,,,,
148,IRAPE,120,120,,,,,0,0,0,,,,,,,,
155,RETIRO BAIXO,12,12,,,,,0,0,0,,,,,,,,
156,TRES MARIAS,360,360,,,,,0,0,0,,,,,,,,
162,QUEIMADO,360,360,,,,,0,0,0,,,,,,,,
185,BARRA BRAUNA,4,4,,,,,0,0,0,,,,,,,,
192,GUILMAN-AMOR,4,4,,,,,0,0,0,,,,,,,,
193,SA CARVALHO,36,36,,,,,0,0,0,,,,,,,,
195,JAURU,4,4,,,,,0,0,0,,,,,,,,
196,GUAPORE,4,4,,,,,0,0,0,,,,,,,,
217,ROSAL,4,4,,,,,0,0,0,,,,,,,,
250,MIRADOR,4,4,,,,,0,0,0,,,,,,,,
251,SERRA MESA,3,3,,,,,0,0,0,,,,,,,,
252,CANA BRAVA,3,3,,,,,0,0,0,,,,,,,,
253,SAO SALVADOR,3,3,,,,,0,0,0,,,,,,,,
257,PEIXE ANGICA,40,40,,,,,0,0,0,,,,,,,,
261,LAJEADO,68,68,,,,,0,0,0,,,,,,,,
278,MANSO,4,4,,,,,0,0,0,,,,,,,,
281,PONTE PEDRA,4,4,,,,,0,0,0,,,,,,,,
283,STA CLARA MG,4,4,,,,,0,0,0,,,,,,,,
304,ITIQUIRA 1,4,4,,,,,0,0,0,,,,,,,,
305,ITIQUIRA 2,4,4,,,,,0,0,0,,,,,,,,
310,DARDANELOS,4,4,,,,,0,0,0,,,,,,,,
493,FORMOSO,4,4,,,,,0,0,0,,,,,,,,
1132,CALHA-CEDAE,4,4,,,,,0,0,0,,,,,,,,
184,FONTES BC,4,4,,,,,0,0,0,,,,,,,,
182,VIGARIO,4,4,,,,,0,0,0,,,,,,,,
181,SANTANA,4,4,,,,,0,0,0,,,,,,,,
1133,VERTSANTA,4,4,,,,,0,0,0,,,,,,,,
125,STA. CECILIA,40,40,,,,,0,0,0,,,,,,,,
180,TOCOS,4,4,,,,,0,0,0,,,,,,,,
