$version=1
!Code,Name........,TurbiningTravelTime,SpillingTravelTime,DischargeRampUp,DischargeRampDown,RampUp,RampDown,Commitment,StartupCost,MaxStartup,TurbRampUp,TurbRampDown,SpilRampUp,SpilRampDown,ForebayRampUp,ForebayRampDown,ForebayRampUpDay,ForebayRampDownDay
56,TELEM BORBA,4,4,,,,,0,0,0,,,,,,,,
57,MAUA,22,22,,,,,0,0,0,,,,,,,,
71,STA CLARA PR,1,1,,,,,0,0,0,,,,,,,,
72,FUNDAO,2,2,,,,,0,0,0,,,,,,,,
73,JORDAO,1,1,,,,,0,0,0,,,,,,,,
74,G. B. MUNHOZ,1,1,,,,,0,0,0,,,,,,,,
76,SEGREDO,1,1,,,,,0,0,0,,,,,,,,
77,SLT.SANTIAGO,1,1,,,,,0,0,0,,,,,,,,
78,SALTO OSORIO,1,1,,,,,0,0,0,,,,,,,,
82,SALTO CAXIAS,2,2,,,,,0,0,0,,,,,,,,
83,BAIXO IGUACU,4,4,,,,,0,0,0,,,,,,,,
86,BARRA GRANDE,1,1,,,,,0,0,0,,,,,,,,
88,SAO ROQUE,4,4,,,,,0,0,0,,,,,,,,
89,GARIBALDI,1,1,,,,,0,0,0,,,,,,,,
90,CAMPOS NOVOS,1,1,,,,,0,0,0,,,,,,,,
91,MACHADINHO,1,1,,,,,0,0,0,,,,,,,,
92,ITA,1,1,,,,,0,0,0,,,,,,,,
93,PASSO FUNDO,1,1,,,,,0,0,0,,,,,,,,
94,MONJOLINHO,1,1,,,,,0,0,0,,,,,,,,
95,QUEBRA QUEIX,4,4,,,,,0,0,0,,,,,,,,
97,CASTRO ALVES,1,1,,,,,0,0,0,,,,,,,,
98,MONTE CLARO,1,1,,,,,0,0,0,,,,,,,,
99,14 DE JULHO,4,4,,,,,0,0,0,,,,,,,,
100,ITAPIRANGA,4,4,,,,,0,0,0,,,,,,,,
101,SAO JOSE,1,1,,,,,0,0,0,,,,,,,,
102,PASSO S JOAO,4,4,,,,,0,0,0,,,,,,,,
103,FOZ CHAPECO,4,4,,,,,0,0,0,,,,,,,,
110,ERNESTINA,1,1,,,,,0,0,0,,,,,,,,
111,PASSO REAL,1,1,,,,,0,0,0,,,,,,,,
112,JACUI,1,1,,,,,0,0,0,,,,,,,,
113,ITAUBA,1,1,,,,,0,0,0,,,,,,,,
114,D. FRANCISCA,4,4,,,,,0,0,0,,,,,,,,
115,G. P. SOUZA,4,4,,,,,0,0,0,,,,,,,,
215,SALTO PILAO,4,4,,,,,0,0,0,,,,,,,,
361,CANASTRA,4,4,,,,,0,0,0,,,,,,,,
578,APERTADOS,4,4,,,,,0,0,0,,,,,,,,
1073,Jordao Fic01,4,4,,,,,0,0,0,,,,,,,,
