$version=1
!Code,N,A0,A1,A2,A3,A4
117,4,5185401,-21321.15,29.21867,-0.01334537,0
118,4,-985970.9,4018.057,-5.466639,0.002483119,0
119,4,1,0,0,0,0
120,4,-22398.2,94.1086,-0.08942378,-7.3736e-05,1.08611e-07
121,4,-1722.28,12.3779,-0.0168791,-1.3775e-05,2.57028e-08
122,4,9849.289,-33.01889,0.0276975,0,0
123,4,29506.8,-192.916,0.418396,-0.00030067,0
124,4,30,0,0,0,0
126,4,-93647.75,345.042,-0.2596329,-0.00028713,3.24473e-07
127,4,0.11,0,0,0,0
129,4,11.36,0,0,0,0
130,4,4,0,0,0,0
131,4,1,0,0,0,0
183,4,1,0,0,0,0
133,4,1.099999,0,0,0,0
134,4,5.8,0,0,0,0
135,4,-26.96669,0.1222219,0,0,0
139,4,-20.66099,0,0,2.1389e-06,-4.5044e-09
141,4,-613.95,3.395212,-1.266e-07,0,0
143,4,-162020,7306.508,-123.601,0.929426,-0.00262028
144,4,3.9,0,0,0,0
145,4,-3578.093,30.21115,-0.08501718,7.97406e-05,0
148,4,4771.56,-22.2022,0.0236388,1.36246e-05,-1.8729e-08
155,4,-723789.3,2350.039,-1.907499,0,0
156,4,12075000,-89343.69,247.989,-0.306089,0.000141775
162,4,-7222561,26548.24,-32.52922,0.01328637,0
185,4,1926.82,-26.739,0.09299999,0,0
192,4,1,0,0,0,0
193,4,0.46,0,0,0,0
195,4,-90.0009,0.259597,0,0,0
196,4,4.099999,0,0,0,0
217,4,1.28,0,0,0,0
250,4,32632.39,-126.5573,0.1047533,0.000100056,-1.235e-07
251,4,159666,-986.2449,1.94994,-0.00120015,0
252,4,138.7,0,0,0,0
253,4,104,0,0,0,0
257,4,-583919.7,7064.895,-28.51026,0.03837916,0
261,4,626,0,0,0,0
278,4,596505,-5893.379,17.68439,-0.00960197,-1.9806e-05
281,4,19.1,0,0,0,0
283,4,7.599999,0,0,0,0
304,4,2.099999,0,0,0,0
305,4,0.09999996,0,0,0,0
310,4,0.24,0,0,0,0
493,4,127708.8,-503.6566,0.4975877,0,0
1132,4,0,0,0,0,0
184,4,0,0,0,0,0
182,4,0,0,0,0,0
181,4,0,0,0,0,0
1133,4,0,0,0,0,0
125,4,0,0,0,0,0
180,4,0,0,0,0,0
