$version=1
!Code,N,A0,A1,A2,A3,A4
56,4,1331286,-5797.536,8.41433,-0.00407,0
57,4,-1224.268,2.060057,-4.4159e-08,0,0
71,4,1980,-2.291639,-0.00222824,2.51128e-08,3.13322e-09
72,4,-707603.7,4096.383,-8.8908,0.008574167,-3.1e-06
73,4,1,0,0,0,0
74,4,12303,-35.93359,0.0263396,0,0
76,4,-586.1299,0.8019969,0.000488253,0,0
77,4,-9865.199,54.43188,-0.09163177,2.06847e-05,5.05252e-08
78,4,56,0,0,0,0
82,4,141.43,0,0,0,0
83,4,159522.4,-1873.853,7.327579,-0.0095375,0
86,4,207071.9,-1338.374,3.244795,-0.00349878,1.41671e-06
88,4,173958.8,-674.6445,0.8693143,-0.000372,0
89,4,-1037.81,1.51,0,0,0
90,4,-126.4464,0.240168,-1.2305e-07,-1.3903e-10,1.5317e-13
91,4,3325.72,-19.0649,0.0282416,8.15504e-06,-2.834e-08
92,4,141.18,0,0,0,0
93,4,-2857.81,2.94494,0.00348711,0,0
94,4,152242,-1860.279,8.523185,-0.01735428,1.32506e-05
95,4,-28922,162.803,-0.305614,0.000191339,0
97,4,494493,-8321.039,52.4957,-0.14716,0.000154667
98,4,-7277.609,193.4048,-1.92385,0.008486667,-1.4e-05
99,4,-1347.126,56.14984,-0.8735205,0.006000571,-1.5295e-05
100,4,60.8,0,0,0,0
101,4,23.46,0,0,0,0
102,4,-303.4838,2.525,-1.421e-14,0,0
103,4,193878.1,-3079.193,18.31809,-0.04839828,4.79513e-05
110,4,54770,-229.748,0.240937,0,0
111,4,32399,-297.1809,0.8885559,-0.00085822,0
112,4,4.8,0,0,0,0
113,4,17,0,0,0,0
114,4,18.89999,0,0,0,0
115,4,9513.578,-23.2618,0.0142228,0,0
215,4,1037.608,-6.537585,0.010299,0,0
361,4,0.05,0,0,0,0
578,4,408339.8,-4347.075,15.41482,-0.01820594,0
1073,4,0,0,0,0,0
