$version=1
!BusCode,ReserveAreaCode
87,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1081,1
1082,1
1083,1
1084,1
1085,1
1153,1
1424,1
1425,1
1426,1
1427,1
1429,1
1430,1
1432,1
1433,1
1435,1
1445,1
1448,1
1900,1
2041,1
2042,1
2043,1
2044,1
2045,1
3011,1
3012,1
3013,1
3016,1
3017,1
3019,1
3020,1
3021,1
3585,1
3586,1
3587,1
3588,1
3589,1
3590,1
3591,1
3592,1
3593,1
4331,1
4336,1
4341,1
4342,1
4343,1
4344,1
4371,1
4373,1
4483,1
4484,1
4494,1
21502,1
23310,1
29603,1
39857,1
40331,1
167,3
770,3
777,3
778,3
1021,3
1022,3
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,3
1034,3
1035,3
1036,3
1037,3
1038,3
1039,3
1040,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,3
1066,3
1067,3
1068,3
1069,3
1070,3
1091,3
1092,3
1151,3
1152,3
1154,3
1155,3
1156,3
1157,3
1158,3
1159,3
1160,3
1161,3
1162,3
1163,3
1164,3
1166,3
1167,3
1168,3
1169,3
1170,3
1171,3
1172,3
1173,3
1174,3
1175,3
1176,3
1177,3
1178,3
1179,3
1180,3
1181,3
1182,3
1183,3
1184,3
1185,3
1186,3
1187,3
1188,3
1189,3
1190,3
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1204,3
1205,3
1206,3
1207,3
1208,3
1209,3
1210,3
1211,3
1212,3
1213,3
1214,3
1216,3
1217,3
1218,3
1219,3
1220,3
1221,3
1222,3
1223,3
1224,3
1225,3
1226,3
1227,3
1228,3
1229,3
1230,3
1231,3
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1240,3
1241,3
1242,3
1244,3
1245,3
1246,3
1247,3
1248,3
1249,3
1250,3
1251,3
1252,3
1253,3
1254,3
1256,3
1257,3
1258,3
1262,3
1267,3
1268,3
1269,3
1270,3
1271,3
1272,3
1273,3
1274,3
1278,3
1279,3
1291,3
1293,3
1295,3
1297,3
1299,3
1300,3
1302,3
1304,3
1306,3
1307,3
1308,3
1309,3
1310,3
1311,3
1312,3
1315,3
1316,3
1317,3
1319,3
1320,3
1322,3
1323,3
1325,3
1326,3
1330,3
1331,3
1332,3
1333,3
1334,3
1335,3
1336,3
1337,3
1338,3
1339,3
1340,3
1341,3
1342,3
1343,3
1344,3
1345,3
1346,3
1347,3
1348,3
1350,3
1351,3
1353,3
1354,3
1355,3
1356,3
1357,3
1358,3
1359,3
1361,3
1362,3
1363,3
1366,3
1367,3
1370,3
1371,3
1372,3
1373,3
1374,3
1375,3
1376,3
1377,3
1378,3
1379,3
1380,3
1381,3
1382,3
1383,3
1384,3
1385,3
1386,3
1387,3
1388,3
1389,3
1390,3
1391,3
1392,3
1393,3
1394,3
1395,3
1397,3
1398,3
1399,3
1400,3
1401,3
1402,3
1403,3
1404,3
1405,3
1406,3
1407,3
1408,3
1409,3
1410,3
1411,3
1412,3
1413,3
1417,3
1418,3
1419,3
1420,3
1421,3
1423,3
1428,3
1431,3
1434,3
1436,3
1437,3
1438,3
1440,3
1441,3
1442,3
1443,3
1444,3
1446,3
1447,3
1450,3
1452,3
1453,3
1454,3
1456,3
1480,3
1481,3
1482,3
1483,3
1484,3
1485,3
1486,3
1487,3
1488,3
1489,3
1491,3
1492,3
1493,3
1494,3
1496,3
1497,3
1498,3
1499,3
1500,3
1502,3
1503,3
1504,3
1505,3
1508,3
1509,3
1510,3
1511,3
1512,3
1514,3
1515,3
1516,3
1517,3
1518,3
1519,3
1521,3
1522,3
1523,3
1524,3
1525,3
1526,3
1527,3
1540,3
1545,3
1546,3
1547,3
1548,3
1549,3
1550,3
1551,3
1552,3
1553,3
1554,3
1555,3
1556,3
1557,3
1558,3
1559,3
1560,3
1561,3
1562,3
1563,3
1564,3
1565,3
1566,3
1567,3
1568,3
1569,3
1570,3
1571,3
1572,3
1573,3
1574,3
1575,3
1576,3
1577,3
1578,3
1579,3
1580,3
1581,3
1582,3
1583,3
1584,3
1585,3
1586,3
1587,3
1588,3
1589,3
1590,3
1591,3
1592,3
1593,3
1594,3
1595,3
1596,3
1597,3
1598,3
1599,3
1600,3
1607,3
1609,3
1610,3
1611,3
1612,3
1613,3
1614,3
1615,3
1616,3
1617,3
1618,3
1619,3
1620,3
1621,3
1622,3
1623,3
1624,3
1626,3
1627,3
1628,3
1629,3
1630,3
1631,3
1632,3
1633,3
1634,3
1635,3
1636,3
1637,3
1638,3
1640,3
1641,3
1644,3
1645,3
1646,3
1647,3
1648,3
1649,3
1650,3
1651,3
1652,3
1653,3
1654,3
1655,3
1656,3
1657,3
1659,3
1661,3
1666,3
1667,3
1668,3
1669,3
1670,3
1671,3
1672,3
1673,3
1674,3
1675,3
1677,3
1678,3
1679,3
1680,3
1681,3
1682,3
1683,3
1684,3
1685,3
1686,3
1687,3
1688,3
1689,3
1690,3
1691,3
1692,3
1693,3
1694,3
1695,3
1696,3
1697,3
1699,3
1708,3
1710,3
1712,3
1713,3
1714,3
1715,3
1716,3
1717,3
1718,3
1719,3
1720,3
1721,3
1722,3
1723,3
1724,3
1725,3
1726,3
1727,3
1728,3
1729,3
1730,3
1731,3
1732,3
1733,3
1735,3
1736,3
1737,3
1738,3
1739,3
1740,3
1741,3
1742,3
1743,3
1744,3
1745,3
1746,3
1747,3
1748,3
1749,3
1750,3
1751,3
1752,3
1760,3
1770,3
1771,3
1772,3
1773,3
1774,3
1775,3
1776,3
1777,3
1778,3
1779,3
1780,3
1781,3
1782,3
1783,3
1784,3
1785,3
1786,3
1800,3
1801,3
1802,3
1803,3
1804,3
1805,3
1806,3
1807,3
1808,3
1809,3
1810,3
1811,3
1812,3
1813,3
1814,3
1815,3
1816,3
1817,3
1818,3
1819,3
1820,3
1821,3
1822,3
1823,3
1824,3
1825,3
1826,3
1827,3
1828,3
1829,3
1830,3
1831,3
1833,3
1834,3
1838,3
1839,3
1840,3
1851,3
1858,3
1860,3
1861,3
1862,3
1863,3
1864,3
1865,3
1866,3
1868,3
1869,3
1871,3
1872,3
1873,3
1874,3
1875,3
1876,3
1877,3
1878,3
1879,3
1880,3
1881,3
1882,3
1883,3
1884,3
1885,3
1886,3
1887,3
1888,3
1889,3
1890,3
1891,3
1892,3
1893,3
1894,3
1895,3
1896,3
1897,3
1898,3
1899,3
1921,3
1922,3
1923,3
1924,3
1926,3
1927,3
1928,3
1930,3
1935,3
1941,3
1943,3
1945,3
1947,3
1950,3
1951,3
1952,3
1953,3
1954,3
1955,3
1958,3
1960,3
1961,3
1962,3
1963,3
1964,3
1966,3
1967,3
1969,3
1970,3
1971,3
1972,3
1973,3
1974,3
1978,3
1979,3
1980,3
1981,3
1982,3
1983,3
1984,3
1985,3
1986,3
1987,3
1989,3
1990,3
1991,3
1992,3
1993,3
1994,3
1995,3
1996,3
1997,3
1998,3
1999,3
2000,3
2001,3
2002,3
2003,3
2004,3
2005,3
2006,3
2007,3
2008,3
2009,3
2010,3
2011,3
2012,3
2013,3
2014,3
2015,3
2016,3
2017,3
2018,3
2019,3
2020,3
2021,3
2022,3
2023,3
2024,3
2025,3
2026,3
2028,3
2029,3
2030,3
2031,3
2032,3
2033,3
2035,3
2036,3
2037,3
2038,3
2039,3
2046,3
2048,3
2049,3
2056,3
2058,3
2070,3
2071,3
2072,3
2073,3
2074,3
2075,3
2076,3
2077,3
2078,3
2081,3
2082,3
2083,3
2084,3
2085,3
2086,3
2087,3
2088,3
2089,3
2090,3
2091,3
2092,3
2093,3
2094,3
2095,3
2096,3
2097,3
2098,3
2099,3
2100,3
2101,3
2102,3
2103,3
2104,3
2105,3
2106,3
2107,3
2108,3
2109,3
2110,3
2111,3
2112,3
2113,3
2114,3
2115,3
2116,3
2117,3
2119,3
2120,3
2121,3
2122,3
2123,3
2124,3
2125,3
2126,3
2127,3
2128,3
2129,3
2130,3
2131,3
2132,3
2133,3
2134,3
2135,3
2136,3
2137,3
2138,3
2141,3
2142,3
2143,3
2144,3
2145,3
2147,3
2148,3
2149,3
2151,3
2153,3
2154,3
2155,3
2157,3
2158,3
2159,3
2161,3
2163,3
2164,3
2165,3
2167,3
2168,3
2169,3
2170,3
2173,3
2174,3
2191,3
2192,3
2193,3
