****   8.3288  90 ITAPEBI      :>: H: 154                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1      93      48      98     127       0       0      31       0       0      34      94     125
2025   2      35      66      43      49      27       4      12      12       5      31      99     128
2025   3      10      25       7      16       0       0       0       0       0       1      16      69
2025   4       3       7       0       4       0       0       0       0       0       0      43      47
2026   1      93      48      98     127       0       0      31       0       0      34      94     125
2026   2      35      66      43      49      27       4      12      12       5      31      99     128
2026   3      10      25       7      16       0       0       0       0       0       1      16      69
2026   4       3       7       0       4       0       0       0       0       0       0      43      47
2027   1      93      48      98     127       0       0      31       0       0      34      94     125
2027   2      35      66      43      49      27       4      12      12       5      31      99     128
2027   3      10      25       7      16       0       0       0       0       0       1      16      69
2027   4       3       7       0       4       0       0       0       0       0       0      43      47
2028   1      93      48      98     127       0       0      31       0       0      34      94     125
2028   2      35      66      43      49      27       4      12      12       5      31      99     128
2028   3      10      25       7      16       0       0       0       0       0       1      16      69
2028   4       3       7       0       4       0       0       0       0       0       0      43      47
2029   1      93      48      98     127       0       0      31       0       0      34      94     125
2029   2      35      66      43      49      27       4      12      12       5      31      99     128
2029   3      10      25       7      16       0       0       0       0       0       1      16      69
2029   4       3       7       0       4       0       0       0       0       0       0      43      47
2030   1      93      48      98     127       0       0      31       0       0      34      94     125
2030   2      35      66      43      49      27       4      12      12       5      31      99     128
2030   3      10      25       7      16       0       0       0       0       0       1      16      69
2030   4       3       7       0       4       0       0       0       0       0       0      43      47
2031   1      93      48      98     127       0       0      31       0       0      34      94     125
2031   2      35      66      43      49      27       4      12      12       5      31      99     128
2031   3      10      25       7      16       0       0       0       0       0       1      16      69
2031   4       3       7       0       4       0       0       0       0       0       0      43      47
2032   1      93      48      98     127       0       0      31       0       0      34      94     125
2032   2      35      66      43      49      27       4      12      12       5      31      99     128
2032   3      10      25       7      16       0       0       0       0       0       1      16      69
2032   4       3       7       0       4       0       0       0       0       0       0      43      47
2033   1      93      48      98     127       0       0      31       0       0      34      94     125
2033   2      35      66      43      49      27       4      12      12       5      31      99     128
2033   3      10      25       7      16       0       0       0       0       0       1      16      69
2033   4       3       7       0       4       0       0       0       0       0       0      43      47
2034   1      93      48      98     127       0       0      31       0       0      34      94     125
2034   2      35      66      43      49      27       4      12      12       5      31      99     128
2034   3      10      25       7      16       0       0       0       0       0       1      16      69
2034   4       3       7       0       4       0       0       0       0       0       0      43      47
2035   1      93      48      98     127       0       0      31       0       0      34      94     125
2035   2      35      66      43      49      27       4      12      12       5      31      99     128
2035   3      10      25       7      16       0       0       0       0       0       1      16      69
2035   4       3       7       0       4       0       0       0       0       0       0      43      47
2036   1      93      48      98     127       0       0      31       0       0      34      94     125
2036   2      35      66      43      49      27       4      12      12       5      31      99     128
2036   3      10      25       7      16       0       0       0       0       0       1      16      69
2036   4       3       7       0       4       0       0       0       0       0       0      43      47
2037   1      93      48      98     127       0       0      31       0       0      34      94     125
2037   2      35      66      43      49      27       4      12      12       5      31      99     128
2037   3      10      25       7      16       0       0       0       0       0       1      16      69
2037   4       3       7       0       4       0       0       0       0       0       0      43      47
2038   1      93      48      98     127       0       0      31       0       0      34      94     125
2038   2      35      66      43      49      27       4      12      12       5      31      99     128
2038   3      10      25       7      16       0       0       0       0       0       1      16      69
2038   4       3       7       0       4       0       0       0       0       0       0      43      47
2039   1      93      48      98     127       0       0      31       0       0      34      94     125
2039   2      35      66      43      49      27       4      12      12       5      31      99     128
2039   3      10      25       7      16       0       0       0       0       0       1      16      69
2039   4       3       7       0       4       0       0       0       0       0       0      43      47
****   8.3288  91 SOBRADINHO   :>: H: 169                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     220     163     161     161     215     149     156     150     156     156     153     157
