****   8.3288   1 CAMARGOS     :>: H:   1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1      20      19      13      12      13       9       9       9       9      10       9      11
2025   2      19      18      14      12      10       9       9       9       8      18      24      15
2025   3      18      18      14      12      12      10       9       9       9      16      26      14
2025   4      15      18      16      15      13       9       9      10       9      18      26      13
2026   1      20      19      13      12      13       9       9       9       9      10       9      11
2026   2      19      18      14      12      10       9       9       9       8      18      24      15
2026   3      18      18      14      12      12      10       9       9       9      16      26      14
2026   4      15      18      16      15      13       9       9      10       9      18      26      13
2027   1      20      19      13      12      13       9       9       9       9      10       9      11
2027   2      19      18      14      12      10       9       9       9       8      18      24      15
2027   3      18      18      14      12      12      10       9       9       9      16      26      14
2027   4      15      18      16      15      13       9       9      10       9      18      26      13
2028   1      20      19      13      12      13       9       9       9       9      10       9      11
2028   2      19      18      14      12      10       9       9       9       8      18      24      15
2028   3      18      18      14      12      12      10       9       9       9      16      26      14
2028   4      15      18      16      15      13       9       9      10       9      18      26      13
2029   1      20      19      13      12      13       9       9       9       9      10       9      11
2029   2      19      18      14      12      10       9       9       9       8      18      24      15
2029   3      18      18      14      12      12      10       9       9       9      16      26      14
2029   4      15      18      16      15      13       9       9      10       9      18      26      13
2030   1      20      19      13      12      13       9       9       9       9      10       9      11
2030   2      19      18      14      12      10       9       9       9       8      18      24      15
2030   3      18      18      14      12      12      10       9       9       9      16      26      14
2030   4      15      18      16      15      13       9       9      10       9      18      26      13
2031   1      20      19      13      12      13       9       9       9       9      10       9      11
2031   2      19      18      14      12      10       9       9       9       8      18      24      15
2031   3      18      18      14      12      12      10       9       9       9      16      26      14
2031   4      15      18      16      15      13       9       9      10       9      18      26      13
2032   1      20      19      13      12      13       9       9       9       9      10       9      11
2032   2      19      18      14      12      10       9       9       9       8      18      24      15
2032   3      18      18      14      12      12      10       9       9       9      16      26      14
2032   4      15      18      16      15      13       9       9      10       9      18      26      13
2033   1      20      19      13      12      13       9       9       9       9      10       9      11
2033   2      19      18      14      12      10       9       9       9       8      18      24      15
2033   3      18      18      14      12      12      10       9       9       9      16      26      14
2033   4      15      18      16      15      13       9       9      10       9      18      26      13
2034   1      20      19      13      12      13       9       9       9       9      10       9      11
2034   2      19      18      14      12      10       9       9       9       8      18      24      15
2034   3      18      18      14      12      12      10       9       9       9      16      26      14
2034   4      15      18      16      15      13       9       9      10       9      18      26      13
2035   1      20      19      13      12      13       9       9       9       9      10       9      11
2035   2      19      18      14      12      10       9       9       9       8      18      24      15
2035   3      18      18      14      12      12      10       9       9       9      16      26      14
2035   4      15      18      16      15      13       9       9      10       9      18      26      13
2036   1      20      19      13      12      13       9       9       9       9      10       9      11
2036   2      19      18      14      12      10       9       9       9       8      18      24      15
2036   3      18      18      14      12      12      10       9       9       9      16      26      14
2036   4      15      18      16      15      13       9       9      10       9      18      26      13
2037   1      20      19      13      12      13       9       9       9       9      10       9      11
2037   2      19      18      14      12      10       9       9       9       8      18      24      15
2037   3      18      18      14      12      12      10       9       9       9      16      26      14
2037   4      15      18      16      15      13       9       9      10       9      18      26      13
2038   1      20      19      13      12      13       9       9       9       9      10       9      11
2038   2      19      18      14      12      10       9       9       9       8      18      24      15
2038   3      18      18      14      12      12      10       9       9       9      16      26      14
2038   4      15      18      16      15      13       9       9      10       9      18      26      13
2039   1      20      19      13      12      13       9       9       9       9      10       9      11
2039   2      19      18      14      12      10       9       9       9       8      18      24      15
2039   3      18      18      14      12      12      10       9       9       9      16      26      14
2039   4      15      18      16      15      13       9       9      10       9      18      26      13
****   8.3288   2 ITUTINGA     :>: H:   2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1      26      22      14      13      14      11       9      10      11      14       9      16
2025   2      24      22      15      13      11      11      10      10      10      20      33      20
2025   3      23      22      16      13      12      11      10      10      10      18      34      19
2025   4      19      21      18      16      14      11      11      11      10      20      34      17
2026   1      26      22      14      13      14      11       9      10      11      14       9      16
2026   2      24      22      15      13      11      11      10      10      10      20      33      20
2026   3      23      22      16      13      12      11      10      10      10      18      34      19
2026   4      19      21      18      16      14      11      11      11      10      20      34      17
2027   1      26      22      14      13      14      11       9      10      11      14       9      16
2027   2      24      22      15      13      11      11      10      10      10      20      33      20
2027   3      23      22      16      13      12      11      10      10      10      18      34      19
2027   4      19      21      18      16      14      11      11      11      10      20      34      17
2028   1      26      22      14      13      14      11       9      10      11      14       9      16
2028   2      24      22      15      13      11      11      10      10      10      20      33      20
2028   3      23      22      16      13      12      11      10      10      10      18      34      19
2028   4      19      21      18      16      14      11      11      11      10      20      34      17
2029   1      26      22      14      13      14      11       9      10      11      14       9      16
2029   2      24      22      15      13      11      11      10      10      10      20      33      20
2029   3      23      22      16      13      12      11      10      10      10      18      34      19
2029   4      19      21      18      16      14      11      11      11      10      20      34      17
2030   1      26      22      14      13      14      11       9      10      11      14       9      16
2030   2      24      22      15      13      11      11      10      10      10      20      33      20
2030   3      23      22      16      13      12      11      10      10      10      18      34      19
2030   4      19      21      18      16      14      11      11      11      10      20      34      17
2031   1      26      22      14      13      14      11       9      10      11      14       9      16
2031   2      24      22      15      13      11      11      10      10      10      20      33      20
2031   3      23      22      16      13      12      11      10      10      10      18      34      19
2031   4      19      21      18      16      14      11      11      11      10      20      34      17
2032   1      26      22      14      13      14      11       9      10      11      14       9      16
2032   2      24      22      15      13      11      11      10      10      10      20      33      20
2032   3      23      22      16      13      12      11      10      10      10      18      34      19
2032   4      19      21      18      16      14      11      11      11      10      20      34      17
2033   1      26      22      14      13      14      11       9      10      11      14       9      16
2033   2      24      22      15      13      11      11      10      10      10      20      33      20
2033   3      23      22      16      13      12      11      10      10      10      18      34      19
2033   4      19      21      18      16      14      11      11      11      10      20      34      17
2034   1      26      22      14      13      14      11       9      10      11      14       9      16
2034   2      24      22      15      13      11      11      10      10      10      20      33      20
2034   3      23      22      16      13      12      11      10      10      10      18      34      19
2034   4      19      21      18      16      14      11      11      11      10      20      34      17
2035   1      26      22      14      13      14      11       9      10      11      14       9      16
2035   2      24      22      15      13      11      11      10      10      10      20      33      20
2035   3      23      22      16      13      12      11      10      10      10      18      34      19
2035   4      19      21      18      16      14      11      11      11      10      20      34      17
2036   1      26      22      14      13      14      11       9      10      11      14       9      16
2036   2      24      22      15      13      11      11      10      10      10      20      33      20
2036   3      23      22      16      13      12      11      10      10      10      18      34      19
