****   8.3288  67 MAUA         :>: H:  57                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     188      63      63      35      18      79     124     111      76     100      78     140
2025   2     241      62      61      32       5      10      73      78      80      73      72     194
2025   3     123      64      62      21       0       0      48      72      73      65      62      74
2025   4      76      62      61       0       0       0      48      73      74      61      61      59
2026   1     188      63      63      35      18      79     124     111      76     100      78     140
2026   2     241      62      61      32       5      10      73      78      80      73      72     194
2026   3     123      64      62      21       0       0      48      72      73      65      62      74
2026   4      76      62      61       0       0       0      48      73      74      61      61      59
2027   1     188      63      63      35      18      79     124     111      76     100      78     140
2027   2     241      62      61      32       5      10      73      78      80      73      72     194
2027   3     123      64      62      21       0       0      48      72      73      65      62      74
2027   4      76      62      61       0       0       0      48      73      74      61      61      59
2028   1     188      63      63      35      18      79     124     111      76     100      78     140
2028   2     241      62      61      32       5      10      73      78      80      73      72     194
2028   3     123      64      62      21       0       0      48      72      73      65      62      74
2028   4      76      62      61       0       0       0      48      73      74      61      61      59
2029   1     188      63      63      35      18      79     124     111      76     100      78     140
2029   2     241      62      61      32       5      10      73      78      80      73      72     194
2029   3     123      64      62      21       0       0      48      72      73      65      62      74
2029   4      76      62      61       0       0       0      48      73      74      61      61      59
2030   1     188      63      63      35      18      79     124     111      76     100      78     140
2030   2     241      62      61      32       5      10      73      78      80      73      72     194
2030   3     123      64      62      21       0       0      48      72      73      65      62      74
2030   4      76      62      61       0       0       0      48      73      74      61      61      59
2031   1     188      63      63      35      18      79     124     111      76     100      78     140
2031   2     241      62      61      32       5      10      73      78      80      73      72     194
2031   3     123      64      62      21       0       0      48      72      73      65      62      74
2031   4      76      62      61       0       0       0      48      73      74      61      61      59
2032   1     188      63      63      35      18      79     124     111      76     100      78     140
2032   2     241      62      61      32       5      10      73      78      80      73      72     194
2032   3     123      64      62      21       0       0      48      72      73      65      62      74
2032   4      76      62      61       0       0       0      48      73      74      61      61      59
2033   1     188      63      63      35      18      79     124     111      76     100      78     140
2033   2     241      62      61      32       5      10      73      78      80      73      72     194
2033   3     123      64      62      21       0       0      48      72      73      65      62      74
2033   4      76      62      61       0       0       0      48      73      74      61      61      59
2034   1     188      63      63      35      18      79     124     111      76     100      78     140
2034   2     241      62      61      32       5      10      73      78      80      73      72     194
2034   3     123      64      62      21       0       0      48      72      73      65      62      74
2034   4      76      62      61       0       0       0      48      73      74      61      61      59
2035   1     188      63      63      35      18      79     124     111      76     100      78     140
2035   2     241      62      61      32       5      10      73      78      80      73      72     194
2035   3     123      64      62      21       0       0      48      72      73      65      62      74
2035   4      76      62      61       0       0       0      48      73      74      61      61      59
2036   1     188      63      63      35      18      79     124     111      76     100      78     140
2036   2     241      62      61      32       5      10      73      78      80      73      72     194
2036   3     123      64      62      21       0       0      48      72      73      65      62      74
2036   4      76      62      61       0       0       0      48      73      74      61      61      59
2037   1     188      63      63      35      18      79     124     111      76     100      78     140
2037   2     241      62      61      32       5      10      73      78      80      73      72     194
2037   3     123      64      62      21       0       0      48      72      73      65      62      74
2037   4      76      62      61       0       0       0      48      73      74      61      61      59
2038   1     188      63      63      35      18      79     124     111      76     100      78     140
