****   8.3288 103 SINOP        :>: H: 227                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1       0       0       0     167     165       0       0       0       1       0       0       0
2025   2      61       0     119     174     164       0       0       0       0       0       0       0
2025   3      29       0      67     173     156       0       0       0       0       0       0       0
2025   4       2      26      15     114     152     146       0       0       0       0       0       0
2026   1       0       0       0     167     165       0       0       0       1       0       0       0
2026   2      61       0     119     174     164       0       0       0       0       0       0       0
2026   3      29       0      67     173     156       0       0       0       0       0       0       0
2026   4       2      26      15     114     152     146       0       0       0       0       0       0
2027   1       0       0       0     167     165       0       0       0       1       0       0       0
2027   2      61       0     119     174     164       0       0       0       0       0       0       0
2027   3      29       0      67     173     156       0       0       0       0       0       0       0
2027   4       2      26      15     114     152     146       0       0       0       0       0       0
2028   1       0       0       0     167     165       0       0       0       1       0       0       0
2028   2      61       0     119     174     164       0       0       0       0       0       0       0
2028   3      29       0      67     173     156       0       0       0       0       0       0       0
2028   4       2      26      15     114     152     146       0       0       0       0       0       0
2029   1       0       0       0     167     165       0       0       0       1       0       0       0
2029   2      61       0     119     174     164       0       0       0       0       0       0       0
2029   3      29       0      67     173     156       0       0       0       0       0       0       0
2029   4       2      26      15     114     152     146       0       0       0       0       0       0
2030   1       0       0       0     167     165       0       0       0       1       0       0       0
2030   2      61       0     119     174     164       0       0       0       0       0       0       0
2030   3      29       0      67     173     156       0       0       0       0       0       0       0
2030   4       2      26      15     114     152     146       0       0       0       0       0       0
2031   1       0       0       0     167     165       0       0       0       1       0       0       0
2031   2      61       0     119     174     164       0       0       0       0       0       0       0
2031   3      29       0      67     173     156       0       0       0       0       0       0       0
2031   4       2      26      15     114     152     146       0       0       0       0       0       0
2032   1       0       0       0     167     165       0       0       0       1       0       0       0
2032   2      61       0     119     174     164       0       0       0       0       0       0       0
2032   3      29       0      67     173     156       0       0       0       0       0       0       0
2032   4       2      26      15     114     152     146       0       0       0       0       0       0
2033   1       0       0       0     167     165       0       0       0       1       0       0       0
2033   2      61       0     119     174     164       0       0       0       0       0       0       0
2033   3      29       0      67     173     156       0       0       0       0       0       0       0
2033   4       2      26      15     114     152     146       0       0       0       0       0       0
2034   1       0       0       0     167     165       0       0       0       1       0       0       0
2034   2      61       0     119     174     164       0       0       0       0       0       0       0
2034   3      29       0      67     173     156       0       0       0       0       0       0       0
2034   4       2      26      15     114     152     146       0       0       0       0       0       0
2035   1       0       0       0     167     165       0       0       0       1       0       0       0
2035   2      61       0     119     174     164       0       0       0       0       0       0       0
2035   3      29       0      67     173     156       0       0       0       0       0       0       0
2035   4       2      26      15     114     152     146       0       0       0       0       0       0
2036   1       0       0       0     167     165       0       0       0       1       0       0       0
2036   2      61       0     119     174     164       0       0       0       0       0       0       0
2036   3      29       0      67     173     156       0       0       0       0       0       0       0
2036   4       2      26      15     114     152     146       0       0       0       0       0       0
2037   1       0       0       0     167     165       0       0       0       1       0       0       0
2037   2      61       0     119     174     164       0       0       0       0       0       0       0
2037   3      29       0      67     173     156       0       0       0       0       0       0       0
2037   4       2      26      15     114     152     146       0       0       0       0       0       0
2038   1       0       0       0     167     165       0       0       0       1       0       0       0
2038   2      61       0     119     174     164       0       0       0       0       0       0       0
2038   3      29       0      67     173     156       0       0       0       0       0       0       0
2038   4       2      26      15     114     152     146       0       0       0       0       0       0
2039   1       0       0       0     167     165       0       0       0       1       0       0       0
2039   2      61       0     119     174     164       0       0       0       0       0       0       0
2039   3      29       0      67     173     156       0       0       0       0       0       0       0
2039   4       2      26      15     114     152     146       0       0       0       0       0       0
****   8.3288 104 COLIDER      :>: H: 228                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     100       0      32     116     158     110       0      53      66      61      71     128
2025   2     125       4      91      73      51     102       0      61      60      66      75      68
2025   3     113       9     121      99      78     141     101      59      61      64      71      74
2025   4      95      11      86      80     119     149     106      60      67      65      67      77
2026   1     100       0      32     116     158     110       0      53      66      61      71     128
2026   2     125       4      91      73      51     102       0      61      60      66      75      68
2026   3     113       9     121      99      78     141     101      59      61      64      71      74
2026   4      95      11      86      80     119     149     106      60      67      65      67      77
2027   1     100       0      32     116     158     110       0      53      66      61      71     128
2027   2     125       4      91      73      51     102       0      61      60      66      75      68
2027   3     113       9     121      99      78     141     101      59      61      64      71      74
2027   4      95      11      86      80     119     149     106      60      67      65      67      77
2028   1     100       0      32     116     158     110       0      53      66      61      71     128
2028   2     125       4      91      73      51     102       0      61      60      66      75      68
2028   3     113       9     121      99      78     141     101      59      61      64      71      74
2028   4      95      11      86      80     119     149     106      60      67      65      67      77
2029   1     100       0      32     116     158     110       0      53      66      61      71     128
2029   2     125       4      91      73      51     102       0      61      60      66      75      68
2029   3     113       9     121      99      78     141     101      59      61      64      71      74
2029   4      95      11      86      80     119     149     106      60      67      65      67      77
2030   1     100       0      32     116     158     110       0      53      66      61      71     128
2030   2     125       4      91      73      51     102       0      61      60      66      75      68
2030   3     113       9     121      99      78     141     101      59      61      64      71      74
2030   4      95      11      86      80     119     149     106      60      67      65      67      77
2031   1     100       0      32     116     158     110       0      53      66      61      71     128
2031   2     125       4      91      73      51     102       0      61      60      66      75      68
2031   3     113       9     121      99      78     141     101      59      61      64      71      74
2031   4      95      11      86      80     119     149     106      60      67      65      67      77
2032   1     100       0      32     116     158     110       0      53      66      61      71     128
2032   2     125       4      91      73      51     102       0      61      60      66      75      68
2032   3     113       9     121      99      78     141     101      59      61      64      71      74
2032   4      95      11      86      80     119     149     106      60      67      65      67      77
2033   1     100       0      32     116     158     110       0      53      66      61      71     128
2033   2     125       4      91      73      51     102       0      61      60      66      75      68
2033   3     113       9     121      99      78     141     101      59      61      64      71      74
2033   4      95      11      86      80     119     149     106      60      67      65      67      77
2034   1     100       0      32     116     158     110       0      53      66      61      71     128
2034   2     125       4      91      73      51     102       0      61      60      66      75      68
2034   3     113       9     121      99      78     141     101      59      61      64      71      74
2034   4      95      11      86      80     119     149     106      60      67      65      67      77
2035   1     100       0      32     116     158     110       0      53      66      61      71     128
2035   2     125       4      91      73      51     102       0      61      60      66      75      68
2035   3     113       9     121      99      78     141     101      59      61      64      71      74
2035   4      95      11      86      80     119     149     106      60      67      65      67      77
2036   1     100       0      32     116     158     110       0      53      66      61      71     128
2036   2     125       4      91      73      51     102       0      61      60      66      75      68
2036   3     113       9     121      99      78     141     101      59      61      64      71      74
2036   4      95      11      86      80     119     149     106      60      67      65      67      77
2037   1     100       0      32     116     158     110       0      53      66      61      71     128
2037   2     125       4      91      73      51     102       0      61      60      66      75      68
2037   3     113       9     121      99      78     141     101      59      61      64      71      74
2037   4      95      11      86      80     119     149     106      60      67      65      67      77
2038   1     100       0      32     116     158     110       0      53      66      61      71     128
2038   2     125       4      91      73      51     102       0      61      60      66      75      68
2038   3     113       9     121      99      78     141     101      59      61      64      71      74
2038   4      95      11      86      80     119     149     106      60      67      65      67      77
2039   1     100       0      32     116     158     110       0      53      66      61      71     128
2039   2     125       4      91      73      51     102       0      61      60      66      75      68
2039   3     113       9     121      99      78     141     101      59      61      64      71      74
2039   4      95      11      86      80     119     149     106      60      67      65      67      77
****   8.3288 105 TELES PIRES  :>: H: 229                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1    1022    1505    1799    1301    1029     441     374     133     185     221     303     342
2025   2     853    1064    1679    1081     969     488     373     136     136     182     252     276
2025   3     843    1015    1327    1064     938     515     373     145      98     188     258     286
2025   4     759     802     768     903     678     452     368     130      34     188     254     295
