NUM: 204 CACH CALDEIR          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.11  0.11  0.11  0.11   0.1
2026   0.1   0.1   0.1   0.1   0.1   0.1   0.1  0.11  0.11  0.11  0.11  0.11
2027  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11
2028  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.12  0.12  0.11  0.11
2029  0.11  0.11  0.11  0.11  0.11  0.11  0.11  0.12  0.12  0.12  0.12  0.11
2030  0.11  0.11  0.11  0.11  0.11  0.11  0.12  0.12  0.12  0.12  0.12  0.12
2031  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12
2032  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.13  0.13  0.13  0.12
2033  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.13  0.13  0.13  0.13  0.13
2034  0.12  0.12  0.12  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.13
2035  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.14  0.14  0.13  0.13
2036  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.14  0.14  0.14  0.14  0.13
2037  0.13  0.13  0.13  0.13  0.13  0.13  0.13  0.14  0.14  0.14  0.14  0.14
2038  0.13  0.13  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14
2039  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.14  0.15  0.15  0.14  0.14
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 277 BALBINA               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.06  0.07  0.06  0.05  0.03
2026  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.06  0.07  0.06  0.05  0.03
2027  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.06  0.07  0.07  0.05  0.03
2028  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.06  0.07  0.07  0.05  0.04
2029  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.07  0.07  0.07  0.05  0.04
2030  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.07  0.07  0.07  0.05  0.04
2031  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.07  0.08  0.07  0.06  0.04
2032  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.07  0.08  0.07  0.06  0.04
2033  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.07  0.08  0.08  0.06  0.04
2034  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.07  0.08  0.08  0.06  0.04
2035  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.08  0.08  0.08  0.06  0.04
2036  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.08  0.09  0.08  0.06  0.04
2037  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.08  0.09  0.08  0.06  0.04
2038  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.08  0.09  0.08  0.06  0.04
2039  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.08  0.09  0.09  0.06  0.04
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 280 COARA NUNES           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2026  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2027  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2028  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2029  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2030  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2031  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2032  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2033  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2034  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2035  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2036  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2037  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2038  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2039  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 284 FERREIRA GOM          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 286 STO ANT JARI          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.03 45.03 45.02 45.01
2026 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.03 45.03 45.03 45.01
2027 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.03 45.03 45.03 45.01
2028 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.03 45.04 45.03 45.01
2029 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.04 45.04 45.03 45.01
2030 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.02 45.04 45.04 45.03 45.01
2031 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2032 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2033 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2034 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2035 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2036 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2037 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2038 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2039 45.01 45.01 45.01 45.01 45.01 45.01 45.01 45.03 45.04 45.04 45.03 45.01
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 339 BEM QUERER            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  7.73  8.16  7.09  4.44   1.2  0.89  0.89  1.12  4.62  6.78  7.75  7.43
2026  7.71  8.17  7.14  4.41   1.2  0.91  0.91  1.14  4.72  6.82  7.69  7.36
2027  7.69  8.18  7.18  4.38   1.2  0.92  0.92  1.16  4.82  6.86  7.59  7.28
2028  7.64  7.87  7.23  4.36  1.21  0.94  0.94  1.18  4.94  6.91  7.58  7.23
2029  7.64  8.19  7.28  4.34  1.21  0.95  0.95   1.2  5.04  6.96  7.52  7.16
2030  7.61   8.2  7.32  4.31  1.21  0.96  0.97  1.22  5.15     7  7.47   7.1
2031  7.58   8.2  7.35  4.27  1.21  0.98  0.98  1.24  5.23  7.03  7.36  7.02
2032  7.53  7.89  7.39  4.25  1.21  0.99  0.99  1.26  5.33  7.06  7.34  6.96
2033  7.52   8.2  7.43  4.22  1.21     1     1  1.28  5.42  7.08  7.27  6.89
2034  7.48  8.19  7.47  4.19  1.21  1.02  1.02   1.3  5.51  7.11  7.21  6.82
2035  7.45  8.19  7.49  4.15  1.21  1.03  1.03  1.31  5.59  7.14  7.11  6.74
2036   7.4  7.89  7.54  4.13  1.21  1.04  1.04  1.33  5.69  7.17  7.07  6.68
2037  7.39  8.19  7.57   4.1  1.21  1.05  1.06  1.35  5.78  7.19  7.01  6.61
2038  7.35  8.18  7.61  4.07  1.21  1.07  1.07  1.37  5.87  7.22  6.94  6.54
2039  7.32  8.18  7.63  4.03  1.21  1.08  1.08  1.38  5.94  7.24  6.86  6.46
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 421 URUCUPATA             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
