NUM: 154 ITAPEBI               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  4.66  7.16  4.97  6.15  6.79  6.73  6.72  7.47  7.64  5.57  1.91  2.16
2026  4.76  7.35  5.09   6.3  6.96   6.9  6.89  7.65  7.83   5.7  1.93   2.2
2027  4.87  7.53   5.2  6.45  7.12  7.04  7.04  7.83  8.02  5.82  1.96  2.23
2028  4.94  7.45  5.32   6.6  7.31  7.23  7.22  8.03  8.22  5.97  1.99  2.26
2029  5.09  7.89  5.44  6.75  7.48   7.4  7.39  8.22  8.41   6.1  2.01  2.29
2030  5.19  8.07  5.56  6.91  7.65  7.57  7.56   8.4  8.58  6.22  2.04  2.33
2031   5.3  8.26  5.67  7.06  7.81  7.71  7.72  8.59  8.79  6.35  2.06  2.36
2032  5.37  8.15   5.8  7.22     8  7.92   7.9  8.79     9   6.5  2.09   2.4
2033  5.53  8.63  5.92  7.37  8.17  8.09  8.07  8.99   9.2  6.64  2.12  2.44
2034  5.64  8.82  6.04  7.53  8.35  8.26  8.25  9.18  9.39  6.78  2.15  2.47
2035  5.75  9.01  6.15  7.68  8.51   8.4   8.4  9.36  9.58   6.9  2.18   2.5
2036  5.81  8.87  6.28  7.84   8.7  8.61  8.59  9.57  9.79  7.05   2.2  2.54
2037  5.97  9.38   6.4     8  8.87  8.78  8.76  9.76  9.99  7.18  2.23  2.58
2038  6.08  9.57  6.52  8.15  9.05  8.95  8.93  9.95 10.18  7.32  2.26  2.61
2039  6.19  9.75  6.63   8.3  9.21  9.09  9.09 10.13 10.37  7.44  2.29  2.64
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 169 SOBRADINHO            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  75.8 106.1 72.64 164.6 264.4 275.6   268   253 211.1   143 34.38 28.84
2026 78.61 110.1 75.13 171.3 275.9 287.8 279.9   264 219.8 148.4 35.46 29.75
2027 81.42   114 77.47 177.8 286.9 299.2 290.9 274.2 227.8 153.5  36.4  30.4
2028 83.66   114  80.1 184.7 298.8 312.3 303.7   286   237 159.3 37.61 31.57
2029 87.06 121.9 82.59 191.4 310.3 324.5 315.6   297 245.7 164.7 38.69 32.49
2030 89.88 125.9 85.11 198.1 321.7 336.6 327.1 306.9 253.2 169.8 39.79 33.43
2031 92.68 129.8 87.52 204.1 331.2 346.1 336.6 316.5 261.1 174.6  40.8 34.11
2032 94.84 129.3 90.27 210.5 341.7 357.5 347.9 327.2 269.8 180.2 42.08 35.38
2033 98.31 137.8 92.86 216.7 351.6   368 358.3   337 277.8 185.4 43.23 36.36
2034 101.1 141.7 95.45 222.9 361.6 378.5 368.6 346.9 285.7 190.6 44.38 37.34
2035 103.9 145.6 97.86 228.9   371 387.9 377.9 355.7   293 195.3 45.38 37.99
2036   106 144.6 100.6 235.3 381.6 399.4 389.3 366.5 301.7 200.9 46.69  39.3
2037 109.6 153.5 103.2 241.5 391.5 409.9 399.7 376.4 309.7 206.1 47.84 40.27
2038 112.4 157.5 105.8 247.7 401.5 420.4 410.1 386.2 317.6 211.3    49 41.26
2039 115.2 161.4 108.2 253.7 410.9 429.7 419.1   395 324.8   216 49.99 41.87
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 172 ITAPARICA             Penal: 0          0
