NUM: 267 ESTREITO TOC          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  1.52  1.53  1.52  2.24  5.44  6.72  7.36  9.03  7.37  3.62   1.8   1.6
2026  1.55  1.55  1.54  2.29  5.75  7.15  7.73   9.4  7.62   3.7  1.83  1.62
2027  1.57  1.58  1.57  2.34  6.07  7.58  7.99  9.73  7.88  3.81  1.86  1.65
2028  1.59   1.6  1.59  2.39  6.39  8.01  8.48 10.14  8.15  3.86  1.89  1.67
2029  1.62  1.63  1.61  2.44  6.71  8.44  8.85 10.51  8.41  3.95  1.92   1.7
2030  1.64  1.65  1.64  2.49  7.03  8.87  9.18 10.64  8.48  4.03  1.95  1.72
2031  1.67  1.67  1.66  2.54  7.28  9.22  9.42 11.15  8.89  4.14  1.97  1.75
2032  1.69   1.7  1.68  2.58  7.53  9.57  9.86 11.52  9.13  4.18     2  1.78
2033  1.72  1.72  1.71  2.63  7.79  9.92 10.17 11.84  9.36  4.26  2.03   1.8
2034  1.74  1.75  1.73  2.67  8.04 10.27 10.49 12.16  9.58  4.34  2.06  1.83
2035  1.77  1.77  1.76  2.72  8.29 10.63 10.68 12.45   9.8  4.45  2.09  1.85
2036  1.79   1.8  1.78  2.77  8.55 10.98 11.13 12.81 10.04  4.49  2.12  1.88
2037  1.81  1.82  1.81  2.81   8.8 11.33 11.44 13.14 10.27  4.57  2.15  1.91
2038  1.84  1.85  1.83  2.86  9.06 11.68 11.76 13.46 10.49  4.65  2.18  1.93
2039  1.86  1.87  1.86   2.9  9.31 12.03 11.94 13.73 10.71  4.76  2.21  1.96
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 272 CURUA-UNA             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.18  0.18  0.18  0.18  0.18  0.23  0.24  0.26  0.28  0.27  0.24   0.2
2026  0.18  0.18  0.18  0.18  0.18  0.24  0.25  0.27  0.29  0.28  0.24   0.2
2027  0.19  0.19  0.19  0.19  0.19  0.24  0.25  0.27  0.29  0.28  0.25   0.2
2028  0.19  0.19  0.19  0.19  0.19  0.25  0.26  0.28   0.3  0.29  0.25  0.21
2029  0.19  0.19  0.19  0.19  0.19  0.25  0.26  0.28  0.31  0.29  0.26  0.21
2030   0.2   0.2   0.2   0.2   0.2  0.26  0.27  0.29  0.31   0.3  0.26  0.22
2031   0.2   0.2   0.2   0.2   0.2  0.26  0.27   0.3  0.32   0.3  0.27  0.22
2032   0.2   0.2   0.2   0.2   0.2  0.27  0.28   0.3  0.33  0.31  0.27  0.22
2033  0.21  0.21  0.21  0.21  0.21  0.27  0.28  0.31  0.33  0.32  0.28  0.23
2034  0.21  0.21  0.21  0.21  0.21  0.28  0.29  0.31  0.34  0.32  0.28  0.23
2035  0.21  0.21  0.21  0.21  0.21  0.28  0.29  0.32  0.34  0.33  0.29  0.23
2036  0.22  0.22  0.22  0.22  0.22  0.29   0.3  0.32  0.35  0.33  0.29  0.24
2037  0.22  0.22  0.22  0.22  0.22  0.29   0.3  0.33  0.36  0.34   0.3  0.24
2038  0.22  0.22  0.22  0.22  0.22   0.3  0.31  0.33  0.36  0.35   0.3  0.24
2039  0.22  0.23  0.23  0.23  0.23   0.3  0.31  0.34  0.37  0.35   0.3  0.25
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 275 TUCURUI               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 59.31 38.42 24.53 44.58 65.44 67.38 65.63 61.82 51.67 59.76 70.16 62.51
2026 60.73 39.29 25.05 46.05 67.74  69.7  67.9 64.01 53.25 61.33 71.84 63.96
2027 62.14 40.14 25.55 47.49 70.01 71.93 69.96 66.03 54.73 62.81 72.72 65.14
2028  63.3 40.41 26.06 48.98 72.33 74.33 72.42 68.36  56.4 64.46  75.2 66.87
2029 64.96 41.87 26.58 50.45 74.63 76.65 74.69 70.54 57.98 66.04 76.88 68.33
2030 66.38 42.74  27.1 51.93 76.94 78.99 76.97 72.63 59.41 67.64 78.57  69.8
2031  67.8 43.61 27.63 53.46 79.35 81.37 79.19 74.93 61.18 69.18 79.41 70.98
2032 68.97 43.85 28.16 55.03  81.8 83.91  81.8  77.4 62.93 70.87 81.98 72.74
2033 70.66 45.37 28.69 56.58 84.23 86.37 84.21 79.71 64.59 72.48 83.68 74.22
2034 72.09 46.25 29.22 58.13 86.66 88.83 86.62 82.03 66.25  74.1 85.38 75.69
2035 73.52 47.13 29.75 59.65 89.07 91.19 88.79 84.16 67.79 75.61 86.13 76.83
2036 74.65  47.3 30.28 61.23 91.53 93.74 91.44 86.65 69.55 77.31 88.76 78.61
2037 76.35 48.86 30.79 62.75 93.93 96.17 93.81 88.93 71.18  78.9 90.44 80.06
2038 77.76 49.72  31.3 64.29 96.35 98.63 96.22 91.25 72.84 80.51 92.14 81.53
2039 79.19  50.6 31.83 65.81 98.75   101 98.35 93.34 74.36 82.02 92.81 82.65
2040     0     0     0     0     0     0     0     0     0     0     0     0
