NUM:   1 CAMARGOS              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026   0.2  0.23  0.22  0.41   0.4  0.36  0.36  0.35  0.28  0.23  0.21  0.21
2027  0.21  0.23  0.22  0.42   0.4  0.37  0.36  0.35  0.28  0.24  0.21  0.21
2028  0.21  0.23  0.22  0.43  0.41  0.38  0.37  0.36  0.28  0.24  0.21  0.21
2029  0.21  0.24  0.22  0.43  0.42  0.38  0.37  0.36  0.29  0.24  0.21  0.21
2030  0.21  0.24  0.23  0.44  0.43  0.39  0.38  0.37  0.29  0.25  0.22  0.21
2031  0.21  0.24  0.23  0.45  0.43   0.4  0.38  0.37   0.3  0.25  0.22  0.21
2032  0.21  0.24  0.23  0.46  0.44   0.4  0.39  0.38   0.3  0.25  0.22  0.22
2033  0.22  0.25  0.23  0.47  0.45  0.41   0.4  0.39   0.3  0.25  0.22  0.22
2034  0.22  0.25  0.24  0.47  0.46  0.41   0.4  0.39  0.31  0.26  0.22  0.22
2035  0.22  0.25  0.24  0.48  0.46  0.42  0.41   0.4  0.31  0.26  0.23  0.22
2036  0.22  0.25  0.24  0.49  0.47  0.43  0.42   0.4  0.32  0.26  0.23  0.22
2037  0.22  0.26  0.24   0.5  0.48  0.43  0.42  0.41  0.32  0.26  0.23  0.22
2038  0.22  0.26  0.24   0.5  0.49  0.44  0.43  0.41  0.32  0.27  0.23  0.23
2039  0.23  0.26  0.25  0.51  0.49  0.45  0.43  0.42  0.33  0.27  0.23  0.23
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   2 ITUTINGA              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   4 FUNIL GRANDE          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.57   0.6  0.59  1.87  2.06  2.05  2.27  2.37  1.66  0.91  0.58  0.57
2026  0.57  0.61   0.6  1.92  2.11  2.11  2.33  2.43   1.7  0.93  0.58  0.58
2027  0.58  0.62  0.61  1.97  2.16  2.16  2.39  2.49  1.73  0.94  0.59  0.58
2028  0.58  0.62  0.61  2.01  2.22  2.21  2.45  2.56  1.77  0.96  0.59  0.59
2029  0.59  0.63  0.62  2.06  2.27  2.26  2.51  2.62  1.81  0.97   0.6  0.59
2030  0.59  0.63  0.62   2.1  2.32  2.31  2.57  2.68  1.85  0.99   0.6   0.6
2031   0.6  0.64  0.63  2.15  2.37  2.36  2.63  2.75  1.89     1  0.61   0.6
2032   0.6  0.64  0.63   2.2  2.43  2.42  2.69  2.81  1.93  1.02  0.61  0.61
2033  0.61  0.65  0.64  2.25  2.48  2.47  2.75  2.88  1.97  1.03  0.62  0.61
2034  0.61  0.65  0.64  2.29  2.53  2.52  2.81  2.94  2.01  1.05  0.62  0.61
2035  0.61  0.66  0.65  2.34  2.58  2.57  2.87     3  2.05  1.06  0.62  0.62
2036  0.62  0.66  0.65  2.39  2.64  2.63  2.93  3.07  2.09  1.08  0.63  0.62
2037  0.62  0.67  0.65  2.43  2.69  2.68  2.99  3.13  2.13  1.09  0.63  0.62
2038  0.63  0.67  0.66  2.48  2.74  2.73  3.05  3.19  2.17   1.1  0.64  0.63
2039  0.63  0.68  0.66  2.52  2.79  2.78  3.11  3.26  2.21  1.12  0.64  0.63
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   6 FURNAS                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  2.95  3.73   3.7  11.3 10.21 10.13 10.75 12.92 10.74  7.26  3.44     3
2026  2.98  3.78  3.76 11.68 10.55 10.46 11.11 13.36 11.09  7.46  3.48  3.03
2027     3  3.84  3.81 12.07 10.88 10.72  11.4 13.79 11.43  7.65  3.52  3.05
2028  3.02  3.86  3.87 12.46 11.24 11.13 11.81 14.24 11.78  7.86  3.57  3.07
2029  3.05  3.95  3.92 12.85 11.58 11.46 12.16 14.68 12.12  8.06  3.61   3.1
2030  3.07     4  3.97 13.24 11.92 11.79 12.51 15.11 12.47  8.25  3.66  3.12
2031  3.09  4.06  4.03 13.63 12.24 12.04 12.79 15.54 12.81  8.45   3.7  3.15
2032  3.12  4.08  4.08 14.02 12.61 12.45 13.21 15.99 13.16  8.65  3.75  3.17
2033  3.14  4.17  4.14 14.41 12.95 12.79 13.57 16.43 13.51  8.85  3.79   3.2
2034  3.17  4.23   4.2 14.81  13.3 13.12 13.92 16.87 13.86  9.05  3.83  3.22
2035  3.19  4.29  4.25  15.2 13.62 13.36  14.2  17.3  14.2  9.24  3.87  3.25
2036  3.22   4.3  4.31 15.59 13.99 13.79 14.62 17.75 14.55  9.45  3.92  3.27
2037  3.24  4.39  4.36 15.98 14.33 14.12 14.98 18.19 14.89  9.65  3.97   3.3
2038  3.26  4.45  4.41 16.37 14.68 14.45 15.33 18.63 15.24  9.84  4.01  3.32
2039  3.28   4.5  4.47 16.76 14.99 14.68 15.59 19.05 15.58 10.03  4.05  3.35
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   7 MASC. MORAES          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.61  0.63  0.68  1.59  1.55  1.58  1.58   1.8  1.78   1.2  0.75  0.61
2026  0.61  0.64  0.69  1.63  1.58  1.62  1.62  1.84  1.82  1.23  0.76  0.62
2027  0.62  0.65  0.69  1.66  1.62  1.65  1.65  1.87  1.86  1.25  0.77  0.63
2028  0.63  0.65   0.7   1.7  1.65  1.69  1.69  1.92   1.9  1.28  0.78  0.63
2029  0.63  0.66  0.71  1.74  1.69  1.72  1.72  1.96  1.94   1.3   0.8  0.64
2030  0.64  0.67  0.72  1.77  1.72  1.76  1.76  2.01  1.98  1.33  0.81  0.65
2031  0.65  0.67  0.73  1.81  1.76  1.79  1.79  2.04  2.02  1.35  0.82  0.65
2032  0.65  0.68  0.74  1.85   1.8  1.83  1.83  2.09  2.07  1.38  0.83  0.66
2033  0.66  0.69  0.75  1.89  1.83  1.87  1.87  2.13  2.11   1.4  0.84  0.67
2034  0.67   0.7  0.76  1.93  1.87  1.91   1.9  2.18  2.15  1.43  0.85  0.67
2035  0.67   0.7  0.77  1.97   1.9  1.94  1.94  2.21  2.19  1.45  0.86  0.68
2036  0.68  0.71  0.78     2  1.94  1.98  1.98  2.26  2.24  1.48  0.87  0.69
2037  0.69  0.72  0.78  2.04  1.98  2.02  2.01  2.31  2.28   1.5  0.88  0.69
2038  0.69  0.73  0.79  2.08  2.02  2.06  2.05  2.35  2.32  1.53   0.9   0.7
2039   0.7  0.73   0.8  2.12  2.05  2.09  2.08  2.38  2.36  1.55  0.91  0.71
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   8 ESTREITO GDE          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   0.1   0.1  0.12  0.29  0.33  0.36  0.35  0.35  0.29  0.19  0.12   0.1
2026   0.1   0.1  0.12   0.3  0.34  0.37  0.36  0.36   0.3  0.19  0.12   0.1
2027   0.1   0.1  0.12  0.31  0.34  0.38  0.37  0.37  0.31  0.19  0.12   0.1
2028   0.1   0.1  0.12  0.31  0.35  0.39  0.38  0.38  0.31   0.2  0.12   0.1
2029   0.1   0.1  0.13  0.32  0.36  0.39  0.38  0.39  0.32   0.2  0.12   0.1
2030   0.1  0.11  0.13  0.33  0.37   0.4  0.39   0.4  0.33   0.2  0.12   0.1
2031   0.1  0.11  0.13  0.33  0.38  0.41   0.4  0.41  0.33  0.21  0.13   0.1
2032   0.1  0.11  0.13  0.34  0.38  0.42  0.41  0.42  0.34  0.21  0.13   0.1
2033   0.1  0.11  0.13  0.35  0.39  0.43  0.42  0.43  0.35  0.21  0.13   0.1
2034   0.1  0.11  0.13  0.35   0.4  0.44  0.43  0.44  0.36  0.22  0.13   0.1
2035   0.1  0.11  0.13  0.36  0.41  0.45  0.44  0.44  0.36  0.22  0.13   0.1
2036   0.1  0.11  0.13  0.37  0.42  0.46  0.45  0.45  0.37  0.22  0.13  0.11
2037  0.11  0.11  0.13  0.38  0.43  0.47  0.46  0.46  0.38  0.23  0.13  0.11
2038  0.11  0.11  0.14  0.38  0.44  0.48  0.47  0.47  0.39  0.23  0.13  0.11
2039  0.11  0.11  0.14  0.39  0.44  0.49  0.48  0.48  0.39  0.23  0.13  0.11
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:   9 JAGUARA               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.02  0.03   0.2  1.12  1.22  1.58  1.72  1.94   1.7   0.8  0.26  0.02
2026  0.02  0.03   0.2  1.16  1.25  1.63  1.77     2  1.75  0.82  0.27  0.02
2027  0.02  0.03  0.21  1.19  1.28  1.67  1.81  2.04   1.8  0.83  0.27  0.02
2028  0.02  0.03  0.21  1.22  1.32  1.72  1.87  2.11  1.85  0.87  0.28  0.02
2029  0.02  0.03  0.22  1.25  1.36  1.76  1.92  2.16  1.89  0.89  0.29  0.02
2030  0.02  0.03  0.22  1.28  1.39  1.81  1.97  2.22  1.94  0.91   0.3  0.02
2031  0.02  0.03  0.23  1.32  1.42  1.86  2.01  2.26  1.99  0.92   0.3  0.02
2032  0.02  0.03  0.23  1.35  1.46   1.9  2.07  2.33  2.04  0.96  0.31  0.02
2033  0.02  0.03  0.24  1.38   1.5  1.95  2.12  2.39  2.09  0.98  0.32  0.02
2034  0.02  0.03  0.24  1.42  1.54     2  2.17  2.45  2.14     1  0.32  0.02
2035  0.02  0.03  0.25  1.45  1.56  2.04  2.21  2.48  2.19  1.01  0.33  0.02
2036  0.02  0.03  0.25  1.48  1.61  2.09  2.27  2.56  2.24  1.05  0.34  0.02
