NUM:  56 TELEM BORBA           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.38  0.37  0.37  0.39  0.36  0.36  0.37  0.38  0.37  0.37  0.44  0.43
2026  0.38  0.38  0.38  0.39  0.37  0.37  0.37  0.39  0.37  0.38  0.45  0.43
2027  0.39  0.39  0.38   0.4  0.37  0.37  0.38   0.4  0.38  0.39  0.46  0.44
2028  0.39  0.39  0.39   0.4  0.38  0.38  0.38   0.4  0.39  0.39  0.46  0.45
2029   0.4   0.4  0.39  0.41  0.38  0.38  0.39  0.41  0.39   0.4  0.47  0.46
2030  0.41   0.4   0.4  0.42  0.39  0.39  0.39  0.41   0.4   0.4  0.48  0.46
2031  0.41  0.41  0.41  0.42  0.39  0.39   0.4  0.42   0.4  0.41  0.49  0.47
2032  0.42  0.42  0.41  0.43   0.4   0.4   0.4  0.43  0.41  0.42   0.5  0.48
2033  0.43  0.42  0.42  0.44  0.41  0.41  0.41  0.43  0.41  0.42   0.5  0.49
2034  0.43  0.43  0.42  0.44  0.41  0.41  0.42  0.44  0.42  0.43  0.51  0.49
2035  0.44  0.43  0.43  0.45  0.42  0.42  0.42  0.45  0.43  0.43  0.52   0.5
2036  0.44  0.44  0.44  0.46  0.42  0.42  0.43  0.45  0.43  0.44  0.53  0.51
2037  0.45  0.45  0.44  0.46  0.43  0.43  0.43  0.46  0.44  0.45  0.54  0.52
2038  0.46  0.45  0.45  0.47  0.43  0.43  0.44  0.47  0.44  0.45  0.55  0.52
2039  0.46  0.46  0.45  0.48  0.44  0.44  0.45  0.47  0.45  0.46  0.55  0.53
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM:  57 MAUA                  Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 19.15 19.16 19.16 19.16 19.15 19.15 19.15 19.15 19.15 19.15 19.17 19.17
2026 19.16 19.17 19.17 19.16 19.16 19.16 19.16 19.16 19.16 19.16 19.17 19.18
2027 19.17 19.18 19.18 19.17 19.16 19.16 19.17 19.17 19.17 19.17 19.18 19.19
2028 19.18 19.19 19.19 19.18 19.17 19.17 19.17 19.18 19.17 19.18 19.19 19.19
2029 19.19  19.2 19.19 19.19 19.18 19.18 19.18 19.18 19.18 19.18  19.2  19.2
2030  19.2  19.2  19.2  19.2 19.19 19.19 19.19 19.19 19.19 19.19 19.21 19.21
2031  19.2 19.21 19.21 19.21  19.2  19.2  19.2  19.2  19.2  19.2 19.22 19.22
2032 19.21 19.22 19.22 19.21  19.2  19.2 19.21 19.21 19.21 19.21 19.22 19.23
