$version=1
!code,Date,block,UnitsInService
1,1900/01/01,1,1
1,1900/01/01,2,1
1,1900/01/01,3,1
1,1900/01/01,4,1
2,1900/01/01,1,1
2,1900/01/01,2,1
2,1900/01/01,3,1
2,1900/01/01,4,1
46,1900/01/01,1,1
46,1900/01/01,2,1
46,1900/01/01,3,1
46,1900/01/01,4,1
3,1900/01/01,1,1
3,1900/01/01,2,1
3,1900/01/01,3,1
3,1900/01/01,4,1
4,1900/01/01,1,1
4,1900/01/01,2,1
4,1900/01/01,3,1
4,1900/01/01,4,1
5,1900/01/01,1,1
5,1900/01/01,2,1
5,1900/01/01,3,1
5,1900/01/01,4,1
6,1900/01/01,1,1
6,1900/01/01,2,1
6,1900/01/01,3,1
6,1900/01/01,4,1
7,1900/01/01,1,1
7,1900/01/01,2,1
7,1900/01/01,3,1
7,1900/01/01,4,1
8,1900/01/01,1,1
8,1900/01/01,2,1
8,1900/01/01,3,1
8,1900/01/01,4,1
9,1900/01/01,1,1
9,1900/01/01,2,1
9,1900/01/01,3,1
9,1900/01/01,4,1
10,1900/01/01,1,1
10,1900/01/01,2,1
10,1900/01/01,3,1
10,1900/01/01,4,1
11,1900/01/01,1,1
11,1900/01/01,2,1
11,1900/01/01,3,1
11,1900/01/01,4,1
12,1900/01/01,1,1
12,1900/01/01,2,1
12,1900/01/01,3,1
12,1900/01/01,4,1
13,1900/01/01,1,1
13,1900/01/01,2,1
13,1900/01/01,3,1
13,1900/01/01,4,1
14,1900/01/01,1,1
14,1900/01/01,2,1
14,1900/01/01,3,1
14,1900/01/01,4,1
15,1900/01/01,1,1
15,1900/01/01,2,1
15,1900/01/01,3,1
15,1900/01/01,4,1
16,1900/01/01,1,1
16,1900/01/01,2,1
16,1900/01/01,3,1
16,1900/01/01,4,1
17,1900/01/01,1,1
17,1900/01/01,2,1
17,1900/01/01,3,1
17,1900/01/01,4,1
18,1900/01/01,1,1
18,1900/01/01,2,1
18,1900/01/01,3,1
18,1900/01/01,4,1
19,1900/01/01,1,1
19,1900/01/01,2,1
19,1900/01/01,3,1
19,1900/01/01,4,1
20,1900/01/01,1,1
20,1900/01/01,2,1
20,1900/01/01,3,1
20,1900/01/01,4,1
21,1900/01/01,1,1
21,1900/01/01,2,1
21,1900/01/01,3,1
21,1900/01/01,4,1
22,1900/01/01,1,1
22,1900/01/01,2,1
22,1900/01/01,3,1
22,1900/01/01,4,1
23,1900/01/01,1,1
23,1900/01/01,2,1
23,1900/01/01,3,1
23,1900/01/01,4,1
24,1900/01/01,1,1
24,1900/01/01,2,1
24,1900/01/01,3,1
24,1900/01/01,4,1
25,1900/01/01,1,1
25,1900/01/01,2,1
25,1900/01/01,3,1
25,1900/01/01,4,1
26,1900/01/01,1,1
26,1900/01/01,2,1
26,1900/01/01,3,1
26,1900/01/01,4,1
27,1900/01/01,1,1
27,1900/01/01,2,1
27,1900/01/01,3,1
27,1900/01/01,4,1
28,1900/01/01,1,1
28,1900/01/01,2,1
28,1900/01/01,3,1
28,1900/01/01,4,1
29,1900/01/01,1,1
29,1900/01/01,2,1
29,1900/01/01,3,1
29,1900/01/01,4,1
30,1900/01/01,1,1
30,1900/01/01,2,1
30,1900/01/01,3,1
30,1900/01/01,4,1
31,1900/01/01,1,1
31,1900/01/01,2,1
31,1900/01/01,3,1
31,1900/01/01,4,1
32,1900/01/01,1,1
32,1900/01/01,2,1
32,1900/01/01,3,1
32,1900/01/01,4,1
33,1900/01/01,1,1
33,1900/01/01,2,1
33,1900/01/01,3,1
33,1900/01/01,4,1
34,1900/01/01,1,1
34,1900/01/01,2,1
34,1900/01/01,3,1
34,1900/01/01,4,1
35,1900/01/01,1,1
35,1900/01/01,2,1
35,1900/01/01,3,1
35,1900/01/01,4,1
36,1900/01/01,1,1
36,1900/01/01,2,1
36,1900/01/01,3,1
36,1900/01/01,4,1
37,1900/01/01,1,1
37,1900/01/01,2,1
37,1900/01/01,3,1
37,1900/01/01,4,1
38,1900/01/01,1,1
38,1900/01/01,2,1
38,1900/01/01,3,1
38,1900/01/01,4,1
39,1900/01/01,1,1
39,1900/01/01,2,1
39,1900/01/01,3,1
39,1900/01/01,4,1
40,1900/01/01,1,1
40,1900/01/01,2,1
40,1900/01/01,3,1
40,1900/01/01,4,1
41,1900/01/01,1,1
41,1900/01/01,2,1
41,1900/01/01,3,1
41,1900/01/01,4,1
42,1900/01/01,1,1
42,1900/01/01,2,1
42,1900/01/01,3,1
42,1900/01/01,4,1
43,1900/01/01,1,1
43,1900/01/01,2,1
43,1900/01/01,3,1
43,1900/01/01,4,1
44,1900/01/01,1,1
44,1900/01/01,2,1
44,1900/01/01,3,1
44,1900/01/01,4,1
45,1900/01/01,1,1
45,1900/01/01,2,1
45,1900/01/01,3,1
45,1900/01/01,4,1
