$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,APARECIDA88,201,10315,0,1,,72.542,,0,,,,0,,,,,,,
2,APARECIDA89,201,10317,0,1,,72.542,,0,,,,0,,,,,,,
11,C._ROCHA1_90,203,10406,0,1,,33.51165,,0,,,,0,,,,,,,
12,C._ROCHA1_91,203,10407,0,1,,33.51165,,0,,,,0,,,,,,,
41,JARAQUI92_2,204,10471,0,1,,31.5129,,0,,,,0,,,,,,,
42,JARAQUI93_2,204,10472,0,1,,31.5129,,0,,,,0,,,,,,,
57,MAUA_386_1,140,10501,0,1,,295.375,,0,,,,0,,,,,,,
58,MAUA_387_1,140,10503,0,1,,295.375,,0,,,,0,,,,,,,
9,BBF_BALIZ94,322,52300,0,1,,8.53225,,0,,,,0,,,,,,,
10,BBF_BALIZ95,322,52301,0,1,,8.53225,,0,,,,0,,,,,,,
36,JAGUATIR_I96,326,52221,0,1,,42.108333333333334,,0,,,,0,,,,,,,
37,JAGUATIR_I97,326,52222,0,1,,42.108333333333334,,0,,,,0,,,,,,,
38,JAGUATIRI98,326,52223,0,1,,42.108333333333334,,0,,,,0,,,,,,,
47,M.CRISTO_99,327,52281,0,1,,20.28,,0,,,,0,,,,,,,
48,M.CRISTO_100,327,52282,0,1,,20.28,,0,,,,0,,,,,,,
13,C._ROCHA2_90,783,10406,1,1,,42.69,,0,,,,0,,,,,,,
14,C._ROCHA2_91,783,10407,1,1,,42.69,,0,,,,0,,,,,,,
39,JARAQUI92_1,784,10471,1,1,,37.74,,0,,,,0,,,,,,,
40,JARAQUI93_1,784,10472,1,1,,37.74,,0,,,,0,,,,,,,
59,MAUA_386_2,788,10501,1,1,,295.375,,0,,,,0,,,,,,,
60,MAUA_387_2,788,10503,1,1,,295.375,,0,,,,0,,,,,,,
