$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
21,CUIABA_G_3,12,4395,0,1,,238.05,,0,,,,0,,,,,,,
22,CUIABA_G_4,12,40649,0,1,,238.05,,0,,,,0,,,,,,,
83,ST.CRUZ_31,4,3598,0,1,,150,,0,,,,0,,,,,,,
84,ST.CRUZ_32,4,3601,0,1,,350,,0,,,,0,,,,,,,
87,ST.CRUZ_N281,86,3598,0,1,,250,,0,,,,0,,,,,,,
88,ST.CRUZ_N291,86,3601,0,1,,250,,0,,,,0,,,,,,,
73,PIRAT.12_18,50,3386,0,1,,200,,0,,,,0,,,,,,,
74,PIRAT.12_19,50,3387,0,1,,270,,0,,,,0,,,,,,,
134,W._ARJON_A51,334,49060,0,1,,35.424,,0,,,,0,,,,,,,
135,W._ARJON_A52,334,49061,0,1,,35.424,,0,,,,0,,,,,,,
136,W._ARJON_A53,334,49062,0,1,,35.424,,0,,,,0,,,,,,,
137,W._ARJON_A54,334,49063,0,1,,35.424,,0,,,,0,,,,,,,
138,W._ARJON_A55,334,49064,0,1,,35.424,,0,,,,0,,,,,,,
77,POVOACAO_461,251,40449,0,1,,37.48,,0,,,,0,,,,,,,
78,POVOACAO_451,251,40450,0,1,,37.48,,0,,,,0,,,,,,,
122,VIAN_A14,49,4405,1,1,,43.65,,0,,,,0,,,,,,,
123,VIAN_A16,49,4409,1,1,,43.65,,0,,,,0,,,,,,,
124,VIAN_A17,49,4410,1,1,,43.65,,0,,,,0,,,,,,,
125,VIAN_A15,49,4420,1,1,,43.65,,0,,,,0,,,,,,,
130,VIANA_147_2,253,4411,0,1,,9.37,,0,,,,0,,,,,,,
131,VIANA_148_2,253,4412,0,1,,9.37,,0,,,,0,,,,,,,
132,VIANA_149_2,253,4413,0,1,,9.37,,0,,,,0,,,,,,,
133,VIANA_150_2,253,4414,0,1,,9.37,,0,,,,0,,,,,,,
7,BAIXADA_F2_4,211,4380,0,1,,265,,0,,,,0,,,,,,,
8,BAIXADA_F2_1,211,4398,0,1,,265,,0,,,,0,,,,,,,
19,CUBATAO32,97,4374,0,1,,93.312,,0,,,,0,,,,,,,
20,CUBATAO33,97,4384,0,1,,93.312,,0,,,,0,,,,,,,
34,IBIRIT_E24,63,4397,0,1,,117.5,,0,,,,0,,,,,,,
35,IBIRIT_E25,63,4423,0,1,,117.5,,0,,,,0,,,,,,,
45,JUIZ_DE_F201,54,4386,0,1,,43.525,,0,,,,0,,,,,,,
46,JUIZ_DE_F211,54,4387,0,1,,43.525,,0,,,,0,,,,,,,
63,N.PIRATIN341,110,3394,0,1,,193.19,,0,,,,0,,,,,,,
64,N.PIRATIN351,110,3395,0,1,,193.19,,0,,,,0,,,,,,,
79,SEROPEDIC22_,62,4383,0,1,,180,,0,,,,0,,,,,,,
80,SEROPEDIC23_,62,4383,0,1,,180,,0,,,,0,,,,,,,
103,TERMOMACA301,90,4394,0,1,,461.5,,0,,,,0,,,,,,,
104,TERMOMACA311,90,4396,0,1,,461.5,,0,,,,0,,,,,,,
107,TERMOR_IO8,47,4388,1,1,,109.91033333333333,,0,,,,0,,,,,,,
108,TERMOR_IO9,47,4389,1,1,,109.91033333333333,,0,,,,0,,,,,,,
109,TERMOR_IO5,47,4391,1,1,,109.91033333333333,,0,,,,0,,,,,,,
110,TERMORI_O10,47,4399,1,1,,109.91033333333333,,0,,,,0,,,,,,,
111,TERMOR_IO6,47,4400,1,1,,109.91033333333333,,0,,,,0,,,,,,,
112,TERMOR_IO7,47,4402,1,1,,109.91033333333333,,0,,,,0,,,,,,,
113,TERMORI_O13,47,40467,1,1,,109.91033333333333,,0,,,,0,,,,,,,
114,TERMORI_O11,47,40468,1,1,,109.91033333333333,,0,,,,0,,,,,,,
115,TERMORI_O12,47,40469,1,1,,109.91033333333333,,0,,,,0,,,,,,,
116,TRES_LAGO26_,68,4392,0,1,,175,,0,,,,0,,,,,,,
117,TRES_LAGO27_,68,4393,0,1,,175,,0,,,,0,,,,,,,
30,GNA_I36,137,40440,0,1,,669,,0,,,,0,,,,,,,
31,GNA_I37,137,40441,0,1,,669,,0,,,,0,,,,,,,
32,GNA_II43,238,40444,1,1,,836.3,,0,,,,0,,,,,,,
33,GNA_II44,238,40445,1,1,,836.3,,0,,,,0,,,,,,,
23,DO_ATLAN_T38,183,4539,0,1,,163.33333333333334,,0,,,,0,,,,,,,
24,DO_ATLAN_T39,183,4540,0,1,,163.33333333333334,,0,,,,0,,,,,,,
25,DO_ATLAN_T40,183,4541,0,1,,163.33333333333334,,0,,,,0,,,,,,,
81,SEROPEDIC221,760,4383,1,1,,180,,0,,,,0,,,,,,,
82,SEROPEDIC231,760,4383,1,1,,180,,0,,,,0,,,,,,,
118,TRES_LAGO261,761,4392,1,1,,175,,0,,,,0,,,,,,,
119,TRES_LAGO271,761,4393,1,1,,175,,0,,,,0,,,,,,,
43,JUIZ_DE_F20_,769,4386,1,1,,43.525,,0,,,,0,,,,,,,
44,JUIZ_DE_F21_,769,4387,1,1,,43.525,,0,,,,0,,,,,,,
67,NORTEFLU-2,772,4049,1,1,,206.695,,0,,,,0,,,,,,,
68,NORTEFLU-1,772,4051,1,1,,206.695,,0,,,,0,,,,,,,
69,NORTEFLU-4,772,4049,1,1,,206.695,,0,,,,0,,,,,,,
70,NORTEFLU-3,772,4051,1,1,,206.695,,0,,,,0,,,,,,,
61,N.PIRATIN34_,774,3394,1,1,,193.19,,0,,,,0,,,,,,,
62,N.PIRATIN35_,774,3395,1,1,,193.19,,0,,,,0,,,,,,,
85,ST.CRUZ_N28_,775,3598,1,1,,250,,0,,,,0,,,,,,,
86,ST.CRUZ_N29_,775,3601,1,1,,250,,0,,,,0,,,,,,,
5,BAIXADA_F1_4,776,4380,1,1,,265,,0,,,,0,,,,,,,
6,BAIXADA_F1_1,776,4398,1,1,,265,,0,,,,0,,,,,,,
101,TERMOMACA30_,801,4394,1,1,,461.5,,0,,,,0,,,,,,,
102,TERMOMACA31_,801,4396,1,1,,461.5,,0,,,,0,,,,,,,
75,POVOACAO_46_,808,40449,1,1,,37.48,,0,,,,0,,,,,,,
76,POVOACAO_45_,808,40450,1,1,,37.48,,0,,,,0,,,,,,,
126,VIANA_147_1,809,4411,1,1,,9.37,,0,,,,0,,,,,,,
127,VIANA_148_1,809,4412,1,1,,9.37,,0,,,,0,,,,,,,
128,VIANA_149_1,809,4413,1,1,,9.37,,0,,,,0,,,,,,,
129,VIANA_150_1,809,4414,1,1,,9.37,,0,,,,0,,,,,,,
