$version=1
!code,Date,block,MinFlow,MaxFlow,MinFlowEmergency,MaxFlowEmergency
10837,1900/01/01,1,9999,9999,9999,9999
10837,1900/01/01,2,9999,9999,9999,9999
10837,1900/01/01,3,9999,9999,9999,9999
10837,1900/01/01,4,9999,9999,9999,9999
10838,1900/01/01,1,9999,9999,9999,9999
10838,1900/01/01,2,9999,9999,9999,9999
10838,1900/01/01,3,9999,9999,9999,9999
10838,1900/01/01,4,9999,9999,9999,9999
10839,1900/01/01,1,9999,9999,9999,9999
10839,1900/01/01,2,9999,9999,9999,9999
10839,1900/01/01,3,9999,9999,9999,9999
10839,1900/01/01,4,9999,9999,9999,9999
10840,1900/01/01,1,9999,9999,9999,9999
10840,1900/01/01,2,9999,9999,9999,9999
10840,1900/01/01,3,9999,9999,9999,9999
10840,1900/01/01,4,9999,9999,9999,9999
10841,1900/01/01,1,9999,9999,9999,9999
10841,1900/01/01,2,9999,9999,9999,9999
10841,1900/01/01,3,9999,9999,9999,9999
10841,1900/01/01,4,9999,9999,9999,9999
10842,1900/01/01,1,9999,9999,9999,9999
10842,1900/01/01,2,9999,9999,9999,9999
10842,1900/01/01,3,9999,9999,9999,9999
10842,1900/01/01,4,9999,9999,9999,9999
10843,1900/01/01,1,9999,9999,9999,9999
10843,1900/01/01,2,9999,9999,9999,9999
10843,1900/01/01,3,9999,9999,9999,9999
10843,1900/01/01,4,9999,9999,9999,9999
10844,1900/01/01,1,9999,9999,9999,9999
10844,1900/01/01,2,9999,9999,9999,9999
10844,1900/01/01,3,9999,9999,9999,9999
10844,1900/01/01,4,9999,9999,9999,9999
10845,1900/01/01,1,9999,9999,9999,9999
10845,1900/01/01,2,9999,9999,9999,9999
10845,1900/01/01,3,9999,9999,9999,9999
10845,1900/01/01,4,9999,9999,9999,9999
10846,1900/01/01,1,9999,9999,9999,9999
10846,1900/01/01,2,9999,9999,9999,9999
10846,1900/01/01,3,9999,9999,9999,9999
10846,1900/01/01,4,9999,9999,9999,9999
10847,1900/01/01,1,9999,9999,9999,9999
10847,1900/01/01,2,9999,9999,9999,9999
10847,1900/01/01,3,9999,9999,9999,9999
10847,1900/01/01,4,9999,9999,9999,9999
10848,1900/01/01,1,9999,9999,9999,9999
10848,1900/01/01,2,9999,9999,9999,9999
10848,1900/01/01,3,9999,9999,9999,9999
10848,1900/01/01,4,9999,9999,9999,9999
10849,1900/01/01,1,9999,9999,9999,9999
10849,1900/01/01,2,9999,9999,9999,9999
10849,1900/01/01,3,9999,9999,9999,9999
10849,1900/01/01,4,9999,9999,9999,9999
10850,1900/01/01,1,9999,9999,9999,9999
