$version=1
!code,Date,block,Phase
10837,1900/01/01,1,0
10837,1900/01/01,2,0
10837,1900/01/01,3,0
10837,1900/01/01,4,0
10838,1900/01/01,1,0
10838,1900/01/01,2,0
10838,1900/01/01,3,0
10838,1900/01/01,4,0
10839,1900/01/01,1,0
10839,1900/01/01,2,0
10839,1900/01/01,3,0
10839,1900/01/01,4,0
10840,1900/01/01,1,0
10840,1900/01/01,2,0
10840,1900/01/01,3,0
10840,1900/01/01,4,0
10841,1900/01/01,1,0
10841,1900/01/01,2,0
10841,1900/01/01,3,0
10841,1900/01/01,4,0
10842,1900/01/01,1,0
10842,1900/01/01,2,0
10842,1900/01/01,3,0
10842,1900/01/01,4,0
10843,1900/01/01,1,0
10843,1900/01/01,2,0
10843,1900/01/01,3,0
10843,1900/01/01,4,0
10844,1900/01/01,1,0
10844,1900/01/01,2,0
10844,1900/01/01,3,0
10844,1900/01/01,4,0
10845,1900/01/01,1,0
10845,1900/01/01,2,0
10845,1900/01/01,3,0
10845,1900/01/01,4,0
10846,1900/01/01,1,0
10846,1900/01/01,2,0
10846,1900/01/01,3,0
10846,1900/01/01,4,0
10847,1900/01/01,1,0
10847,1900/01/01,2,0
10847,1900/01/01,3,0
10847,1900/01/01,4,0
10848,1900/01/01,1,0
10848,1900/01/01,2,0
10848,1900/01/01,3,0
10848,1900/01/01,4,0
10849,1900/01/01,1,0
10849,1900/01/01,2,0
10849,1900/01/01,3,0
10849,1900/01/01,4,0
10850,1900/01/01,1,0
10850,1900/01/01,2,0
10850,1900/01/01,3,0
10850,1900/01/01,4,0
10851,1900/01/01,1,0
10851,1900/01/01,2,0
10851,1900/01/01,3,0
10851,1900/01/01,4,0
10852,1900/01/01,1,0
10852,1900/01/01,2,0
10852,1900/01/01,3,0
10852,1900/01/01,4,0
10853,1900/01/01,1,0
10853,1900/01/01,2,0
10853,1900/01/01,3,0
10853,1900/01/01,4,0
10854,1900/01/01,1,0
10854,1900/01/01,2,0
10854,1900/01/01,3,0
10854,1900/01/01,4,0
10855,1900/01/01,1,0
10855,1900/01/01,2,0
10855,1900/01/01,3,0
10855,1900/01/01,4,0
10856,1900/01/01,1,0
10856,1900/01/01,2,0
10856,1900/01/01,3,0
10856,1900/01/01,4,0
10857,1900/01/01,1,0
10857,1900/01/01,2,0
10857,1900/01/01,3,0
10857,1900/01/01,4,0
10858,1900/01/01,1,0
10858,1900/01/01,2,0
10858,1900/01/01,3,0
10858,1900/01/01,4,0
10859,1900/01/01,1,0
10859,1900/01/01,2,0
10859,1900/01/01,3,0
10859,1900/01/01,4,0
10860,1900/01/01,1,0
10860,1900/01/01,2,0
10860,1900/01/01,3,0
10860,1900/01/01,4,0
10861,1900/01/01,1,0
10861,1900/01/01,2,0
10861,1900/01/01,3,0
10861,1900/01/01,4,0
10862,1900/01/01,1,0
10862,1900/01/01,2,0
10862,1900/01/01,3,0
10862,1900/01/01,4,0
10863,1900/01/01,1,0
10863,1900/01/01,2,0
10863,1900/01/01,3,0
10863,1900/01/01,4,0
10864,1900/01/01,1,0
10864,1900/01/01,2,0
10864,1900/01/01,3,0
10864,1900/01/01,4,0
10865,1900/01/01,1,0
10865,1900/01/01,2,0
10865,1900/01/01,3,0
10865,1900/01/01,4,0
10866,1900/01/01,1,0
10866,1900/01/01,2,0
10866,1900/01/01,3,0
10866,1900/01/01,4,0
10867,1900/01/01,1,0
10867,1900/01/01,2,0
10867,1900/01/01,3,0
10867,1900/01/01,4,0
10868,1900/01/01,1,0
10868,1900/01/01,2,0
10868,1900/01/01,3,0
10868,1900/01/01,4,0
10869,1900/01/01,1,0
10869,1900/01/01,2,0
10869,1900/01/01,3,0
10869,1900/01/01,4,0
10870,1900/01/01,1,0
10870,1900/01/01,2,0
10870,1900/01/01,3,0
10870,1900/01/01,4,0
10871,1900/01/01,1,0
10871,1900/01/01,2,0
10871,1900/01/01,3,0
10871,1900/01/01,4,0
10872,1900/01/01,1,0
10872,1900/01/01,2,0
10872,1900/01/01,3,0
10872,1900/01/01,4,0
