$version=1
!code,Date,block,Status
10837,1900/01/01,1,1
10837,1900/01/01,2,1
10837,1900/01/01,3,1
10837,1900/01/01,4,1
10838,1900/01/01,1,1
10838,1900/01/01,2,1
10838,1900/01/01,3,1
10838,1900/01/01,4,1
10839,1900/01/01,1,1
10839,1900/01/01,2,1
10839,1900/01/01,3,1
10839,1900/01/01,4,1
10840,1900/01/01,1,1
10840,1900/01/01,2,1
10840,1900/01/01,3,1
10840,1900/01/01,4,1
10841,1900/01/01,1,1
10841,1900/01/01,2,1
10841,1900/01/01,3,1
10841,1900/01/01,4,1
10842,1900/01/01,1,1
10842,1900/01/01,2,1
10842,1900/01/01,3,1
10842,1900/01/01,4,1
10843,1900/01/01,1,1
10843,1900/01/01,2,1
10843,1900/01/01,3,1
10843,1900/01/01,4,1
10844,1900/01/01,1,1
10844,1900/01/01,2,1
10844,1900/01/01,3,1
10844,1900/01/01,4,1
10845,1900/01/01,1,1
10845,1900/01/01,2,1
10845,1900/01/01,3,1
10845,1900/01/01,4,1
10846,1900/01/01,1,1
10846,1900/01/01,2,1
10846,1900/01/01,3,1
10846,1900/01/01,4,1
10847,1900/01/01,1,1
10847,1900/01/01,2,1
10847,1900/01/01,3,1
10847,1900/01/01,4,1
10848,1900/01/01,1,1
10848,1900/01/01,2,1
10848,1900/01/01,3,1
10848,1900/01/01,4,1
10849,1900/01/01,1,1
10849,1900/01/01,2,1
10849,1900/01/01,3,1
10849,1900/01/01,4,1
10850,1900/01/01,1,1
10850,1900/01/01,2,1
10850,1900/01/01,3,1
10850,1900/01/01,4,1
10851,1900/01/01,1,1
10851,1900/01/01,2,1
10851,1900/01/01,3,1
10851,1900/01/01,4,1
10852,1900/01/01,1,1
10852,1900/01/01,2,1
10852,1900/01/01,3,1
10852,1900/01/01,4,1
10853,1900/01/01,1,1
10853,1900/01/01,2,1
10853,1900/01/01,3,1
10853,1900/01/01,4,1
10854,1900/01/01,1,1
10854,1900/01/01,2,1
10854,1900/01/01,3,1
10854,1900/01/01,4,1
10855,1900/01/01,1,1
10855,1900/01/01,2,1
10855,1900/01/01,3,1
10855,1900/01/01,4,1
10856,1900/01/01,1,1
10856,1900/01/01,2,1
10856,1900/01/01,3,1
10856,1900/01/01,4,1
10857,1900/01/01,1,1
10857,1900/01/01,2,1
10857,1900/01/01,3,1
10857,1900/01/01,4,1
10858,1900/01/01,1,1
10858,1900/01/01,2,1
10858,1900/01/01,3,1
10858,1900/01/01,4,1
10859,1900/01/01,1,1
10859,1900/01/01,2,1
10859,1900/01/01,3,1
10859,1900/01/01,4,1
10860,1900/01/01,1,1
10860,1900/01/01,2,1
10860,1900/01/01,3,1
10860,1900/01/01,4,1
10861,1900/01/01,1,1
10861,1900/01/01,2,1
10861,1900/01/01,3,1
10861,1900/01/01,4,1
10862,1900/01/01,1,1
10862,1900/01/01,2,1
10862,1900/01/01,3,1
10862,1900/01/01,4,1
10863,1900/01/01,1,1
10863,1900/01/01,2,1
10863,1900/01/01,3,1
10863,1900/01/01,4,1
10864,1900/01/01,1,1
10864,1900/01/01,2,1
10864,1900/01/01,3,1
10864,1900/01/01,4,1
10865,1900/01/01,1,1
10865,1900/01/01,2,1
10865,1900/01/01,3,1
10865,1900/01/01,4,1
10866,1900/01/01,1,1
10866,1900/01/01,2,1
10866,1900/01/01,3,1
10866,1900/01/01,4,1
10867,1900/01/01,1,1
10867,1900/01/01,2,1
10867,1900/01/01,3,1
10867,1900/01/01,4,1
10868,1900/01/01,1,1
10868,1900/01/01,2,1
10868,1900/01/01,3,1
10868,1900/01/01,4,1
10869,1900/01/01,1,1
10869,1900/01/01,2,1
10869,1900/01/01,3,1
10869,1900/01/01,4,1
10870,1900/01/01,1,1
10870,1900/01/01,2,1
10870,1900/01/01,3,1
10870,1900/01/01,4,1
10871,1900/01/01,1,1
10871,1900/01/01,2,1
10871,1900/01/01,3,1
10871,1900/01/01,4,1
10872,1900/01/01,1,1
10872,1900/01/01,2,1
10872,1900/01/01,3,1
10872,1900/01/01,4,1
10873,1900/01/01,1,1
10873,1900/01/01,2,1
10873,1900/01/01,3,1
10873,1900/01/01,4,1
10874,1900/01/01,1,1
10874,1900/01/01,2,1
10874,1900/01/01,3,1
10874,1900/01/01,4,1
10875,1900/01/01,1,1
10875,1900/01/01,2,1
10875,1900/01/01,3,1
10875,1900/01/01,4,1
10876,1900/01/01,1,1
10876,1900/01/01,2,1
10876,1900/01/01,3,1
10876,1900/01/01,4,1
10877,1900/01/01,1,1
10877,1900/01/01,2,1
10877,1900/01/01,3,1
10877,1900/01/01,4,1
10878,1900/01/01,1,1
10878,1900/01/01,2,1
10878,1900/01/01,3,1
10878,1900/01/01,4,1
10879,1900/01/01,1,1
10879,1900/01/01,2,1
10879,1900/01/01,3,1
10879,1900/01/01,4,1
10880,1900/01/01,1,1
10880,1900/01/01,2,1
10880,1900/01/01,3,1
10880,1900/01/01,4,1
10881,1900/01/01,1,1
10881,1900/01/01,2,1
10881,1900/01/01,3,1
10881,1900/01/01,4,1
10882,1900/01/01,1,1
10882,1900/01/01,2,1
10882,1900/01/01,3,1
10882,1900/01/01,4,1
10883,1900/01/01,1,1
10883,1900/01/01,2,1
10883,1900/01/01,3,1
10883,1900/01/01,4,1
10884,1900/01/01,1,1
10884,1900/01/01,2,1
10884,1900/01/01,3,1
10884,1900/01/01,4,1
10885,1900/01/01,1,1
10885,1900/01/01,2,1
10885,1900/01/01,3,1
10885,1900/01/01,4,1
10886,1900/01/01,1,1
10886,1900/01/01,2,1
10886,1900/01/01,3,1
10886,1900/01/01,4,1
10887,1900/01/01,1,1
10887,1900/01/01,2,1
10887,1900/01/01,3,1
10887,1900/01/01,4,1
10888,1900/01/01,1,1
10888,1900/01/01,2,1
10888,1900/01/01,3,1
10888,1900/01/01,4,1
10889,1900/01/01,1,1
10889,1900/01/01,2,1
10889,1900/01/01,3,1
10889,1900/01/01,4,1
10890,1900/01/01,1,1
10890,1900/01/01,2,1
10890,1900/01/01,3,1
10890,1900/01/01,4,1
10891,1900/01/01,1,1
10891,1900/01/01,2,1
10891,1900/01/01,3,1
10891,1900/01/01,4,1
10892,1900/01/01,1,1
10892,1900/01/01,2,1
10892,1900/01/01,3,1
10892,1900/01/01,4,1
10893,1900/01/01,1,1
10893,1900/01/01,2,1
10893,1900/01/01,3,1
10893,1900/01/01,4,1
10894,1900/01/01,1,1
10894,1900/01/01,2,1
10894,1900/01/01,3,1
10894,1900/01/01,4,1
10895,1900/01/01,1,1
10895,1900/01/01,2,1
10895,1900/01/01,3,1
10895,1900/01/01,4,1
10896,1900/01/01,1,1
10896,1900/01/01,2,1
10896,1900/01/01,3,1
10896,1900/01/01,4,1
10897,1900/01/01,1,1
10897,1900/01/01,2,1
10897,1900/01/01,3,1
10897,1900/01/01,4,1
10898,1900/01/01,1,1
10898,1900/01/01,2,1
10898,1900/01/01,3,1
10898,1900/01/01,4,1
10899,1900/01/01,1,1
10899,1900/01/01,2,1
10899,1900/01/01,3,1
10899,1900/01/01,4,1
10900,1900/01/01,1,1
10900,1900/01/01,2,1
10900,1900/01/01,3,1
10900,1900/01/01,4,1
10901,1900/01/01,1,1
10901,1900/01/01,2,1
10901,1900/01/01,3,1
10901,1900/01/01,4,1
10902,1900/01/01,1,1
10902,1900/01/01,2,1
10902,1900/01/01,3,1
10902,1900/01/01,4,1
10903,1900/01/01,1,1
10903,1900/01/01,2,1
10903,1900/01/01,3,1
10903,1900/01/01,4,1
10904,1900/01/01,1,1
10904,1900/01/01,2,1
10904,1900/01/01,3,1
10904,1900/01/01,4,1
10905,1900/01/01,1,1
10905,1900/01/01,2,1
10905,1900/01/01,3,1
10905,1900/01/01,4,1
10906,1900/01/01,1,1
10906,1900/01/01,2,1
10906,1900/01/01,3,1
10906,1900/01/01,4,1
10907,1900/01/01,1,1
10907,1900/01/01,2,1
10907,1900/01/01,3,1
10907,1900/01/01,4,1
10908,1900/01/01,1,1
10908,1900/01/01,2,1
10908,1900/01/01,3,1
10908,1900/01/01,4,1
10909,1900/01/01,1,1
10909,1900/01/01,2,1
10909,1900/01/01,3,1
10909,1900/01/01,4,1
10910,1900/01/01,1,1
10910,1900/01/01,2,1
10910,1900/01/01,3,1
10910,1900/01/01,4,1
10911,1900/01/01,1,1
10911,1900/01/01,2,1
10911,1900/01/01,3,1
10911,1900/01/01,4,1
10912,1900/01/01,1,1
10912,1900/01/01,2,1
10912,1900/01/01,3,1
10912,1900/01/01,4,1
10913,1900/01/01,1,1
10913,1900/01/01,2,1
10913,1900/01/01,3,1
10913,1900/01/01,4,1
10914,1900/01/01,1,1
10914,1900/01/01,2,1
10914,1900/01/01,3,1
10914,1900/01/01,4,1
10915,1900/01/01,1,1
10915,1900/01/01,2,1
10915,1900/01/01,3,1
10915,1900/01/01,4,1
10916,1900/01/01,1,1
10916,1900/01/01,2,1
10916,1900/01/01,3,1
10916,1900/01/01,4,1
10917,1900/01/01,1,1
10917,1900/01/01,2,1
10917,1900/01/01,3,1
10917,1900/01/01,4,1
10918,1900/01/01,1,1
10918,1900/01/01,2,1
10918,1900/01/01,3,1
10918,1900/01/01,4,1
10919,1900/01/01,1,1
10919,1900/01/01,2,1
10919,1900/01/01,3,1
10919,1900/01/01,4,1
10920,1900/01/01,1,1
10920,1900/01/01,2,1
10920,1900/01/01,3,1
10920,1900/01/01,4,1
10921,1900/01/01,1,1
10921,1900/01/01,2,1
10921,1900/01/01,3,1
10921,1900/01/01,4,1
10922,1900/01/01,1,1
10922,1900/01/01,2,1
10922,1900/01/01,3,1
10922,1900/01/01,4,1
10923,1900/01/01,1,1
10923,1900/01/01,2,1
10923,1900/01/01,3,1
10923,1900/01/01,4,1
10924,1900/01/01,1,1
10924,1900/01/01,2,1
10924,1900/01/01,3,1
10924,1900/01/01,4,1
10925,1900/01/01,1,1
10925,1900/01/01,2,1
10925,1900/01/01,3,1
10925,1900/01/01,4,1
10926,1900/01/01,1,1
10926,1900/01/01,2,1
10926,1900/01/01,3,1
10926,1900/01/01,4,1
10927,1900/01/01,1,1
10927,1900/01/01,2,1
10927,1900/01/01,3,1
10927,1900/01/01,4,1
10928,1900/01/01,1,1
10928,1900/01/01,2,1
10928,1900/01/01,3,1
10928,1900/01/01,4,1
10929,1900/01/01,1,1
10929,1900/01/01,2,1
10929,1900/01/01,3,1
10929,1900/01/01,4,1
10930,1900/01/01,1,1
10930,1900/01/01,2,1
10930,1900/01/01,3,1
10930,1900/01/01,4,1
10931,1900/01/01,1,1
10931,1900/01/01,2,1
10931,1900/01/01,3,1
10931,1900/01/01,4,1
10932,1900/01/01,1,1
10932,1900/01/01,2,1
10932,1900/01/01,3,1
10932,1900/01/01,4,1
10933,1900/01/01,1,1
10933,1900/01/01,2,1
10933,1900/01/01,3,1
10933,1900/01/01,4,1
10934,1900/01/01,1,1
10934,1900/01/01,2,1
10934,1900/01/01,3,1
10934,1900/01/01,4,1
10935,1900/01/01,1,1
10935,1900/01/01,2,1
10935,1900/01/01,3,1
10935,1900/01/01,4,1
10936,1900/01/01,1,1
10936,1900/01/01,2,1
10936,1900/01/01,3,1
10936,1900/01/01,4,1
10937,1900/01/01,1,1
10937,1900/01/01,2,1
10937,1900/01/01,3,1
10937,1900/01/01,4,1
10938,1900/01/01,1,1
10938,1900/01/01,2,1
10938,1900/01/01,3,1
10938,1900/01/01,4,1
10939,1900/01/01,1,1
10939,1900/01/01,2,1
10939,1900/01/01,3,1
10939,1900/01/01,4,1
10940,1900/01/01,1,1
10940,1900/01/01,2,1
10940,1900/01/01,3,1
10940,1900/01/01,4,1
10941,1900/01/01,1,1
10941,1900/01/01,2,1
10941,1900/01/01,3,1
10941,1900/01/01,4,1
10942,1900/01/01,1,1
10942,1900/01/01,2,1
10942,1900/01/01,3,1
10942,1900/01/01,4,1
10943,1900/01/01,1,1
10943,1900/01/01,2,1
10943,1900/01/01,3,1
10943,1900/01/01,4,1
10944,1900/01/01,1,1
10944,1900/01/01,2,1
10944,1900/01/01,3,1
10944,1900/01/01,4,1
10945,1900/01/01,1,1
10945,1900/01/01,2,1
10945,1900/01/01,3,1
10945,1900/01/01,4,1
10946,1900/01/01,1,1
10946,1900/01/01,2,1
10946,1900/01/01,3,1
10946,1900/01/01,4,1
10947,1900/01/01,1,1
10947,1900/01/01,2,1
10947,1900/01/01,3,1
10947,1900/01/01,4,1
10948,1900/01/01,1,1
10948,1900/01/01,2,1
10948,1900/01/01,3,1
10948,1900/01/01,4,1
10949,1900/01/01,1,1
10949,1900/01/01,2,1
10949,1900/01/01,3,1
10949,1900/01/01,4,1
10950,1900/01/01,1,1
10950,1900/01/01,2,1
10950,1900/01/01,3,1
10950,1900/01/01,4,1
10951,1900/01/01,1,1
10951,1900/01/01,2,1
10951,1900/01/01,3,1
10951,1900/01/01,4,1
10952,1900/01/01,1,1
10952,1900/01/01,2,1
10952,1900/01/01,3,1
10952,1900/01/01,4,1
10953,1900/01/01,1,1
10953,1900/01/01,2,1
10953,1900/01/01,3,1
10953,1900/01/01,4,1
10954,1900/01/01,1,1
10954,1900/01/01,2,1
10954,1900/01/01,3,1
10954,1900/01/01,4,1
10955,1900/01/01,1,1
10955,1900/01/01,2,1
10955,1900/01/01,3,1
10955,1900/01/01,4,1
10956,1900/01/01,1,1
10956,1900/01/01,2,1
10956,1900/01/01,3,1
10956,1900/01/01,4,1
10957,1900/01/01,1,1
10957,1900/01/01,2,1
10957,1900/01/01,3,1
10957,1900/01/01,4,1
10958,1900/01/01,1,1
10958,1900/01/01,2,1
10958,1900/01/01,3,1
10958,1900/01/01,4,1
10959,1900/01/01,1,1
10959,1900/01/01,2,1
10959,1900/01/01,3,1
10959,1900/01/01,4,1
10960,1900/01/01,1,1
10960,1900/01/01,2,1
10960,1900/01/01,3,1
10960,1900/01/01,4,1
10961,1900/01/01,1,1
10961,1900/01/01,2,1
10961,1900/01/01,3,1
10961,1900/01/01,4,1
10962,1900/01/01,1,1
10962,1900/01/01,2,1
10962,1900/01/01,3,1
10962,1900/01/01,4,1
10963,1900/01/01,1,1
10963,1900/01/01,2,1
10963,1900/01/01,3,1
10963,1900/01/01,4,1
10964,1900/01/01,1,1
10964,1900/01/01,2,1
10964,1900/01/01,3,1
10964,1900/01/01,4,1
10965,1900/01/01,1,1
10965,1900/01/01,2,1
10965,1900/01/01,3,1
10965,1900/01/01,4,1
10966,1900/01/01,1,1
10966,1900/01/01,2,1
10966,1900/01/01,3,1
10966,1900/01/01,4,1
10967,1900/01/01,1,1
10967,1900/01/01,2,1
10967,1900/01/01,3,1
10967,1900/01/01,4,1
10968,1900/01/01,1,1
10968,1900/01/01,2,1
10968,1900/01/01,3,1
10968,1900/01/01,4,1
10969,1900/01/01,1,1
10969,1900/01/01,2,1
10969,1900/01/01,3,1
10969,1900/01/01,4,1
10970,1900/01/01,1,1
10970,1900/01/01,2,1
10970,1900/01/01,3,1
10970,1900/01/01,4,1
10971,1900/01/01,1,1
10971,1900/01/01,2,1
10971,1900/01/01,3,1
10971,1900/01/01,4,1
10972,1900/01/01,1,1
10972,1900/01/01,2,1
10972,1900/01/01,3,1
10972,1900/01/01,4,1
10973,1900/01/01,1,1
10973,1900/01/01,2,1
10973,1900/01/01,3,1
10973,1900/01/01,4,1
10974,1900/01/01,1,1
10974,1900/01/01,2,1
10974,1900/01/01,3,1
10974,1900/01/01,4,1
10975,1900/01/01,1,1
10975,1900/01/01,2,1
10975,1900/01/01,3,1
10975,1900/01/01,4,1
10976,1900/01/01,1,1
10976,1900/01/01,2,1
10976,1900/01/01,3,1
10976,1900/01/01,4,1
10977,1900/01/01,1,1
10977,1900/01/01,2,1
10977,1900/01/01,3,1
10977,1900/01/01,4,1
10978,1900/01/01,1,1
10978,1900/01/01,2,1
10978,1900/01/01,3,1
10978,1900/01/01,4,1
10979,1900/01/01,1,1
10979,1900/01/01,2,1
10979,1900/01/01,3,1
10979,1900/01/01,4,1
10980,1900/01/01,1,1
10980,1900/01/01,2,1
10980,1900/01/01,3,1
10980,1900/01/01,4,1
10981,1900/01/01,1,1
10981,1900/01/01,2,1
10981,1900/01/01,3,1
10981,1900/01/01,4,1
10982,1900/01/01,1,1
10982,1900/01/01,2,1
10982,1900/01/01,3,1
10982,1900/01/01,4,1
10983,1900/01/01,1,1
10983,1900/01/01,2,1
10983,1900/01/01,3,1
10983,1900/01/01,4,1
10984,1900/01/01,1,1
10984,1900/01/01,2,1
10984,1900/01/01,3,1
10984,1900/01/01,4,1
10985,1900/01/01,1,1
10985,1900/01/01,2,1
10985,1900/01/01,3,1
10985,1900/01/01,4,1
10986,1900/01/01,1,1
10986,1900/01/01,2,1
10986,1900/01/01,3,1
10986,1900/01/01,4,1
10987,1900/01/01,1,1
10987,1900/01/01,2,1
10987,1900/01/01,3,1
10987,1900/01/01,4,1
10988,1900/01/01,1,1
10988,1900/01/01,2,1
10988,1900/01/01,3,1
10988,1900/01/01,4,1
10989,1900/01/01,1,1
10989,1900/01/01,2,1
10989,1900/01/01,3,1
10989,1900/01/01,4,1
10990,1900/01/01,1,1
10990,1900/01/01,2,1
10990,1900/01/01,3,1
10990,1900/01/01,4,1
10991,1900/01/01,1,1
10991,1900/01/01,2,1
10991,1900/01/01,3,1
10991,1900/01/01,4,1
10992,1900/01/01,1,1
10992,1900/01/01,2,1
10992,1900/01/01,3,1
10992,1900/01/01,4,1
10993,1900/01/01,1,1
10993,1900/01/01,2,1
10993,1900/01/01,3,1
10993,1900/01/01,4,1
10994,1900/01/01,1,1
10994,1900/01/01,2,1
10994,1900/01/01,3,1
10994,1900/01/01,4,1
10995,1900/01/01,1,1
10995,1900/01/01,2,1
10995,1900/01/01,3,1
10995,1900/01/01,4,1
10996,1900/01/01,1,1
10996,1900/01/01,2,1
10996,1900/01/01,3,1
10996,1900/01/01,4,1
10997,1900/01/01,1,1
10997,1900/01/01,2,1
10997,1900/01/01,3,1
10997,1900/01/01,4,1
10998,1900/01/01,1,1
10998,1900/01/01,2,1
10998,1900/01/01,3,1
10998,1900/01/01,4,1
10999,1900/01/01,1,1
10999,1900/01/01,2,1
10999,1900/01/01,3,1
10999,1900/01/01,4,1
11000,1900/01/01,1,1
11000,1900/01/01,2,1
11000,1900/01/01,3,1
11000,1900/01/01,4,1
11001,1900/01/01,1,1
11001,1900/01/01,2,1
11001,1900/01/01,3,1
11001,1900/01/01,4,1
11002,1900/01/01,1,1
11002,1900/01/01,2,1
11002,1900/01/01,3,1
11002,1900/01/01,4,1
11003,1900/01/01,1,1
11003,1900/01/01,2,1
11003,1900/01/01,3,1
11003,1900/01/01,4,1
11004,1900/01/01,1,1
11004,1900/01/01,2,1
11004,1900/01/01,3,1
11004,1900/01/01,4,1
11005,1900/01/01,1,1
11005,1900/01/01,2,1
11005,1900/01/01,3,1
11005,1900/01/01,4,1
11006,1900/01/01,1,1
11006,1900/01/01,2,1
11006,1900/01/01,3,1
11006,1900/01/01,4,1
11007,1900/01/01,1,1
11007,1900/01/01,2,1
11007,1900/01/01,3,1
11007,1900/01/01,4,1
11008,1900/01/01,1,1
11008,1900/01/01,2,1
11008,1900/01/01,3,1
11008,1900/01/01,4,1
11009,1900/01/01,1,1
11009,1900/01/01,2,1
11009,1900/01/01,3,1
11009,1900/01/01,4,1
11010,1900/01/01,1,1
11010,1900/01/01,2,1
11010,1900/01/01,3,1
11010,1900/01/01,4,1
11011,1900/01/01,1,1
11011,1900/01/01,2,1
11011,1900/01/01,3,1
11011,1900/01/01,4,1
11012,1900/01/01,1,1
11012,1900/01/01,2,1
11012,1900/01/01,3,1
11012,1900/01/01,4,1
11013,1900/01/01,1,1
11013,1900/01/01,2,1
11013,1900/01/01,3,1
11013,1900/01/01,4,1
11014,1900/01/01,1,1
11014,1900/01/01,2,1
11014,1900/01/01,3,1
11014,1900/01/01,4,1
11015,1900/01/01,1,1
11015,1900/01/01,2,1
11015,1900/01/01,3,1
11015,1900/01/01,4,1
11016,1900/01/01,1,1
11016,1900/01/01,2,1
11016,1900/01/01,3,1
11016,1900/01/01,4,1
11017,1900/01/01,1,1
11017,1900/01/01,2,1
11017,1900/01/01,3,1
11017,1900/01/01,4,1
11018,1900/01/01,1,1
11018,1900/01/01,2,1
11018,1900/01/01,3,1
11018,1900/01/01,4,1
11019,1900/01/01,1,1
11019,1900/01/01,2,1
11019,1900/01/01,3,1
11019,1900/01/01,4,1
11020,1900/01/01,1,1
11020,1900/01/01,2,1
11020,1900/01/01,3,1
11020,1900/01/01,4,1
11021,1900/01/01,1,1
11021,1900/01/01,2,1
11021,1900/01/01,3,1
11021,1900/01/01,4,1
11022,1900/01/01,1,1
11022,1900/01/01,2,1
11022,1900/01/01,3,1
11022,1900/01/01,4,1
11023,1900/01/01,1,1
11023,1900/01/01,2,1
11023,1900/01/01,3,1
11023,1900/01/01,4,1
11024,1900/01/01,1,1
11024,1900/01/01,2,1
11024,1900/01/01,3,1
11024,1900/01/01,4,1
11025,1900/01/01,1,1
11025,1900/01/01,2,1
11025,1900/01/01,3,1
11025,1900/01/01,4,1
11026,1900/01/01,1,1
11026,1900/01/01,2,1
11026,1900/01/01,3,1
11026,1900/01/01,4,1
11027,1900/01/01,1,1
11027,1900/01/01,2,1
11027,1900/01/01,3,1
11027,1900/01/01,4,1
11028,1900/01/01,1,1
11028,1900/01/01,2,1
11028,1900/01/01,3,1
11028,1900/01/01,4,1
11029,1900/01/01,1,1
11029,1900/01/01,2,1
11029,1900/01/01,3,1
11029,1900/01/01,4,1
11030,1900/01/01,1,1
11030,1900/01/01,2,1
11030,1900/01/01,3,1
11030,1900/01/01,4,1
11031,1900/01/01,1,1
11031,1900/01/01,2,1
11031,1900/01/01,3,1
11031,1900/01/01,4,1
11032,1900/01/01,1,1
11032,1900/01/01,2,1
11032,1900/01/01,3,1
11032,1900/01/01,4,1
11033,1900/01/01,1,1
11033,1900/01/01,2,1
11033,1900/01/01,3,1
11033,1900/01/01,4,1
11034,1900/01/01,1,1
11034,1900/01/01,2,1
11034,1900/01/01,3,1
11034,1900/01/01,4,1
11035,1900/01/01,1,1
11035,1900/01/01,2,1
11035,1900/01/01,3,1
11035,1900/01/01,4,1
11036,1900/01/01,1,1
11036,1900/01/01,2,1
11036,1900/01/01,3,1
11036,1900/01/01,4,1
11037,1900/01/01,1,1
11037,1900/01/01,2,1
11037,1900/01/01,3,1
11037,1900/01/01,4,1
11038,1900/01/01,1,1
11038,1900/01/01,2,1
11038,1900/01/01,3,1
11038,1900/01/01,4,1
11039,1900/01/01,1,1
11039,1900/01/01,2,1
11039,1900/01/01,3,1
11039,1900/01/01,4,1
11040,1900/01/01,1,1
11040,1900/01/01,2,1
11040,1900/01/01,3,1
11040,1900/01/01,4,1
11041,1900/01/01,1,1
11041,1900/01/01,2,1
11041,1900/01/01,3,1
11041,1900/01/01,4,1
11042,1900/01/01,1,1
11042,1900/01/01,2,1
11042,1900/01/01,3,1
11042,1900/01/01,4,1
11043,1900/01/01,1,1
11043,1900/01/01,2,1
11043,1900/01/01,3,1
11043,1900/01/01,4,1
11044,1900/01/01,1,1
11044,1900/01/01,2,1
11044,1900/01/01,3,1
11044,1900/01/01,4,1
11045,1900/01/01,1,1
11045,1900/01/01,2,1
11045,1900/01/01,3,1
11045,1900/01/01,4,1
11046,1900/01/01,1,1
11046,1900/01/01,2,1
11046,1900/01/01,3,1
11046,1900/01/01,4,1
11047,1900/01/01,1,1
11047,1900/01/01,2,1
11047,1900/01/01,3,1
11047,1900/01/01,4,1
11048,1900/01/01,1,1
11048,1900/01/01,2,1
11048,1900/01/01,3,1
11048,1900/01/01,4,1
11049,1900/01/01,1,1
11049,1900/01/01,2,1
11049,1900/01/01,3,1
11049,1900/01/01,4,1
11050,1900/01/01,1,1
11050,1900/01/01,2,1
11050,1900/01/01,3,1
11050,1900/01/01,4,1
11051,1900/01/01,1,1
11051,1900/01/01,2,1
11051,1900/01/01,3,1
11051,1900/01/01,4,1
11052,1900/01/01,1,1
11052,1900/01/01,2,1
11052,1900/01/01,3,1
11052,1900/01/01,4,1
11053,1900/01/01,1,1
11053,1900/01/01,2,1
11053,1900/01/01,3,1
11053,1900/01/01,4,1
11054,1900/01/01,1,1
11054,1900/01/01,2,1
11054,1900/01/01,3,1
11054,1900/01/01,4,1
11055,1900/01/01,1,1
11055,1900/01/01,2,1
11055,1900/01/01,3,1
11055,1900/01/01,4,1
11056,1900/01/01,1,1
11056,1900/01/01,2,1
11056,1900/01/01,3,1
11056,1900/01/01,4,1
11057,1900/01/01,1,1
11057,1900/01/01,2,1
11057,1900/01/01,3,1
11057,1900/01/01,4,1
11058,1900/01/01,1,1
11058,1900/01/01,2,1
11058,1900/01/01,3,1
11058,1900/01/01,4,1
11059,1900/01/01,1,1
11059,1900/01/01,2,1
11059,1900/01/01,3,1
11059,1900/01/01,4,1
11060,1900/01/01,1,1
11060,1900/01/01,2,1
11060,1900/01/01,3,1
11060,1900/01/01,4,1
11061,1900/01/01,1,1
11061,1900/01/01,2,1
11061,1900/01/01,3,1
11061,1900/01/01,4,1
11062,1900/01/01,1,1
11062,1900/01/01,2,1
11062,1900/01/01,3,1
11062,1900/01/01,4,1
11063,1900/01/01,1,1
11063,1900/01/01,2,1
11063,1900/01/01,3,1
11063,1900/01/01,4,1
11064,1900/01/01,1,1
11064,1900/01/01,2,1
11064,1900/01/01,3,1
11064,1900/01/01,4,1
11065,1900/01/01,1,1
11065,1900/01/01,2,1
11065,1900/01/01,3,1
11065,1900/01/01,4,1
11066,1900/01/01,1,1
11066,1900/01/01,2,1
11066,1900/01/01,3,1
11066,1900/01/01,4,1
11067,1900/01/01,1,1
11067,1900/01/01,2,1
11067,1900/01/01,3,1
11067,1900/01/01,4,1
11068,1900/01/01,1,1
11068,1900/01/01,2,1
11068,1900/01/01,3,1
11068,1900/01/01,4,1
11069,1900/01/01,1,1
11069,1900/01/01,2,1
11069,1900/01/01,3,1
11069,1900/01/01,4,1
11070,1900/01/01,1,1
11070,1900/01/01,2,1
11070,1900/01/01,3,1
11070,1900/01/01,4,1
11071,1900/01/01,1,1
11071,1900/01/01,2,1
11071,1900/01/01,3,1
11071,1900/01/01,4,1
11072,1900/01/01,1,1
11072,1900/01/01,2,1
11072,1900/01/01,3,1
11072,1900/01/01,4,1
11073,1900/01/01,1,1
11073,1900/01/01,2,1
11073,1900/01/01,3,1
11073,1900/01/01,4,1
11074,1900/01/01,1,1
11074,1900/01/01,2,1
11074,1900/01/01,3,1
