**** Planta:  117 GUARAPIRANGA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2026 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2027 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2028 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2029 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2030 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2031 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2032 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2033 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2034 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2035 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2036 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2037 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2038 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2039 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
**** Planta:  118 BILLINGS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2026  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2027  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2028  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2029  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2030  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2031  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2032  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2033  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2034  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2035  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2036  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2037  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2038  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
2039  917.52 954.978 987.231 1006.47 1019.03 1022.43 1038.38 1045.29 1034.99 1013.26 996.284 986.099
**** Planta:  122 S.BRANCA PAR
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2026  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2027  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2028  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2029  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2030  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2031  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2032  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2033  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2034  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2035  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2036  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2037  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2038  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
2039  298.86 280.996  378.94     439     439     439     439     439     439     439 388.796  378.94
**** Planta:  123 FUNIL       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2026 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2027 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2028 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2029 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2030 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2031 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2032 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2033 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2034 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2035 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2036 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2037 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2038 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
2039 567.955 576.425 757.925     888     888     888     888     888     888     888  747.64  468.13
**** Planta:  124 LAJES       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2026 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2027 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2028 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2029 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2030 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2031 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2032 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2033 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2034 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2035 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
