**** Planta:  120 JAGUARI      Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2026   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2027   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2028   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2029   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2030   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2031   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2032   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2033   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2034   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2035   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2036   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2037   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2038   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
2039   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6   601.6
**** Planta:  121 PARAIBUNA/PA Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2026  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2027  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2028  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2029  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2030  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2031  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2032  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2033  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2034  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2035  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2036  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2037  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2038  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2039  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
**** Planta:  122 S.BRANCA PAR Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2026   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2027   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2028   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2029   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2030   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2031   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2032   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2033   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2034   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2035   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2036   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2037   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2038   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2039   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
**** Planta:  123 FUNIL        Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2026   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2027   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2028   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2029   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2030   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2031   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2032   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2033   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2034   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2035   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2036   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2037   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2038   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2039   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
**** Planta:  124 LAJES        Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2026 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
