$version=1
!code,Date,block,MinVoltage,MaxVoltage,MinEmergencyVoltage,MaxEmergencyVoltage
1,1900/01/01,1,0.8,1.2,0.8,1.2
1,1900/01/01,2,0.8,1.2,0.8,1.2
1,1900/01/01,3,0.8,1.2,0.8,1.2
1,1900/01/01,4,0.8,1.2,0.8,1.2
4,1900/01/01,1,0.8,1.2,0.8,1.2
4,1900/01/01,2,0.8,1.2,0.8,1.2
4,1900/01/01,3,0.8,1.2,0.8,1.2
4,1900/01/01,4,0.8,1.2,0.8,1.2
5,1900/01/01,1,0.8,1.2,0.8,1.2
5,1900/01/01,2,0.8,1.2,0.8,1.2
5,1900/01/01,3,0.8,1.2,0.8,1.2
5,1900/01/01,4,0.8,1.2,0.8,1.2
6,1900/01/01,1,0.8,1.2,0.8,1.2
6,1900/01/01,2,0.8,1.2,0.8,1.2
6,1900/01/01,3,0.8,1.2,0.8,1.2
6,1900/01/01,4,0.8,1.2,0.8,1.2
7,1900/01/01,1,0.8,1.2,0.8,1.2
7,1900/01/01,2,0.8,1.2,0.8,1.2
7,1900/01/01,3,0.8,1.2,0.8,1.2
7,1900/01/01,4,0.8,1.2,0.8,1.2
8,1900/01/01,1,0.8,1.2,0.8,1.2
8,1900/01/01,2,0.8,1.2,0.8,1.2
8,1900/01/01,3,0.8,1.2,0.8,1.2
8,1900/01/01,4,0.8,1.2,0.8,1.2
9,1900/01/01,1,0.8,1.2,0.8,1.2
9,1900/01/01,2,0.8,1.2,0.8,1.2
9,1900/01/01,3,0.8,1.2,0.8,1.2
9,1900/01/01,4,0.8,1.2,0.8,1.2
10,1900/01/01,1,0.8,1.2,0.8,1.2
10,1900/01/01,2,0.8,1.2,0.8,1.2
10,1900/01/01,3,0.8,1.2,0.8,1.2
10,1900/01/01,4,0.8,1.2,0.8,1.2
11,1900/01/01,1,0.8,1.2,0.8,1.2
11,1900/01/01,2,0.8,1.2,0.8,1.2
11,1900/01/01,3,0.8,1.2,0.8,1.2
11,1900/01/01,4,0.8,1.2,0.8,1.2
14,1900/01/01,1,0.8,1.2,0.8,1.2
