$version=2
!Code,Name,Bus,Existing,Emin,Emax,Einic,Pmax,ChargeEffic,DischargeEffic,RegTime,FlagInterStage,ChargeRamp,DischargeRamp,O&MType,O&MCost,RegType,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,DevOpt
104,Bat-4-39813,39813,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
204,Bat-4-2617,2617,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
304,Bat-4-38912,38912,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
404,Bat-4-80265,80265,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
504,Bat-4-60341,60341,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
604,Bat-4-60065,60065,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
704,Bat-4-80276,80276,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
804,Bat-4-80275,80275,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
904,Bat-4-4293,4293,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1004,Bat-4-38911,38911,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1104,Bat-4-38900,38900,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1204,Bat-4-38929,38929,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1304,Bat-4-1512,1512,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1404,Bat-4-1525,1525,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1504,Bat-4-3875,3875,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1604,Bat-4-4300,4300,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1704,Bat-4-4285,4285,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1804,Bat-4-3895,3895,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1904,Bat-4-4298,4298,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
2004,Bat-4-4303,4303,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
110,Bat-10-39813,39813,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
210,Bat-10-2617,2617,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
310,Bat-10-38912,38912,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
410,Bat-10-80265,80265,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
510,Bat-10-60341,60341,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
610,Bat-10-60065,60065,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
710,Bat-10-80276,80276,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
810,Bat-10-80275,80275,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
910,Bat-10-4293,4293,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1010,Bat-10-38911,38911,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1110,Bat-10-38900,38900,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1210,Bat-10-38929,38929,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1310,Bat-10-1512,1512,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1410,Bat-10-1525,1525,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1510,Bat-10-3875,3875,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1610,Bat-10-4300,4300,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1710,Bat-10-4285,4285,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1810,Bat-10-3895,3895,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
1910,Bat-10-4298,4298,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
2010,Bat-10-4303,4303,1,0,0,0,0,0.9,1,0,0,,,0,0,,,0,,,,,,0
