$version=1
!code,Date,block,Status
1,1900/01/01,1,1
1,1900/01/01,2,1
1,1900/01/01,3,1
1,1900/01/01,4,1
2,1900/01/01,1,1
2,1900/01/01,2,1
2,1900/01/01,3,1
2,1900/01/01,4,1
3,1900/01/01,1,1
3,1900/01/01,2,1
3,1900/01/01,3,1
3,1900/01/01,4,1
4,1900/01/01,1,1
4,1900/01/01,2,1
4,1900/01/01,3,1
4,1900/01/01,4,1
5,1900/01/01,1,1
5,1900/01/01,2,1
5,1900/01/01,3,1
5,1900/01/01,4,1
6,1900/01/01,1,1
6,1900/01/01,2,1
6,1900/01/01,3,1
6,1900/01/01,4,1
7,1900/01/01,1,1
7,1900/01/01,2,1
7,1900/01/01,3,1
7,1900/01/01,4,1
8,1900/01/01,1,1
8,1900/01/01,2,1
8,1900/01/01,3,1
8,1900/01/01,4,1
1201,1900/01/01,1,1
1201,1900/01/01,2,1
1201,1900/01/01,3,1
1201,1900/01/01,4,1
1202,1900/01/01,1,1
1202,1900/01/01,2,1
1202,1900/01/01,3,1
1202,1900/01/01,4,1
1203,1900/01/01,1,1
1203,1900/01/01,2,1
1203,1900/01/01,3,1
1203,1900/01/01,4,1
1204,1900/01/01,1,1
1204,1900/01/01,2,1
1204,1900/01/01,3,1
1204,1900/01/01,4,1
1205,1900/01/01,1,1
1205,1900/01/01,2,1
1205,1900/01/01,3,1
1205,1900/01/01,4,1
1206,1900/01/01,1,1
1206,1900/01/01,2,1
1206,1900/01/01,3,1
1206,1900/01/01,4,1
1207,1900/01/01,1,1
1207,1900/01/01,2,1
1207,1900/01/01,3,1
1207,1900/01/01,4,1
1208,1900/01/01,1,1
1208,1900/01/01,2,1
1208,1900/01/01,3,1
1208,1900/01/01,4,1
2201,1900/01/01,1,1
2201,1900/01/01,2,1
2201,1900/01/01,3,1
2201,1900/01/01,4,1
2202,1900/01/01,1,1
2202,1900/01/01,2,1
2202,1900/01/01,3,1
2202,1900/01/01,4,1
2203,1900/01/01,1,1
2203,1900/01/01,2,1
2203,1900/01/01,3,1
2203,1900/01/01,4,1
2204,1900/01/01,1,1
2204,1900/01/01,2,1
2204,1900/01/01,3,1
2204,1900/01/01,4,1
3201,1900/01/01,1,1
3201,1900/01/01,2,1
3201,1900/01/01,3,1
3201,1900/01/01,4,1
3202,1900/01/01,1,1
3202,1900/01/01,2,1
3202,1900/01/01,3,1
3202,1900/01/01,4,1
3203,1900/01/01,1,1
3203,1900/01/01,2,1
3203,1900/01/01,3,1
3203,1900/01/01,4,1
3204,1900/01/01,1,1
3204,1900/01/01,2,1
3204,1900/01/01,3,1
3204,1900/01/01,4,1
3205,1900/01/01,1,1
3205,1900/01/01,2,1
3205,1900/01/01,3,1
3205,1900/01/01,4,1
3206,1900/01/01,1,1
3206,1900/01/01,2,1
3206,1900/01/01,3,1
3206,1900/01/01,4,1
3207,1900/01/01,1,1
3207,1900/01/01,2,1
3207,1900/01/01,3,1
3207,1900/01/01,4,1
3208,1900/01/01,1,1
3208,1900/01/01,2,1
3208,1900/01/01,3,1
3208,1900/01/01,4,1
5201,1900/01/01,1,1
5201,1900/01/01,2,1
5201,1900/01/01,3,1
5201,1900/01/01,4,1
5202,1900/01/01,1,1
5202,1900/01/01,2,1
5202,1900/01/01,3,1
5202,1900/01/01,4,1
5203,1900/01/01,1,1
5203,1900/01/01,2,1
5203,1900/01/01,3,1
5203,1900/01/01,4,1
5204,1900/01/01,1,1
5204,1900/01/01,2,1
5204,1900/01/01,3,1
5204,1900/01/01,4,1
